trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,27,4,0,28,0,1,0,0,0,0.0,0,0,60,55,5,162,19,16,10.136,0.6335,0.5227999999999999,1.6427,1.6427,8.9197,0.55748125,0.5227999999999999,1.2806,1.2806,5,1.2163,0.24325999999999998,0.2207,0.3621,0.3621,completed
0,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,26,5,2,24,3,0,1,1,0,0.0,0,0,62,54,8,153,25,14,9.9628,0.7116285714285714,0.5438,1.8542,1.8542,8.0682,0.5762999999999999,0.4958,1.4613,1.4613,8,1.8946,0.236825,0.2137,0.3929,0.3929,completed
0,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,25,5,1,25,1,0,0,0,0,0.0,0,0,59,52,7,151,30,13,9.5271,0.7328538461538462,0.5638,1.6966,1.6966,7.851,0.6039230769230769,0.5389,1.317,1.317,7,1.6761,0.23944285714285712,0.2219,0.3796,0.3796,completed
0,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,26,6,0,27,0,0,0,0,0,0.0,0,0,60,53,7,150,31,12,9.1116,0.7593,0.7414499999999999,1.3986,1.3986,7.3915,0.6159583333333333,0.5728,1.0677,1.0677,7,1.7201,0.24572857142857144,0.2204,0.3309,0.3309,completed
1,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,46,7,1,44,3,1,1,1,0,0.0,0,0,102,93,9,259,49,14,12.7061,0.9075785714285713,0.7782,1.7758,1.7758,10.1841,0.7274357142857143,0.6248,1.3994,1.3994,9,2.5220000000000002,0.28022222222222226,0.2534,0.3871,0.3871,completed
1,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,47,5,3,38,10,2,0,0,0,0.0,0,0,105,95,10,267,39,18,15.4379,0.8576611111111112,0.7767999999999999,1.6035,1.6035,12.6232,0.701288888888889,0.6789000000000001,1.2538,1.2538,10,2.8147,0.28147,0.27749999999999997,0.3497,0.3497,completed
1,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,47,5,3,35,13,0,0,0,0,0.0,0,0,102,95,7,263,46,14,13.1041,0.9360071428571429,0.8424499999999999,1.6021,1.6021,10.908,0.7791428571428571,0.71585,1.2239,1.2239,7,2.1961,0.3137285714285714,0.3126,0.3782,0.3782,completed
1,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,47,3,6,28,20,0,0,0,0,0.0,0,0,102,95,7,259,49,17,14.4358,0.8491647058823529,0.7049,1.6271,1.6271,12.4095,0.729970588235294,0.6843,1.2794,1.2794,7,2.0263,0.28947142857142855,0.2716,0.3477,0.3477,completed
2,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,40,4,2,33,8,1,1,1,0,0.0,0,0,91,81,10,228,39,17,14.507,0.8533529411764705,0.7286,1.6723,1.6723,11.7847,0.6932176470588236,0.7158,1.264,1.264,9,2.7223,0.3024777777777778,0.2929,0.4083,0.4083,completed
2,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,38,1,2,26,13,1,7,5,1,5.0,1,0,89,82,7,232,37,19,13.639800000000001,0.7178842105263158,0.6153,1.629,1.629,11.8412,0.623221052631579,0.5499,1.2939,1.2939,7,1.7986,0.25694285714285714,0.2108,0.3463,0.3463,completed
2,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,39,6,2,34,6,2,0,0,0,0.0,0,0,89,79,10,228,41,18,15.8507,0.8805944444444445,0.7577,1.7672,1.7672,13.0548,0.7252666666666667,0.7283,1.2591,1.2591,9,2.7959,0.3106555555555556,0.3011,0.5912,0.5912,completed
2,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,39,9,0,40,0,0,0,0,0,0.0,0,0,89,79,10,226,42,16,14.0786,0.8799125,0.75255,1.6116,1.6116,11.4805,0.71753125,0.73255,1.2512,1.2512,10,2.5981,0.25981,0.24555,0.3604,0.3604,completed
3,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,42,6,0,43,0,2,0,0,0,0.0,0,0,94,85,9,230,26,18,12.722,0.7067777777777777,0.6657,1.6089,1.6089,10.8001,0.6000055555555556,0.473,1.2573,1.2573,8,1.9219,0.2402375,0.221,0.3556,0.3556,completed
3,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,36,2,7,17,20,0,0,0,0,0.0,0,0,82,74,8,228,39,35,19.2458,0.5498799999999999,0.3789,1.6247,1.656,14.859,0.42454285714285717,0.249,1.2717,1.2897,24,4.3868,0.18278333333333333,0.1472,0.353,0.3663,completed
3,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,41,7,1,41,1,2,0,0,0,0.0,0,0,96,84,12,221,32,19,14.060599999999999,0.7400315789473684,0.7139,1.7229,1.7229,11.1602,0.587378947368421,0.505,1.3504,1.3504,12,2.9004,0.2417,0.22460000000000002,0.3725,0.3725,completed
3,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,34,5,3,29,6,0,0,0,0,0.0,0,0,78,70,8,229,42,38,20.825,0.5480263157894737,0.39444999999999997,1.6227,1.633,15.567,0.4096578947368421,0.24659999999999999,1.2445,1.2689,29,5.258,0.1813103448275862,0.1487,0.3538,0.3885,completed
4,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,38,8,0,39,0,0,0,0,0,0.0,0,0,86,77,9,218,33,17,11.6679,0.6863470588235294,0.6162,1.2718,1.2718,9.4866,0.558035294117647,0.5337,0.9955,0.9955,9,2.1813,0.24236666666666665,0.2399,0.2763,0.2763,completed
4,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,38,2,5,22,17,0,0,0,0,0.0,0,0,84,77,7,216,36,15,11.0301,0.73534,0.6507,1.1267,1.1267,9.1855,0.6123666666666666,0.5691,0.8392,0.8392,7,1.8446,0.2635142857142857,0.265,0.3204,0.3204,completed
4,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,38,4,5,27,12,0,1,1,0,0.0,0,0,87,77,10,203,46,15,13.532399999999999,0.90216,1.0004,1.799,1.799,10.6618,0.7107866666666667,0.7371,1.396,1.396,10,2.8706,0.28706,0.26305,0.403,0.403,completed
4,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,35,6,1,35,1,0,0,0,0,0.0,0,0,80,72,8,232,24,24,15.4967,0.6456958333333334,0.56375,1.0735,1.1072,12.2782,0.5115916666666667,0.5005999999999999,0.8377,0.8478,14,3.2185,0.22989285714285715,0.21705,0.2854,0.2854,completed
5,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,31,6,0,32,0,0,0,0,0,0.0,0,0,71,63,8,193,24,16,14.1248,0.8828,0.7839499999999999,1.5612,1.5612,11.8424,0.74015,0.7486999999999999,1.2257,1.2257,8,2.2824,0.2853,0.2711,0.3599,0.3599,completed
5,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,31,4,2,28,4,1,1,1,0,0.0,0,0,72,65,7,183,34,14,13.8041,0.9860071428571429,0.8298,1.5586,1.5586,11.6323,0.8308785714285715,0.80515,1.2039,1.2039,7,2.1718,0.3102571428571429,0.3174,0.367,0.367,completed
5,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,31,7,0,32,0,0,1,1,0,0.0,0,0,73,64,9,189,26,15,15.2652,1.01768,0.8504,1.6407,1.6407,12.5239,0.8349266666666666,0.7738,1.272,1.272,9,2.7413,0.30458888888888885,0.2807,0.3687,0.3687,completed
