trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,45.708352439695766,45.708352439695766,0,0,0,96,27,100,0,4,1,1,0,0.0,0,246,0,393,1176,0,101,292,201,192,0.0,19.65,9.6,acbba_entry:192;collision_intent:101;state:100,0.19999999999999996,0.04499999999999993,97,45.3745,1.0432,19.4889,0.6081,97,25.8856,0.4561,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,56.900262571862854,56.900262571862854,0,0,0,111,33,113,2,4,0,0,0,0.0,0,318,0,439,1314,0,114,325,229,210,0.0,21.95,10.5,acbba_entry:210;collision_intent:114;state:115,0.0,0.0995575221238938,141,48.5701,0.8613,19.9532,0.4885,141,28.6169,0.434,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,52.06192858020057,52.06192858020057,1,1,1,112,30,112,4,9,2,2,0,0.0,0,282,0,431,1290,0,117,314,233,198,0.0,21.55,9.9,acbba_entry:198;collision_intent:117;state:116,0.19999999999999996,0.013392857142857206,91,37.3553,1.0152,15.7876,0.5538,91,21.5677,0.4845,completed
3,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,48.868382898513694,48.868382898513694,0,0,0,107,28,107,4,3,3,3,0,0.0,0,264,0,432,1293,0,111,321,222,210,0.0,21.6,10.5,acbba_entry:210;collision_intent:111;state:111,0.19999999999999996,0.04439252336448596,98,38.9205,1.0373,16.5303,0.4929,98,22.3902,0.6171,completed
4,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,46.115700856195616,46.115700856195616,0,0,0,99,27,102,1,5,4,2,1,5.0,1,255,0,409,1221,0,106,303,209,200,0.0,20.45,10.0,acbba_entry:200;collision_intent:106;state:103,0.07499999999999996,0.044117647058823595,95,42.2214,0.9326,17.7581,0.5121,95,24.4633,0.4576,completed
5,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,41.490703230094546,41.490703230094546,0,0,0,92,24,96,0,2,2,2,0,0.0,0,224,0,379,1134,0,98,281,194,185,0.0,18.95,9.25,acbba_entry:185;collision_intent:98;state:96,0.1499999999999999,0.015625,75,29.8529,0.9227,13.1272,0.5759,75,16.7257,0.3977,completed
6,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,74.97338899422307,74.97338899422307,0,0,0,118,43,121,1,8,6,2,2,10.0,1,460,0,448,1341,0,128,320,250,198,0.0,22.4,9.9,acbba_entry:198;collision_intent:128;state:122,0.1499999999999999,0.11776859504132231,258,69.3073,0.8835,27.9012,0.5098,258,41.4061,0.3857,completed
7,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,56.831876918731375,56.831876918731375,0,0,0,124,33,126,2,11,1,1,0,0.0,0,301,0,493,1473,0,128,365,256,237,0.0,24.65,11.85,acbba_entry:237;collision_intent:128;state:128,0.17500000000000004,0.03571428571428581,102,43.0465,0.6569,19.2423,0.3555,102,23.8042,0.3014,completed
8,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,44.443265578219155,44.443265578219155,1,1,1,96,26,99,1,3,2,2,0,0.0,0,243,0,397,1188,0,103,294,203,194,0.0,19.85,9.7,acbba_entry:194;collision_intent:103;state:100,0.17500000000000004,0.037878787878787845,82,40.9335,0.8789,18.5928,0.5045,82,22.3407,0.3744,completed
9,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,45.55457527457994,45.55457527457994,0,0,0,101,27,104,1,5,6,4,2,10.0,1,246,0,426,1275,0,109,317,214,212,0.0,21.3,10.6,acbba_entry:212;collision_intent:109;state:105,0.1499999999999999,0.03846153846153855,87,39.914,0.9094,17.7781,0.5611,87,22.1359,0.3943,completed
10,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,46.70082841152908,46.70082841152908,1,1,1,104,28,103,5,12,6,3,1,5.0,1,253,0,426,1275,0,112,314,220,206,0.0,21.3,10.3,acbba_entry:206;collision_intent:112;state:108,0.07499999999999996,0.06553398058252435,87,38.1024,1.0251,16.4152,0.6004,87,21.6872,0.4425,completed
11,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,58.747665066989605,58.747665066989605,0,0,0,105,34,109,0,7,0,0,0,0.0,0,344,0,412,1233,0,108,304,217,195,0.0,20.6,9.75,acbba_entry:195;collision_intent:108;state:109,0.125,0.08486238532110102,163,65.8172,0.9062,27.748,0.5122,163,38.0692,0.3948,completed
12,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,51.79476817325944,51.79476817325944,0,0,0,115,30,118,1,5,3,3,0,0.0,0,276,0,461,1380,0,121,340,240,221,0.0,23.05,11.05,acbba_entry:221;collision_intent:121;state:119,0.125,0.021186440677966045,92,44.3816,0.8818,19.6679,0.5099,92,24.7137,0.3719,completed
13,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,47.86359487103059,47.86359487103059,0,0,0,102,28,106,0,5,0,0,0,0.0,0,258,0,404,1207,0,106,298,212,192,0.0,20.2,9.6,acbba_entry:192;collision_intent:106;state:106,0.17500000000000004,0.04245283018867929,108,48.4908,0.9093,20.2199,0.5231,108,28.2709,0.3971,completed
14,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,54.51350778504729,54.51350778504729,0,0,0,105,32,107,2,5,1,1,0,0.0,0,307,0,400,1197,0,109,291,218,182,0.0,20.0,9.1,acbba_entry:182;collision_intent:109;state:109,0.07499999999999996,0.07242990654205617,133,54.5122,0.9381,22.6318,0.5161,133,31.8804,0.422,completed
15,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,52.32198284915752,52.32198284915752,1,1,1,113,30,115,2,11,1,1,0,0.0,0,282,0,432,1290,0,116,316,233,199,0.0,21.6,9.95,acbba_entry:199;collision_intent:116;state:117,0.2250000000000001,0.032608695652173836,92,36.959,1.0782,16.1151,0.6472,92,20.8439,0.4452,completed
16,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,49.711185813884704,49.711185813884704,0,0,0,106,28,106,4,12,0,0,0,0.0,0,268,0,445,1332,0,110,335,220,225,0.0,22.25,11.25,acbba_entry:225;collision_intent:110;state:110,0.1499999999999999,0.037735849056603765,103,41.156,0.9475,17.7105,0.5301,103,23.4455,0.4174,completed
17,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,59.68992360177632,59.68992360177632,1,1,1,112,35,115,1,9,1,1,0,0.0,0,337,0,437,1308,0,116,321,232,205,0.0,21.85,10.25,acbba_entry:205;collision_intent:116;state:116,0.125,0.06739130434782603,150,53.0518,0.9147,21.9562,0.5393,150,31.0956,0.4496,completed
18,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,47.648744415739266,47.648744415739266,0,0,0,95,28,98,1,6,0,0,0,0.0,0,265,0,374,1119,0,100,274,199,175,0.0,18.7,8.75,acbba_entry:175;collision_intent:100;state:99,0.19999999999999996,0.05612244897959173,112,51.6392,0.9233,21.9895,0.5373,112,29.6497,0.4244,completed
19,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,55.780234458780185,55.780234458780185,2,2,2,119,32,115,8,16,3,3,0,0.0,0,304,0,470,1405,0,121,349,244,226,0.0,23.5,11.3,acbba_entry:226;collision_intent:121;state:123,0.30000000000000004,0.07173913043478253,106,49.8738,0.8914,23.037,0.5143,106,26.8368,0.3771,completed
20,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,46.17229338834634,46.17229338834634,0,0,0,102,27,106,0,5,2,2,0,0.0,0,246,0,420,1257,0,107,313,213,207,0.0,21.0,10.35,acbba_entry:207;collision_intent:107;state:106,0.17500000000000004,0.02358490566037741,91,41.0454,0.8283,18.0232,0.407,91,23.0222,0.4213,completed
21,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,53.33869359355738,53.33869359355738,1,1,1,118,30,118,4,10,3,3,0,0.0,0,285,0,466,1395,0,122,344,244,222,0.0,23.3,11.1,acbba_entry:222;collision_intent:122;state:122,0.1499999999999999,0.012711864406779627,89,38.8076,0.874,17.0687,0.5117,89,21.7389,0.5895,completed
22,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,45.08124339595899,45.08124339595899,0,0,0,100,26,102,2,5,0,0,0,0.0,0,242,0,422,1263,0,105,317,209,213,0.0,21.1,10.65,acbba_entry:213;collision_intent:105;state:104,0.125,0.02450980392156854,87,39.9007,0.9031,17.9514,0.5343,87,21.9493,0.4035,completed
23,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,45.63933495592672,45.63933495592672,0,0,0,102,26,104,2,5,0,0,0,0.0,0,244,0,391,1167,0,103,288,209,182,0.0,19.55,9.1,acbba_entry:182;collision_intent:103;state:106,0.17500000000000004,0.019230769230769162,83,37.3083,0.694,15.603,0.3965,83,21.7053,0.3245,completed
24,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h1_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,48.18703334564755,48.18703334564755,0,0,0,107,28,110,1,10,4,2,0,0.0,0,257,0,433,1296,0,113,320,224,209,0.0,21.65,10.45,acbba_entry:209;collision_intent:113;state:111,0.125,0.036363636363636376,88,41.6871,0.9388,18.2153,0.5476,88,23.4718,0.4552,completed
