trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,60.23930566414667,60.23930566414667,4,4,4,138,35,133,9,0,0,0,0,0.0,0,317,0,340,865,150,138,202,280,60,0.24958402662229617,17.0,3.0,collision_intent:138;pi_entry:60;state:142,0.17500000000000004,0.03195488721804507,62,62.5868,3.8629,53.0424,2.9841,36,9.5444,0.4421,completed
1,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,60.23402912966683,60.23402912966683,9,9,9,136,35,115,25,1,3,1,1,5.0,1,317,0,340,858,159,139,201,279,61,0.265,17.0,3.05,collision_intent:139;pi_entry:61;state:140,0.125,0.05869565217391304,65,76.7384,3.3876,66.3094,2.674,36,10.429,0.3894,completed
2,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,66.92663952393666,66.92663952393666,3,3,3,144,39,134,14,0,2,2,0,0.0,0,352,0,354,907,153,146,208,294,60,0.2459807073954984,17.7,3.0,collision_intent:146;pi_clear_path:1;pi_entry:59;state:148,0.25,0.08582089552238803,90,73.4953,3.4359,57.7992,2.7244,69,15.6961,0.3826,completed
3,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,66.91554752523489,66.91554752523489,6,6,6,153,39,135,22,1,7,7,0,0.0,0,350,0,384,981,169,155,229,312,72,0.24671532846715327,19.2,3.6,collision_intent:155;pi_clear_path:1;pi_entry:71;state:157,0.17500000000000004,0.05370370370370381,63,75.2822,3.6888,62.9806,2.9123,45,12.3016,0.4222,completed
4,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,53.71697561450233,53.71697561450233,4,4,4,121,31,111,14,2,4,2,1,5.0,1,286,0,305,766,146,123,182,248,57,0.26887661141804786,15.25,2.85,collision_intent:123;pi_entry:57;state:125,0.0,0.06531531531531543,60,71.9559,3.7542,61.6104,2.9809,36,10.3455,0.4286,completed
5,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,71.7047954054341,71.7047954054341,11,11,11,163,42,133,34,4,3,2,1,5.0,1,379,0,404,1017,193,166,238,333,71,0.2710674157303371,20.2,3.55,collision_intent:166;pi_entry:71;state:167,0.10000000000000009,0.046992481203007586,68,81.7921,3.5789,68.8702,2.853,46,12.9219,0.3915,completed
6,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,67.24750715104035,67.24750715104035,10,10,10,151,39,126,29,0,3,3,0,0.0,0,350,0,377,941,178,155,222,310,67,0.2709284627092846,18.85,3.35,collision_intent:155;pi_clear_path:1;pi_entry:66;state:155,0.2749999999999999,0.10317460317460325,70,75.4425,4.0987,62.7302,2.7627,47,12.7123,1.7729,completed
7,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,102.25667912008255,102.25667912008255,13,13,13,228,59,186,46,2,9,9,0,0.0,0,532,0,541,1395,225,234,307,466,75,0.24509803921568626,27.05,3.75,collision_intent:234;pi_clear_path:2;pi_entry:73;state:232,0.17500000000000004,0.018817204301075252,79,76.2568,3.4751,63.7963,2.7979,59,12.4605,0.3839,completed
8,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,54.41711326474082,54.41711326474082,6,6,6,126,32,114,16,2,2,2,0,0.0,0,285,0,323,813,153,128,195,258,65,0.26288659793814434,16.15,3.25,collision_intent:128;pi_entry:65;state:130,0.2250000000000001,0.09649122807017552,55,63.4351,3.4029,53.6537,2.7002,37,9.7814,0.3835,completed
9,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,59.79046819397903,59.79046819397903,4,4,4,131,35,122,13,3,1,1,0,0.0,0,320,0,337,847,160,134,203,269,68,0.2644628099173554,16.85,3.4,collision_intent:134;pi_clear_path:1;pi_entry:67;state:135,0.17500000000000004,0.05737704918032782,75,67.0886,3.5419,54.7007,2.8373,57,12.3879,0.3611,completed
10,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,56.40302876649904,56.40302876649904,6,6,6,125,33,115,14,0,3,3,0,0.0,0,295,0,316,812,134,129,187,258,58,0.23971377459749552,15.8,2.9,collision_intent:129;pi_clear_path:1;pi_entry:57;state:129,0.19999999999999996,0.07173913043478253,80,59.6069,2.6395,50.0104,2.0096,46,9.5965,0.3829,completed
11,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,71.93133790241824,71.93133790241824,12,12,12,154,42,121,37,0,0,0,0,0.0,0,388,0,388,986,177,156,232,314,74,0.25467625899280577,19.4,3.7,collision_intent:156;pi_clear_path:2;pi_entry:72;state:158,0.32499999999999996,0.10123966942148765,99,85.8457,3.5194,70.0452,2.8166,75,15.8005,0.3635,completed
12,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,74.8997473575907,74.8997473575907,3,3,3,171,43,146,29,2,1,1,0,0.0,0,390,0,414,1067,173,172,242,347,67,0.23895027624309392,20.7,3.35,collision_intent:172;pi_entry:67;state:175,0.125,0.0547945205479452,63,82.8673,3.9154,71.038,3.122,40,11.8293,0.4475,completed
13,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,61.60946664666139,61.60946664666139,7,7,7,141,36,130,15,0,0,0,0,0.0,0,311,0,346,890,146,141,205,286,60,0.23817292006525284,17.3,3.0,collision_intent:141;pi_entry:60;state:145,0.1499999999999999,0.04615384615384621,56,69.4831,3.9043,59.0682,3.0677,35,10.4149,0.4249,completed
14,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,62.63016859678799,62.63016859678799,5,5,5,140,36,128,16,2,3,1,1,5.0,1,332,0,358,930,141,142,216,286,72,0.2186046511627907,17.9,3.6,collision_intent:142;pi_clear_path:3;pi_entry:69;state:144,0.125,0.04296875,69,71.989,3.4717,58.8208,2.7193,51,13.1682,0.4823,completed
15,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,68.07132437913407,68.07132437913407,5,5,5,156,39,147,13,2,1,1,0,0.0,0,352,0,372,953,161,157,215,317,55,0.25038880248833595,18.6,2.75,collision_intent:157;pi_entry:55;state:160,0.17500000000000004,0.04591836734693877,62,69.6969,3.5572,60.2353,2.8109,33,9.4616,0.3829,completed
16,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,45.08251829771703,45.08251829771703,3,3,3,102,26,97,9,2,1,1,0,0.0,0,236,0,281,700,141,106,175,212,69,0.2695984703632887,14.05,3.45,collision_intent:106;pi_clear_path:1;pi_entry:68;state:106,0.32499999999999996,0.07474226804123707,57,72.2574,3.7146,61.6763,2.9768,36,10.5811,0.3883,completed
17,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,74.65612312977716,74.65612312977716,8,8,8,164,43,144,24,1,3,1,1,5.0,1,388,0,402,992,213,166,236,334,68,0.3012729844413013,20.1,3.4,collision_intent:166;pi_clear_path:1;pi_entry:67;state:168,0.25,0.03819444444444442,88,74.3459,3.7554,60.3558,2.9164,62,13.9901,0.4434,completed
18,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,55.725275152315824,55.725275152315824,7,7,7,126,32,116,14,0,0,0,0,0.0,0,290,0,316,808,138,127,189,257,59,0.24424778761061947,15.8,2.95,collision_intent:127;pi_clear_path:1;pi_entry:58;state:130,0.19999999999999996,0.07758620689655182,59,65.6845,3.8181,55.4197,3.0819,41,10.2648,0.4652,completed
19,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,74.18778463223047,74.18778463223047,7,7,7,158,42,126,36,2,2,2,0,0.0,0,396,0,393,1004,174,161,232,323,70,0.2503597122302158,19.65,3.5,collision_intent:161;pi_clear_path:4;pi_entry:66;state:162,0.19999999999999996,0.01984126984126977,97,77.3401,3.6731,60.1795,2.9476,78,17.1606,0.409,completed
20,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,64.92424051186454,64.92424051186454,6,6,6,146,37,131,19,1,6,6,0,0.0,0,345,0,375,953,169,152,223,302,73,0.25375375375375375,18.75,3.65,collision_intent:152;pi_entry:73;state:150,0.25,0.0782442748091603,61,59.9688,2.5817,49.629,2.0008,46,10.3398,0.2947,completed
21,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,77.65914936836101,77.65914936836101,12,12,12,166,44,129,41,5,6,6,0,0.0,0,419,0,423,1078,188,173,250,343,80,0.25167336010709507,21.15,4.0,collision_intent:173;pi_clear_path:1;pi_entry:79;state:170,0.19999999999999996,0.14922480620155043,94,102.9405,3.5336,81.2485,2.7696,81,21.692,0.435,completed
22,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,69.92428713211945,69.92428713211945,6,6,6,146,40,134,16,1,3,3,0,0.0,0,376,0,366,932,164,149,217,299,67,0.2526964560862866,18.3,3.35,collision_intent:149;pi_clear_path:2;pi_entry:65;state:150,0.2749999999999999,0.10074626865671643,108,94.1926,3.6278,75.8647,2.8903,84,18.3279,0.3757,completed
23,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,55.56188399812288,55.56188399812288,2,2,2,126,32,128,2,3,5,3,1,5.0,1,294,0,319,800,155,128,191,258,61,0.2714535901926445,15.95,3.05,collision_intent:128;pi_clear_path:1;pi_entry:60;state:130,0.125,0.01171875,60,57.6647,2.9756,48.6604,2.319,39,9.0043,0.3964,completed
24,known_visit,PI,bernoulli,drop_0.25,19,361,4,20,targets_20_pi_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,58.92628447654932,58.92628447654932,3,3,3,135,34,133,6,3,0,0,0,0.0,0,306,0,333,844,153,135,198,274,59,0.25844594594594594,16.65,2.95,collision_intent:135;pi_entry:59;state:139,0.07499999999999996,0.03195488721804507,63,52.739,2.4361,44.7762,1.8973,37,7.9628,0.2729,completed
