trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,55.02236282806971,55.02236282806971,1,1,1,108,31,110,2,1,0,0,0,0.0,0,304,0,268,801,0,111,157,223,45,0.0,13.4,2.25,collision_intent:111;pi_clear_path:3;pi_entry:42;state:112,0.19999999999999996,0.08636363636363642,124,93.0072,3.6698,72.566,2.8905,94,20.4412,0.4285,completed
1,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,54.15524918315098,54.15524918315098,0,0,0,87,31,89,2,0,0,0,0,0.0,0,329,0,223,666,0,90,133,181,42,0.0,11.15,2.1,collision_intent:90;pi_clear_path:3;pi_entry:39;state:91,0.125,0.1601123595505618,180,135.8571,9.6171,101.7417,8.7122,151,34.1154,0.5043,completed
2,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,54.970548527553625,54.970548527553625,0,0,0,108,31,109,3,2,2,2,0,0.0,0,309,0,280,837,0,115,165,227,53,0.0,14.0,2.65,collision_intent:115;pi_clear_path:5;pi_entry:48;state:112,0.125,0.04357798165137616,115,96.9496,3.5535,77.2921,2.791,91,19.6575,0.3877,completed
3,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,59.06239080894939,59.06239080894939,0,0,0,116,34,115,5,1,1,1,0,0.0,0,328,0,295,882,0,120,175,240,55,0.0,14.75,2.75,collision_intent:120;pi_clear_path:4;pi_entry:51;state:120,0.2250000000000001,0.05434782608695654,126,104.0436,3.7039,81.4767,2.9544,102,22.5669,0.4584,completed
4,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,56.2150804002598,56.2150804002598,0,0,0,92,32,96,0,1,0,0,0,0.0,0,339,0,242,723,0,95,147,191,51,0.0,12.1,2.55,collision_intent:95;pi_clear_path:3;pi_entry:48;state:96,0.1499999999999999,0.125,173,135.476,3.7719,98.7054,2.9744,150,36.7706,0.4126,completed
5,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,71.05181841246741,71.05181841246741,0,0,0,116,41,114,6,1,8,8,0,0.0,0,430,0,300,897,0,122,178,242,58,0.0,15.0,2.9,collision_intent:122;pi_clear_path:4;pi_entry:54;state:120,0.19999999999999996,0.14473684210526305,224,167.2194,3.7603,122.0745,2.9701,199,45.1449,0.8085,completed
6,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,54.11804212744452,54.11804212744452,2,2,2,106,31,105,5,0,2,2,0,0.0,0,306,0,279,834,0,112,167,222,57,0.0,13.95,2.85,collision_intent:112;pi_clear_path:3;pi_entry:54;state:110,0.125,0.08333333333333326,122,100.687,3.1941,77.7978,2.5309,98,22.8892,0.3984,completed
7,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,44.8167053910696,44.8167053910696,0,0,0,94,26,97,1,0,0,0,0,0.0,0,246,0,240,717,0,97,143,195,45,0.0,12.0,2.25,collision_intent:97;pi_clear_path:3;pi_entry:42;state:98,0.125,0.03350515463917536,87,75.9164,3.7967,61.8689,3.057,56,14.0475,0.4384,completed
8,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,47.56667995015252,47.56667995015252,0,0,0,91,28,93,2,1,0,0,0,0.0,0,268,0,239,714,0,94,145,189,50,0.0,11.95,2.5,collision_intent:94;pi_clear_path:3;pi_entry:47;state:95,0.17500000000000004,0.11021505376344076,111,101.3815,3.6891,77.6998,2.9269,93,23.6817,0.4374,completed
9,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,59.060454450636676,59.060454450636676,2,2,2,110,33,109,5,0,2,2,0,0.0,0,337,0,274,819,0,116,158,230,44,0.0,13.7,2.2,collision_intent:116;pi_clear_path:3;pi_entry:41;state:114,0.07499999999999996,0.0665137614678899,141,119.7673,3.7324,91.3418,2.9479,112,28.4255,0.4037,completed
10,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,50.75659961545852,50.75659961545852,0,0,0,94,29,98,0,0,0,0,0,0.0,0,290,0,245,732,0,98,147,196,49,0.0,12.25,2.45,collision_intent:98;pi_clear_path:3;pi_entry:46;state:98,0.17500000000000004,0.06632653061224492,138,116.3671,4.788,89.6492,3.6834,107,26.7179,0.7432,completed
11,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,47.863908512211594,47.863908512211594,0,0,0,100,28,100,4,1,1,1,0,0.0,0,261,0,252,753,0,103,149,207,45,0.0,12.6,2.25,collision_intent:103;pi_clear_path:3;pi_entry:42;state:104,0.125,0.06000000000000005,99,77.09,3.1406,60.6999,2.4038,68,16.3901,0.3788,completed
12,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,67.18399004225775,67.18399004225775,1,1,1,127,39,124,7,3,2,2,0,0.0,0,382,0,317,948,0,132,185,263,54,0.0,15.85,2.7,collision_intent:132;pi_clear_path:3;pi_entry:51;state:131,0.07499999999999996,0.032258064516129004,155,121.7684,3.4484,94.2144,2.6937,127,27.554,0.3884,completed
