trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h3_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,46,1,5,25,22,2,0,0,0,0.0,0,0,147,93,54,340,76,22,4444.7551,202.03432272727275,0.16185,708.132,714.9219,4441.4613,201.88460454545455,0.16185,707.7242,714.3968,9,3.2938,0.3659777777777778,0.4073,0.5251,0.5251,completed
0,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h3_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,46,4,4,36,11,2,0,0,0,0.0,0,0,147,93,54,351,65,21,3910.6421,186.2210523809524,0.183,636.1291,662.1093,3907.2882,186.06134285714285,0.183,635.7232,661.6537,9,3.3539,0.3726555555555555,0.4059,0.4604,0.4604,completed
0,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h3_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,46,9,0,46,1,1,0,0,0,0.0,0,0,131,93,38,359,74,17,3669.6831,215.8637117647059,107.9426,683.1643,683.1643,3666.3370999999997,215.6668882352941,107.6808,682.7509,682.7509,9,3.346,0.37177777777777776,0.3971,0.5038,0.5038,completed
0,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h3_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,45,6,2,39,7,1,1,1,0,0.0,0,0,139,92,47,363,62,19,4515.5903,237.66264736842103,111.3715,646.8148,646.8148,4511.5324,237.44907368421053,111.1191,646.4136,646.4136,10,4.0579,0.40579,0.39890000000000003,0.5366,0.5366,completed
1,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h3_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,27,5,0,26,2,1,0,0,0,0.0,0,0,104,56,48,325,60,79,9408.0489,119.08922658227849,109.9485,286.8674,601.3586,9392.6874,118.89477721518988,109.7667,286.4841,601.0973,70,15.3615,0.21945,0.2141,0.3443,0.4576,completed
1,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h3_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,45,6,3,35,11,4,1,1,0,0.0,0,0,147,92,55,275,68,20,3488.0175,174.40087499999998,105.21265,553.1823,618.339,3484.6161,174.230805,104.94704999999999,552.7081,617.8377,11,3.4013999999999998,0.3092181818181818,0.2934,0.5013,0.5013,completed
1,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h3_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,26,5,1,26,1,0,0,0,0,0.0,0,0,93,54,39,326,71,82,6519.8087,79.50986219512194,68.551,175.934,603.81,6504.9875,79.32911585365854,68.3101,175.7395,603.346,71,14.8212,0.20874929577464788,0.2162,0.2853,0.464,completed
1,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h3_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,46,4,1,42,5,2,2,2,0,0.0,0,0,146,95,51,280,64,22,3237.7803,147.1718318181818,50.13565,551.4102,602.5059,3234.1114,147.00506363636362,50.016149999999996,550.8949,602.0354,11,3.6689,0.33353636363636363,0.2989,0.5153,0.5153,completed
2,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h3_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,27,6,0,28,0,0,0,0,0,0.0,0,0,105,55,50,253,52,15,3421.4975,228.09983333333332,0.156,583.5405,583.5405,3418.7642,227.91761333333335,0.156,583.1189,583.1189,7,2.7333,0.3904714285714285,0.39,0.4729,0.4729,completed
2,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h3_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,26,4,0,26,1,2,0,0,0,0.0,0,0,100,53,47,263,46,17,3100.6082,182.38871764705883,0.1656,606.2665,606.2665,3098.3229,182.25428823529413,0.1656,605.8566,605.8566,7,2.2853,0.3264714285714286,0.2944,0.4483,0.4483,completed
