trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,74.31271490417176,74.31271490417176,12,12,12,163,43,128,39,9,1,1,0,0.0,0,394,0,1068,2532,669,165,903,332,736,0.24722838137472283,53.4,36.8,acbba_entry:736;collision_intent:165;state:167,0.2250000000000001,0.0546875,98,137.5981,4.7605,112.0615,4.3662,98,25.5366,0.4485,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,56.888364186681954,56.888364186681954,6,6,6,117,33,103,18,5,0,0,0,0.0,0,314,0,682,1614,430,119,563,240,442,0.2548903378778897,34.1,22.1,acbba_entry:442;collision_intent:119;state:121,0.2250000000000001,0.09951456310679618,107,111.4487,5.2749,85.0735,4.8988,107,26.3752,0.4114,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,54.25500216688844,54.25500216688844,2,2,2,122,32,116,10,7,0,0,0,0.0,0,289,0,761,1808,473,127,634,253,508,0.24894736842105264,38.05,25.4,acbba_entry:508;collision_intent:127;state:126,0.2250000000000001,0.06465517241379315,74,108.8031,4.5907,89.288,4.2136,74,19.5151,0.4477,completed
3,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,58.31999662554589,58.31999662554589,5,5,5,129,34,118,15,11,0,0,0,0.0,0,310,0,841,1998,522,130,711,263,578,0.24507042253521127,42.05,28.9,acbba_entry:578;collision_intent:130;state:133,0.125,0.0805084745762712,86,132.9516,4.8114,108.9799,4.4393,86,23.9717,0.3876,completed
4,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,60.66192041924229,60.66192041924229,4,4,4,137,35,127,14,16,0,0,0,0.0,0,317,0,1001,2326,674,137,864,278,723,0.26033217458478175,50.05,36.15,acbba_entry:723;collision_intent:137;state:141,0.07499999999999996,0.03740157480314954,78,160.3104,4.7304,137.9396,4.3756,78,22.3708,0.4174,completed
5,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,50.77101434976279,50.77101434976279,3,3,3,109,30,102,11,9,1,1,0,0.0,0,277,0,816,1882,563,113,703,226,590,0.26733143399810066,40.8,29.5,acbba_entry:590;collision_intent:113;state:113,0.2749999999999999,0.03921568627450989,88,152.2422,5.4402,130.2852,5.0175,88,21.957,0.4227,completed
6,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,97.26258596398563,97.26258596398563,10,10,10,181,56,152,33,18,6,3,1,5.0,1,550,0,1213,2856,781,186,1027,371,842,0.2536537836960052,60.65,42.1,acbba_entry:842;collision_intent:186;state:185,0.19999999999999996,0.08881578947368429,223,145.8,4.6749,102.4523,4.3193,223,43.3477,0.3556,completed
7,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,69.27720505560167,69.27720505560167,5,5,5,145,40,125,24,19,0,0,0,0.0,0,373,0,987,2350,608,154,833,303,684,0.24358974358974358,49.35,34.2,acbba_entry:684;collision_intent:154;state:149,0.30000000000000004,0.08200000000000007,123,165.2569,5.47,133.0952,5.0553,123,32.1617,0.5284,completed
8,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,68.83980508059929,68.83980508059929,12,12,12,145,40,115,34,8,0,0,0,0.0,0,370,0,964,2267,623,147,817,296,668,0.25438954675377706,48.2,33.4,acbba_entry:668;collision_intent:147;state:149,0.30000000000000004,0.14130434782608692,113,190.5632,5.2669,158.85,4.923,113,31.7132,0.4114,completed
9,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,63.60566115836986,63.60566115836986,7,7,7,146,37,118,32,10,1,1,0,0.0,0,334,0,1025,2385,687,147,878,297,728,0.2611174458380844,51.25,36.4,acbba_entry:728;collision_intent:147;state:150,0.25,0.1694915254237288,77,158.9476,4.5649,135.9519,4.2015,77,22.9957,0.4611,completed
10,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,79.99565497695366,79.99565497695366,10,10,10,163,46,140,27,6,0,0,0,0.0,0,433,0,962,2295,590,166,796,333,629,0.24717218265605362,48.1,31.45,acbba_entry:629;collision_intent:166;state:167,0.125,0.03928571428571437,148,133.7712,3.4581,99.8685,3.1832,148,33.9027,0.582,completed
