trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,27,5,0,28,0,0,0,0,0,0.0,0,0,227,55,172,702,0,19,29.9902,1.5784315789473684,1.1045,4.9734,4.9734,25.0764,1.3198105263157895,0.9098,4.6046,4.6046,19,4.9138,0.258621052631579,0.2576,0.3781,0.3781,completed
0,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,24,5,0,25,0,9,0,0,0,0.0,0,0,235,54,181,693,0,29,39.6004,1.3655310344827587,0.5328,4.7625,4.7716,32.5254,1.1215655172413792,0.325,4.3969,4.4139,29,7.075,0.24396551724137933,0.2077,0.3656,0.3677,completed
0,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,24,4,0,25,0,5,2,2,0,0.0,0,0,239,53,186,689,0,24,35.2305,1.4679375,0.8472,4.1369,4.4986,29.5175,1.2298958333333332,0.64745,3.7746,4.2358,24,5.713,0.23804166666666668,0.19874999999999998,0.3623,0.3758,completed
0,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,23,6,0,24,0,2,0,0,0,0.0,0,0,228,50,178,700,0,30,33.0057,1.10019,0.5045999999999999,3.8458,4.3508,26.2139,0.8737966666666667,0.3099,3.4679,4.0062,30,6.7918,0.22639333333333334,0.1966,0.3446,0.3779,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,19,7,0,20,0,0,0,0,0,0.0,0,0,157,40,117,446,0,67,36.591,0.546134328358209,0.3633,1.7771,3.0715,22.006899999999998,0.32846119402985074,0.1471,1.5643,2.8085,67,14.5841,0.2176731343283582,0.2134,0.263,0.3128,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,11,3,0,12,0,1,0,0,0,0.0,0,0,135,24,111,468,0,93,52.1632,0.560894623655914,0.3737,1.7952,4.7085,31.4959,0.33866559139784946,0.1569,1.5848,4.3561,93,20.6673,0.22222903225806453,0.2142,0.2755,0.385,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,35,7,0,35,1,2,0,0,0,0.0,0,0,175,71,104,429,0,17,23.1162,1.3597764705882351,0.7435,3.2193,3.2193,19.0285,1.1193235294117647,0.5591,2.9509,2.9509,17,4.0877,0.2404529411764706,0.2178,0.3634,0.3634,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,12,3,0,12,1,2,0,0,0,0.0,0,0,137,26,111,466,0,89,47.4264,0.5328808988764046,0.3691,1.8075,3.6772,27.6326,0.31047865168539324,0.1561,1.5931,3.4205,89,19.7938,0.22240224719101126,0.2149,0.275,0.314,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,29,6,0,30,0,1,0,0,0,0.0,0,0,202,59,143,550,0,16,22.028,1.37675,0.86175,3.1174,3.1174,17.9307,1.12066875,0.60895,2.8692,2.8692,16,4.0973,0.25608125,0.25255,0.3222,0.3222,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,21,4,0,22,0,4,0,0,0,0.0,0,0,177,46,131,574,0,37,33.815,0.9139189189189189,0.4885,2.9785,3.206,24.6106,0.6651513513513514,0.2301,2.7071,2.841,37,9.2044,0.24876756756756757,0.2446,0.365,0.3705,completed
