trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,75.34157327419673,75.34157327419673,0,0,0,86,41,90,0,6,0,0,0,0.0,0,497,0,316,945,0,91,225,181,135,0.0,15.8,6.75,collision_intent:91;hipc_clear_bundle:5;hipc_entry:130;state:90,0.2749999999999999,0.3111111111111111,348,475.67,10.1426,396.4689,9.6475,348,79.2011,0.4951,completed
1,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,64.2030256397994,64.2030256397994,0,0,0,72,37,75,1,2,0,0,0,0.0,0,428,0,232,693,0,75,157,151,81,0.0,11.6,4.05,collision_intent:75;hipc_clear_bundle:3;hipc_entry:78;state:76,0.25,0.29000000000000004,306,315.6267,10.3796,243.1981,9.9363,306,72.4286,0.475,completed
2,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,52.96146869102145,52.96146869102145,0,0,0,79,30,83,0,7,0,0,0,0.0,0,328,0,291,870,0,83,208,166,125,0.0,14.55,6.25,collision_intent:83;hipc_clear_bundle:4;hipc_entry:121;state:83,0.25,0.25602409638554224,195,360.4751,9.4551,305.2394,9.03,195,55.2357,0.5205,completed
3,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,60.51059547039047,60.51059547039047,0,0,0,82,34,86,0,4,0,0,0,0.0,0,383,0,297,888,0,87,210,173,124,0.0,14.85,6.2,collision_intent:87;hipc_clear_bundle:5;hipc_entry:119;state:86,0.25,0.2383720930232558,248,350.747,9.4207,286.7207,8.9342,248,64.0263,0.5375,completed
4,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,61.98979618803728,61.98979618803728,0,0,0,83,34,87,0,4,0,0,0,0.0,0,394,0,286,855,0,89,197,176,110,0.0,14.3,5.5,collision_intent:89;hipc_clear_bundle:7;hipc_entry:103;state:87,0.19999999999999996,0.17528735632183912,249,279.5221,10.2375,217.9377,9.7821,249,61.5844,0.4699,completed
5,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,59.18761041918625,59.18761041918625,0,0,0,92,34,96,0,5,0,0,0,0.0,0,364,0,321,960,0,97,224,193,128,0.0,16.05,6.4,collision_intent:97;hipc_clear_bundle:7;hipc_entry:121;state:96,0.32499999999999996,0.16666666666666674,199,308.941,8.3026,260.0509,7.8288,199,48.8901,0.4904,completed
6,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,61.62425374436298,61.62425374436298,0,0,0,89,35,93,0,2,0,0,0,0.0,0,388,0,307,918,0,92,215,185,122,0.0,15.35,6.1,collision_intent:92;hipc_clear_bundle:4;hipc_entry:118;state:93,0.2250000000000001,0.2553763440860215,229,353.0665,9.0439,302.653,8.5987,229,50.4135,0.4892,completed
7,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,68.40191335959292,68.40191335959292,0,0,0,98,38,102,0,5,3,2,1,5.0,1,429,0,330,987,0,105,225,207,123,0.0,16.5,6.15,collision_intent:105;hipc_clear_bundle:6;hipc_entry:117;state:102,0.2749999999999999,0.17156862745098045,244,496.5828,11.4448,421.2106,10.8949,244,75.3722,0.7029,completed
8,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,54.79000556136424,54.79000556136424,0,0,0,74,32,78,0,3,0,0,0,0.0,0,349,0,260,777,0,77,183,155,105,0.0,13.0,5.25,collision_intent:77;hipc_clear_bundle:4;hipc_entry:101;state:78,0.2749999999999999,0.3012820512820513,223,360.8549,11.4337,298.5401,10.9202,223,62.3148,0.5713,completed
9,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,72.8085502519835,72.8085502519835,0,0,0,90,41,93,1,4,0,0,0,0.0,0,473,0,315,942,0,94,221,188,127,0.0,15.75,6.35,collision_intent:94;hipc_clear_bundle:4;hipc_entry:123;state:94,0.2749999999999999,0.303763440860215,313,444.6886,11.4263,359.3122,10.834,313,85.3764,0.5923,completed
10,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,56.79689100683664,56.79689100683664,0,0,0,77,34,81,0,5,0,0,0,0.0,0,360,0,296,885,0,80,216,161,135,0.0,14.8,6.75,collision_intent:80;hipc_clear_bundle:5;hipc_entry:130;state:81,0.2250000000000001,0.2685185185185186,237,365.6647,9.2844,286.7397,8.8964,237,78.925,0.691,completed
11,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,59.52267908981892,59.52267908981892,0,0,0,93,34,97,0,6,0,0,0,0.0,0,359,0,340,1017,0,97,243,194,146,0.0,17.0,7.3,collision_intent:97;hipc_clear_bundle:5;hipc_entry:141;state:97,0.19999999999999996,0.22422680412371143,201,384.9093,9.8896,314.4088,9.3644,201,70.5005,0.62,completed
12,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,61.027569451417214,61.027569451417214,0,0,0,88,35,92,0,8,0,0,0,0.0,0,382,0,309,924,0,93,216,185,124,0.0,15.45,6.2,collision_intent:93;hipc_clear_bundle:5;hipc_entry:119;state:92,0.19999999999999996,0.21195652173913038,230,371.9399,10.792,302.2565,10.2675,230,69.6834,0.5652,completed
13,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,51.0300866392133,51.0300866392133,0,0,0,85,29,89,0,4,0,0,0,0.0,0,303,0,285,852,0,89,196,178,107,0.0,14.25,5.35,collision_intent:89;hipc_clear_bundle:5;hipc_entry:102;state:89,0.2250000000000001,0.2106741573033708,162,345.2897,10.9967,298.3493,10.4482,162,46.9404,0.5485,completed
14,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,55.49398701628117,55.49398701628117,0,0,0,89,32,93,0,7,0,0,0,0.0,0,336,0,312,933,0,93,219,186,126,0.0,15.6,6.3,collision_intent:93;hipc_clear_bundle:5;hipc_entry:121;state:93,0.25,0.163978494623656,183,302.9974,8.393,251.3063,8.1152,183,51.6911,0.5281,completed
15,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,61.9786227705816,61.9786227705816,0,0,0,98,36,102,0,5,0,0,0,0.0,0,373,0,338,1011,0,102,236,204,134,0.0,16.9,6.7,collision_intent:102;hipc_clear_bundle:4;hipc_entry:130;state:102,0.3500000000000001,0.24019607843137258,200,404.0276,9.4503,341.7066,8.9625,200,62.321,0.5048,completed
16,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,55.16590655118955,55.16590655118955,0,0,0,73,32,77,0,1,0,0,0,0.0,0,348,0,272,813,0,77,195,154,118,0.0,13.6,5.9,collision_intent:77;hipc_clear_bundle:6;hipc_entry:112;state:77,0.2749999999999999,0.28246753246753253,227,395.2224,12.2467,318.5414,11.7186,227,76.681,0.5281,completed
17,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,63.55893244901972,63.55893244901972,0,0,0,89,36,92,1,6,0,0,0,0.0,0,401,0,311,930,0,93,218,186,125,0.0,15.55,6.25,collision_intent:93;hipc_clear_bundle:4;hipc_entry:121;state:93,0.3500000000000001,0.19565217391304346,249,394.0965,9.8473,311.4528,9.3443,249,82.6437,0.6071,completed
18,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h5_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,47.947116767532705,47.947116767532705,0,0,0,80,28,84,0,3,0,0,0,0.0,0,285,0,275,822,0,83,192,167,108,0.0,13.75,5.4,collision_intent:83;hipc_clear_bundle:3;hipc_entry:105;state:84,0.125,0.20833333333333326,154,329.8224,10.3163,279.8861,9.8075,154,49.9363,0.5339,completed
