trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,61.510929061811446,61.510929061811446,5,5,5,139,36,127,16,6,2,2,0,0.0,0,318,0,533,1292,307,141,392,284,249,0.26105442176870747,26.65,12.45,collision_intent:141;dga_entry:249;state:143,0.07499999999999996,0.061023622047243986,78,11412.4862,716.9997,11401.0548,716.5791,34,11.4314,0.617,completed
1,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,58.010413446236704,58.010413446236704,3,3,3,131,33,125,10,9,6,4,2,10.0,1,306,0,625,1502,370,138,487,273,352,0.25359835503769707,31.25,17.6,collision_intent:138;dga_entry:352;state:135,0.07499999999999996,0.05400000000000005,77,14895.7415,687.6143,14883.1405,687.2709,37,12.601,0.6567,completed
2,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,59.776019422704444,59.776019422704444,7,7,7,136,34,121,19,9,1,1,0,0.0,0,313,0,586,1417,338,137,449,277,309,0.25148809523809523,29.3,15.45,collision_intent:137;dga_entry:309;state:140,0.25,0.08884297520661155,71,13588.9528,651.0612,13577.1199,650.5134,29,11.8329,0.6128,completed
3,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,64.2116993981371,64.2116993981371,5,5,5,145,37,133,16,8,9,5,3,15.0,1,342,0,646,1585,350,152,494,301,345,0.23664638269100743,32.3,17.25,collision_intent:152;dga_entry:345;state:149,0.30000000000000004,0.03571428571428581,69,14330.2192,734.3078,14317.5099,733.9279,35,12.7093,0.627,completed
4,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,57.821917740768384,57.821917740768384,2,2,2,130,33,119,15,12,0,0,0,0.0,0,303,0,640,1519,399,130,510,264,376,0.26112565445026176,32.0,18.8,collision_intent:130;dga_entry:376;state:134,0.07499999999999996,0.014705882352941124,72,13798.363,722.0273,13786.4148,721.6494,30,11.9482,0.7259,completed
5,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,65.58274497655769,65.58274497655769,8,8,8,149,38,135,18,8,3,3,0,0.0,0,348,0,624,1504,367,155,469,308,316,0.26102418207681366,31.2,15.8,collision_intent:155;dga_entry:316;state:153,0.19999999999999996,0.04629629629629628,83,12390.0483,649.4745,12379.0001,648.9407,28,11.0482,0.589,completed
6,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,52.281963695729466,52.281963695729466,1,1,1,120,30,118,6,11,7,4,1,5.0,1,281,0,718,1704,447,124,594,248,470,0.25126475548060706,35.9,23.5,collision_intent:124;dga_entry:470;state:124,0.17500000000000004,0.029661016949152463,89,17567.9831,702.1104,17551.8445,701.5393,40,16.1386,0.6367,completed
7,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,51.975182764598856,51.975182764598856,1,1,1,113,30,111,6,1,0,0,0,0.0,0,282,0,459,1120,255,114,345,231,228,0.2468538238141336,22.95,11.4,collision_intent:114;dga_entry:228;state:117,0.19999999999999996,0.08333333333333326,74,10098.8469,683.0321,10087.9962,682.6638,38,10.8507,0.5598,completed
8,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,54.611224290359225,54.611224290359225,8,8,8,127,32,111,20,6,0,0,0,0.0,0,283,0,497,1206,281,127,370,258,239,0.25406871609403253,24.85,11.95,collision_intent:127;dga_entry:239;state:131,0.19999999999999996,0.06981981981981988,69,10205.8356,760.8893,10197.5141,760.3492,19,8.3215,0.6204,completed
9,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,70.44862528865107,70.44862528865107,7,7,7,162,41,139,27,9,1,1,0,0.0,0,363,0,657,1601,367,163,494,329,328,0.24814063556457067,32.85,16.4,collision_intent:163;dga_entry:328;state:166,0.32499999999999996,0.07374100719424459,86,14271.9857,895.0347,14258.3964,894.669,33,13.5893,0.648,completed
10,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,64.6401741895845,64.6401741895845,6,6,6,148,38,127,25,3,0,0,0,0.0,0,332,0,524,1287,283,149,375,301,223,0.25200356188780054,26.2,11.15,collision_intent:149;dga_entry:223;state:152,0.32499999999999996,0.09251968503937014,72,9372.904,665.7311,9363.0119,665.1829,29,9.8921,0.6107,completed
11,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,59.81144940603799,59.81144940603799,6,6,6,132,35,114,22,5,0,0,0,0.0,0,317,0,504,1227,283,133,371,269,235,0.25472547254725475,25.2,11.75,collision_intent:133;dga_entry:235;state:136,0.07499999999999996,0.06578947368421062,90,11090.6252,691.3256,11077.801,690.7464,45,12.8242,0.6524,completed
12,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,72.97693610303801,72.97693610303801,7,7,7,166,42,144,26,13,3,1,1,5.0,1,376,0,677,1653,377,168,509,338,339,0.2470511140235911,33.85,16.95,collision_intent:168;dga_entry:339;state:170,0.2250000000000001,0.06944444444444442,82,13058.2039,660.3962,13044.9737,660.0367,38,13.2302,0.5838,completed
13,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,58.53286064380767,58.53286064380767,2,2,2,131,34,128,7,8,6,5,1,5.0,1,314,0,472,1156,257,138,334,273,199,0.25725725725725723,23.6,9.95,collision_intent:138;dga_entry:199;state:135,0.1499999999999999,0.046875,73,8671.6953,698.5286,8662.8785,697.9008,28,8.8168,0.6278,completed
14,known_visit,DGA_iter_25,bernoulli,drop_0.25,19,361,4,20,targets_20_dga_h8_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,65.32904035409223,65.32904035409223,4,4,4,142,38,131,15,6,0,0,0,0.0,0,344,0,605,1477,332,144,461,290,315,0.24057971014492754,30.25,15.75,collision_intent:144;dga_entry:315;state:146,0.10000000000000009,0.055343511450381744,98,13572.1449,684.5391,13555.6614,683.9739,56,16.4835,0.6461,completed
