trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,47,10,0,47,1,0,0,0,0,0.0,0,0,183,95,88,138,0,18,57.833600000000004,3.212977777777778,2.28605,10.7802,10.7802,52.408500000000004,2.9115833333333336,1.99065,10.3421,10.3421,18,5.4251,0.3013944444444444,0.29000000000000004,0.4381,0.4381,completed
0,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,9,3,0,10,0,0,0,0,0,0.0,0,0,32,20,12,288,0,140,194.7321,1.3909435714285714,0.66475,4.0933,10.5016,159.0,1.1357142857142857,0.41645,3.6928,10.076,140,35.7321,0.2552292857142857,0.2495,0.3494,0.4256,completed
0,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,3,1,0,4,0,0,0,0,0,0.0,0,0,10,8,2,310,0,159,289.5197,1.8208786163522013,0.922,5.3663,10.7418,246.9086,1.5528842767295599,0.6585,4.922,10.3086,159,42.6111,0.2679943396226415,0.2574,0.385,0.4776,completed
0,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,22,6,0,23,0,1,0,0,0,0.0,0,0,96,47,49,224,0,99,93.56739999999999,0.9451252525252525,0.4726,4.6694,10.9813,69.6043,0.7030737373737374,0.2332,4.1844,10.4865,99,23.9631,0.24205151515151516,0.2363,0.3385,0.5566,completed
1,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,9,4,0,10,0,0,0,0,0,0.0,0,0,31,20,11,188,0,104,99.1433,0.9533009615384616,0.4817,3.6004,8.394,72.174,0.6939807692307693,0.24155,3.2547,7.9623,104,26.9693,0.2593201923076923,0.2475,0.3457,0.5062,completed
1,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,16,6,0,17,0,0,0,0,0,0.0,0,0,56,34,22,163,0,84,95.9642,1.1424309523809524,0.45485,6.4173,10.8319,75.008,0.8929523809523809,0.22244999999999998,6.0244,10.4759,84,20.9562,0.2494785714285714,0.23615,0.3459,0.4297,completed
1,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,37,8,0,37,1,0,0,0,0,0.0,0,0,119,75,44,101,0,16,43.2994,2.7062125,1.6951,9.5955,9.5955,38.283899999999996,2.3927437499999997,1.4085,9.1612,9.1612,16,5.0155,0.31346875,0.28715,0.515,0.515,completed
1,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,4,2,0,5,0,0,0,0,0,0.0,0,0,14,10,4,205,0,119,147.5233,1.2396915966386555,0.5072,4.5496,10.3716,116.2741,0.9770932773109244,0.2524,4.2138,9.9418,119,31.249200000000002,0.2625983193277311,0.2515,0.3412,0.4477,completed
2,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,7,3,0,8,0,0,0,0,0,0.0,0,0,23,16,7,239,0,104,197.7432,1.901376923076923,1.17055,5.8484,10.269,167.6236,1.6117653846153848,0.87025,5.5008,9.8241,104,30.1196,0.2896115384615384,0.2832,0.4055,0.4499,completed
2,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,2,0,0,3,0,0,0,0,0,0.0,0,0,8,6,2,254,0,118,283.6365,2.403699152542373,1.24965,7.2897,10.5199,247.7817,2.0998449152542373,0.95335,6.8467,10.0379,118,35.8548,0.3038542372881356,0.2907,0.443,0.4873,completed
2,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,35,8,0,36,0,1,0,0,0,0.0,0,0,116,71,45,147,0,16,53.704,3.3565,2.363,10.106,10.106,48.4071,3.02544375,1.9779499999999999,9.6445,9.6445,16,5.2969,0.33105625,0.3161,0.4615,0.4615,completed
2,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,30,9,0,31,0,0,0,0,0,0.0,0,0,116,62,54,146,0,32,61.1633,1.911353125,0.5194,7.633,9.3491,51.924,1.622625,0.26565,7.1585,8.905,32,9.2393,0.288728125,0.24985,0.4525,0.4745,completed
3,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,50,10,0,51,0,0,0,0,0,0.0,0,0,174,101,73,138,0,18,64.467,3.5815,2.8840500000000002,9.7898,9.7898,58.9972,3.277622222222222,2.57195,9.3579,9.3579,18,5.4698,0.3038777777777778,0.30245,0.4446,0.4446,completed
3,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,01,20,7,0,21,0,0,0,0,0,0.0,0,0,80,43,37,231,0,111,138.2725,1.2456981981981983,0.6165,6.1768,9.8014,111.6781,1.006109009009009,0.3992,5.7731,9.3709,111,26.5944,0.2395891891891892,0.2224,0.4037,0.4644,completed
3,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,02,3,1,0,4,0,0,0,0,0,0.0,0,0,25,8,17,286,0,167,329.2293,1.9714329341317367,1.1644,6.1367,9.0642,284.1533,1.7015167664670658,0.8871,5.7155,8.6351,167,45.076,0.26991616766467064,0.2799,0.4198,0.4853,completed
3,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,03,3,2,0,4,0,0,0,0,0,0.0,0,0,33,8,25,278,0,167,345.0505,2.0661706586826347,1.1765,6.3919,10.351,299.9769,1.796268862275449,0.9032,5.949,9.919,167,45.0736,0.26990179640718565,0.2792,0.4075,0.4805,completed
4,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,00,53,12,0,54,0,0,0,0,0,0.0,0,0,182,107,75,109,0,17,56.8081,3.341652941176471,2.2646,10.6848,10.6848,51.3076,3.018094117647059,1.941,10.2094,10.2094,17,5.5005,0.32355882352941173,0.3113,0.4754,0.4754,completed
