trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,21,1,0,22,0,0,0,0,0,0.0,0,0,43,43,0,97,9,13,4.714700000000001,0.3626692307692308,0.1867,1.0154,1.0154,1.6169,0.12437692307692308,0.0417,0.3874,0.3874,18,3.0978,0.1721,0.1537,0.2626,0.2626,completed
0,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,15,0,1,14,2,0,0,0,0,0.0,0,0,32,32,0,94,22,30,11.6933,0.3897766666666667,0.2294,0.7666,1.0025,2.4722,0.08240666666666667,0.02635,0.2253,0.451,49,9.2211,0.1881857142857143,0.1936,0.2176,0.3002,completed
0,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,02,15,2,0,16,0,0,0,0,0,0.0,0,0,32,32,0,106,11,28,12.2231,0.43653928571428574,0.30820000000000003,0.8551,1.0826,2.5772,0.09204285714285713,0.06455,0.1679,0.5796,51,9.6459,0.18913529411764704,0.1956,0.2465,0.2718,completed
0,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,03,20,2,0,21,0,0,0,0,0,0.0,0,0,42,42,0,88,18,14,4.1956,0.2996857142857143,0.20465,0.988,0.988,1.1171,0.07979285714285714,0.0266,0.49,0.49,17,3.0785,0.18108823529411766,0.1783,0.2845,0.2845,completed
1,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,13,1,0,14,0,0,0,0,0,0.0,0,0,27,27,0,55,11,5,1.4918,0.29836,0.0386,0.7889,0.7889,0.656,0.1312,0.0386,0.3578,0.3578,4,0.8358,0.20895,0.20475,0.2273,0.2273,completed
1,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,12,1,0,12,1,0,0,0,0,0.0,0,0,26,26,0,55,11,5,2.4026,0.48052,0.5644,0.7067,0.7067,0.7919,0.15838000000000002,0.1596,0.2993,0.2993,9,1.6107,0.17896666666666666,0.1684,0.2051,0.2051,completed
1,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,02,9,1,0,10,0,0,0,0,0,0.0,0,0,20,20,0,66,6,16,7.1302,0.4456375,0.5428499999999999,0.7982,0.7982,1.5837,0.09898125,0.1114,0.394,0.394,31,5.5465,0.1789193548387097,0.1721,0.2115,0.2116,completed
1,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,03,9,2,0,10,0,0,0,0,0,0.0,0,0,20,20,0,59,13,17,5.9293000000000005,0.3487823529411765,0.2258,0.7366,0.7366,1.3137,0.0772764705882353,0.0381,0.3167,0.3167,26,4.6156,0.17752307692307692,0.16565,0.2171,0.2645,completed
2,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,16,1,0,17,0,0,0,0,0,0.0,0,0,33,33,0,68,10,3,0.6628000000000001,0.22093333333333334,0.0283,0.6128,0.6128,0.3293,0.10976666666666667,0.0283,0.2793,0.2793,2,0.3335,0.16675,0.16675,0.1872,0.1872,completed
2,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,15,2,0,16,0,0,0,0,0,0.0,0,0,31,31,0,69,10,4,1.1959,0.298975,0.34835,0.4668,0.4668,0.4272,0.1068,0.10244999999999999,0.1899,0.1899,6,0.7686999999999999,0.12811666666666666,0.1334,0.1503,0.1503,completed
