trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(10,12);(15,17);(16,5);(18,18);(2,11)",5,True,34.626730091409,34.626730091409,00:1;01:1;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(16,5);(16,11);(15,18);(18,18)",174,0,completed
1,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(6,10);(3,16);(7,16);(10,1);(0,8)",5,True,21.463149883573696,21.463149883573696,00:1;01:2;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(10,1);(6,10);(8,16);(0,11)",119,0,completed
2,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(11,5);(9,8);(7,14);(2,13);(6,6)",5,True,28.772001891280674,28.772001891280674,00:0;01:2;02:3;03:0,"(0,0);(0,6);(0,12);(0,18)","(11,0);(12,6);(9,8);(7,14)",162,0,completed
3,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(17,11);(3,15);(1,18);(7,6);(1,16)",5,True,36.475386429845464,36.475386429845464,00:0;01:2;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(7,7);(17,11);(6,9);(7,12)",212,0,completed
4,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(16,4);(18,8);(10,9);(18,7);(0,7)",5,True,39.01302535956134,39.01302535956134,00:1;01:4;02:0;03:0,"(0,0);(0,6);(0,12);(0,18)","(15,6);(18,7);(17,7);(12,7)",201,0,completed
5,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(6,13);(13,10);(17,11);(4,4);(3,2)",5,True,40.672266463519456,40.672266463519456,00:1;01:2;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(3,8);(13,10);(3,2);(17,11)",228,0,completed
6,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(5,3);(0,2);(18,10);(4,4);(15,5)",5,True,43.460306205049044,43.460306205049044,00:2;01:3;02:0;03:0,"(0,0);(0,6);(0,12);(0,18)","(18,7);(18,10);(6,4);(11,3)",223,0,completed
7,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(3,12);(12,6);(11,9);(18,10);(18,11)",5,True,32.93266090344387,32.93266090344387,00:0;01:1;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(18,2);(18,7);(18,10);(11,9)",163,0,completed
8,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(1,9);(5,12);(12,11);(12,3);(8,6)",5,True,24.139048769703436,24.139048769703436,00:0;01:2;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(12,2);(12,3);(12,10);(1,9)",125,0,completed
9,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(11,11);(5,17);(9,14);(0,2);(15,0)",5,True,31.251285683065746,31.251285683065746,00:2;01:1;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(15,0);(11,11);(12,17);(12,12)",168,0,completed
