trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,51,5,0,52,0,0,0,0,0,0.0,0,0,118,103,15,14,0,5,4.9176,0.9835200000000001,0.5446,2.9531,2.9531,3.1204,0.62408,0.3659,1.7768,1.7768,10,1.7972,0.17972,0.1946,0.2012,0.2012,completed
0,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,0,0,0,1,0,0,0,0,0,0.0,0,0,2,1,1,129,0,173,81.0555,0.468528901734104,0.4522,0.6399,0.7341,53.0339,0.3065543352601156,0.3005,0.4358,0.526,173,28.0216,0.16197456647398845,0.1702,0.2112,0.2904,completed
0,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,02,0,0,0,1,0,0,0,0,0,0.0,0,0,2,1,1,129,0,173,80.9835,0.4681127167630058,0.4542,0.6265,0.8193,53.057,0.3066878612716763,0.3029,0.4345,0.5387,173,27.9265,0.16142485549132948,0.1711,0.2028,0.3136,completed
0,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,03,1,0,0,2,0,0,0,0,0,0.0,0,0,10,4,6,121,0,171,83.4081,0.4877666666666667,0.4516,0.6685,3.0498,54.4836,0.31861754385964913,0.301,0.4584,1.8494,176,28.9245,0.16434374999999998,0.17075,0.2149,0.3662,completed
1,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,11,1,0,12,0,0,0,0,0,0.0,0,0,26,24,2,82,0,46,18.6767,0.40601521739130436,0.37695,0.5714,1.0744,11.8052,0.25663478260869566,0.2465,0.3916,0.6501,47,6.8715,0.14620212765957447,0.1304,0.2059,0.2286,completed
1,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,4,1,0,5,0,1,0,0,0,0.0,0,0,14,10,4,94,0,68,31.6585,0.46556617647058823,0.4747,0.6148,1.0663,20.5009,0.3014838235294118,0.3022,0.4087,0.6568,70,11.1576,0.1593942857142857,0.17320000000000002,0.2043,0.2097,completed
1,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,02,23,3,0,24,0,0,2,1,1,5.0,1,0,67,49,18,42,0,4,5.6315,1.407875,1.1225,3.0701,3.0701,3.3317,0.832925,0.66315,1.8016,1.8016,12,2.2998,0.19165,0.19365,0.2258,0.2258,completed
1,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,03,0,0,0,1,0,0,0,0,0,0.0,0,0,2,1,1,106,0,81,38.7189,0.4780111111111111,0.4976,0.6281,0.7479,25.0512,0.3092740740740741,0.3086,0.4272,0.4587,81,13.6677,0.16873703703703705,0.1776,0.2041,0.5601,completed
2,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,0,0,0,1,0,0,0,0,0,0.0,0,0,2,1,1,81,0,54,25.8833,0.47932037037037034,0.4334,0.7183,0.7439,16.7587,0.31034629629629634,0.26785000000000003,0.485,0.4904,54,9.124600000000001,0.16897407407407408,0.16675,0.2348,0.3212,completed
2,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,16,3,0,17,0,0,0,0,0,0.0,0,0,41,33,8,43,0,5,4.2768,0.8553599999999999,0.5408,1.7155,1.7155,2.66,0.532,0.3362,1.018,1.018,8,1.6168,0.2021,0.21005000000000001,0.2336,0.2336,completed
2,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,02,9,2,0,10,0,0,0,0,0,0.0,0,0,30,20,10,53,0,25,14.2591,0.570364,0.4484,0.647,3.3402,8.8724,0.35489600000000004,0.2784,0.4643,1.9594,30,5.3867,0.17955666666666667,0.16925,0.2336,0.2338,completed
2,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,03,1,0,0,2,0,0,0,0,0,0.0,0,0,11,4,7,72,0,52,27.2647,0.5243211538461539,0.43585,0.7517,3.2456,17.4638,0.33584230769230766,0.27005,0.5335,1.8823,57,9.8009,0.17194561403508773,0.1689,0.2354,0.2445,completed
3,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,0,0,0,1,0,0,0,0,0,0.0,0,0,2,1,1,80,0,72,31.6142,0.4390861111111111,0.43025,0.6529,0.7201,20.2113,0.28071250000000003,0.26425,0.4591,0.5125,72,11.4029,0.15837361111111112,0.16515000000000002,0.2076,0.2106,completed
3,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,22,2,0,23,0,0,0,0,0,0.0,0,0,48,45,3,35,0,5,3.6877,0.73754,0.6114,1.5628,1.5628,2.4052,0.48103999999999997,0.4358,0.9339,0.9339,7,1.2825,0.18321428571428572,0.1923,0.2412,0.2412,completed
3,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,02,2,0,0,3,0,0,0,0,0,0.0,0,0,14,6,8,68,0,68,30.9788,0.4555705882352941,0.42510000000000003,0.6122,3.0502,19.4469,0.28598382352941176,0.2611,0.4104,1.8284,73,11.5319,0.15797123287671233,0.1649,0.2018,0.2293,completed
3,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,03,6,3,0,7,0,0,0,0,0,0.0,0,0,19,14,5,63,0,54,22.1844,0.4108222222222222,0.4202,0.6006,1.4591,13.6068,0.2519777777777778,0.2568,0.4235,0.7603,57,8.5776,0.1504842105263158,0.1632,0.1992,0.2763,completed
4,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,0,0,0,1,0,0,0,0,0,0.0,0,0,2,1,1,91,0,95,38.5395,0.40567894736842103,0.3685,0.5837,0.665,25.7504,0.27105684210526315,0.2462,0.3895,0.4712,95,12.7891,0.13462210526315788,0.1187,0.1886,0.2109,completed
4,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,28,5,0,29,0,0,0,0,0,0.0,0,0,72,57,15,22,0,5,3.6395,0.7279,0.3854,1.9742,1.9742,2.2959,0.45918000000000003,0.268,1.1597,1.1597,10,1.3436,0.13435999999999998,0.13574999999999998,0.1812,0.1812,completed
4,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,02,1,0,0,2,0,0,0,0,0,0.0,0,0,10,4,6,83,0,92,38.319,0.41651086956521743,0.36585,0.5711,2.3808,25.252,0.2744782608695652,0.24375,0.3867,1.4336,97,13.067,0.13471134020618558,0.1205,0.1943,0.2625,completed
4,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,03,1,0,0,2,0,0,0,0,0,0.0,0,0,10,4,6,83,0,92,38.6095,0.41966847826086956,0.3631,0.5974,1.9697,25.2985,0.2749836956521739,0.24435,0.383,1.1281,97,13.311,0.13722680412371133,0.1197,0.1969,0.3308,completed
5,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,34,5,0,35,0,0,0,0,0,0.0,0,0,84,69,15,22,0,5,4.9738,0.99476,0.5682,2.846,2.846,3.1429,0.62858,0.3852,1.6886,1.6886,10,1.8309,0.18309,0.18925,0.1976,0.1976,completed
5,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,1,0,0,2,0,0,0,0,0,0.0,0,0,10,4,6,95,0,114,54.5203,0.47824824561403506,0.4655,0.6084,2.9286,35.2682,0.3093701754385965,0.2843,0.4116,1.7712,119,19.2521,0.16178235294117646,0.1707,0.2031,0.2915,completed
5,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,02,1,0,0,2,0,0,0,0,0,0.0,0,0,10,4,6,95,0,114,55.1014,0.4833456140350877,0.46009999999999995,0.6181,2.7903,35.8071,0.3140973684210526,0.29725,0.4164,1.6501,119,19.2943,0.16213697478991596,0.1724,0.2138,0.2881,completed
5,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,03,0,0,0,1,0,0,0,0,0,0.0,0,0,2,1,1,103,0,116,54.687,0.47143965517241376,0.47209999999999996,0.6253,0.7529,35.9255,0.30970258620689656,0.30015000000000003,0.4278,0.5341,116,18.7615,0.16173706896551726,0.17105,0.203,0.2689,completed
6,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,2,1,0,3,0,0,0,0,0,0.0,0,0,8,6,2,87,0,110,49.7919,0.45265363636363637,0.47055,0.5947,1.003,32.3139,0.29376272727272723,0.29764999999999997,0.4007,0.62,111,17.478,0.15745945945945947,0.1722,0.1996,0.2683,completed
6,known_visit,PI,ideal,1.0,19,361,4,5,targets_5_pi_h12_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,0,0,0,1,0,0,0,0,0,0.0,0,0,2,1,1,93,0,116,53.5592,0.4617172413793103,0.47115,0.649,0.8186,34.7544,0.2996068965517241,0.29895,0.4437,0.5289,116,18.8048,0.1621103448275862,0.17315,0.2231,0.3749,completed
