trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(10,12);(15,17);(16,5);(18,18);(2,11)",5,True,34.55101907898524,34.55101907898524,00:1;01:2;02:0;03:2,"(0,0);(0,6);(0,12);(0,18)","(16,5);(10,12);(2,11);(18,18)",181,0,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(6,10);(3,16);(7,16);(10,1);(0,8)",5,True,18.06160489039201,18.06160489039201,00:1;01:1;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(10,1);(0,8);(7,12);(7,16)",109,0,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(11,5);(9,8);(7,14);(2,13);(6,6)",5,True,26.626743016454398,26.626743016454398,00:0;01:3;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(6,6);(11,5);(9,11);(1,18)",160,0,completed
3,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(17,11);(3,15);(1,18);(7,6);(1,16)",5,True,36.01803914138983,36.01803914138983,00:0;01:2;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(2,16);(17,11);(7,6);(3,16)",208,0,completed
4,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(16,4);(18,8);(10,9);(18,7);(0,7)",5,True,45.264820104294074,45.264820104294074,00:2;01:1;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(18,7);(11,7);(16,4);(18,9)",248,0,completed
5,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(6,13);(13,10);(17,11);(4,4);(3,2)",5,True,33.74721643846096,33.74721643846096,00:1;01:1;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(5,8);(6,4);(17,11);(7,5)",200,0,completed
6,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(5,3);(0,2);(18,10);(4,4);(15,5)",5,True,46.37136715744165,46.37136715744165,00:2;01:1;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(5,3);(5,4);(15,5);(6,10)",300,0,completed
7,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(3,12);(12,6);(11,9);(18,10);(18,11)",5,True,36.77595488618548,36.77595488618548,00:1;01:1;02:3;03:0,"(0,0);(0,6);(0,12);(0,18)","(11,9);(12,7);(18,11);(12,18)",207,0,completed
8,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(1,9);(5,12);(12,11);(12,3);(8,6)",5,True,37.7180623551312,37.7180623551312,00:2;01:1;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(12,11);(8,9);(1,9);(5,12)",229,0,completed
9,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h2_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(11,11);(5,17);(9,14);(0,2);(15,0)",5,True,57.88805999813703,57.88805999813703,00:2;01:0;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(15,0);(9,14);(11,11);(5,14)",353,0,completed
