trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,DMCHBA,ideal,1.0,19,361,4,5,targets_5_dmchba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,32.9588530407265,32.9588530407265,0,0,0,69,20,73,0,0,0,0,0,0.0,0,175,0,145,432,0,72,73,145,0,0.0,29.0,0.0,collision_intent:72;state:73,0.3500000000000001,0.051369863013698724,45,13.5435,1.0379,4.1683,0.5548,59,9.3752,0.2615,completed
1,known_visit,DMCHBA,ideal,1.0,19,361,4,5,targets_5_dmchba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,17.38146212577115,17.38146212577115,0,0,0,35,11,39,0,0,0,0,0,0.0,0,98,0,77,228,0,38,39,77,0,0.0,15.4,0.0,collision_intent:38;state:39,0.1499999999999999,0.08333333333333326,35,15.3755,1.4735,4.381,0.4671,49,10.9945,0.8947,completed
2,known_visit,DMCHBA,ideal,1.0,19,361,4,5,targets_5_dmchba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,26.18052131698255,26.18052131698255,0,0,0,45,16,49,0,0,0,0,0,0.0,0,152,0,97,288,0,48,49,97,0,0.0,19.4,0.0,collision_intent:48;state:49,0.3500000000000001,0.11734693877551017,70,26.759,3.1219,9.3577,2.577,102,17.4013,0.2987,completed
3,known_visit,DMCHBA,ideal,1.0,19,361,4,5,targets_5_dmchba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,36.45673495707429,36.45673495707429,0,0,0,39,22,43,0,1,0,0,0,0.0,0,243,0,85,252,0,42,43,85,0,0.0,17.0,0.0,collision_intent:42;state:43,0.3500000000000001,0.2965116279069768,174,56.4761,0.86,9.9054,0.4106,269,46.5707,0.2963,completed
4,known_visit,DMCHBA,ideal,1.0,19,361,4,5,targets_5_dmchba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,33.732930929907894,33.732930929907894,1,1,1,80,20,82,2,0,0,0,0,0.0,0,169,0,164,489,0,80,84,164,0,0.0,32.8,0.0,collision_intent:80;state:84,0.44999999999999996,0.018292682926829285,16,4.7245,0.9297,2.2074,0.4175,12,2.5171,0.2597,completed
5,known_visit,DMCHBA,ideal,1.0,19,361,4,5,targets_5_dmchba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,37.13629110275175,37.13629110275175,0,0,0,48,22,52,0,1,0,0,0,0.0,0,239,0,103,306,0,51,52,103,0,0.0,20.6,0.0,collision_intent:51;state:52,0.55,0.32692307692307687,146,50.6348,1.0105,10.4109,0.3832,230,40.2239,0.3102,completed
6,known_visit,DMCHBA,ideal,1.0,19,361,4,5,targets_5_dmchba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,33.131013783997986,33.131013783997986,0,0,0,50,20,54,0,0,0,0,0,0.0,0,202,0,107,318,0,53,54,107,0,0.0,21.4,0.0,collision_intent:53;state:54,0.3500000000000001,0.2685185185185186,107,41.9703,1.076,8.8166,0.4007,179,33.1537,0.2876,completed
7,known_visit,DMCHBA,ideal,1.0,19,361,4,5,targets_5_dmchba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,32.77438110287142,32.77438110287142,0,0,0,68,20,72,0,0,0,0,0,0.0,0,176,0,141,420,0,69,72,141,0,0.0,28.2,0.0,collision_intent:69;state:72,0.55,0.10416666666666674,48,20.0043,1.0725,5.4656,0.4377,82,14.5387,0.2741,completed
8,known_visit,DMCHBA,ideal,1.0,19,361,4,5,targets_5_dmchba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,25.29486453907779,25.29486453907779,0,0,0,55,15,59,0,0,2,1,1,5.0,1,138,0,118,351,0,59,59,118,0,0.0,23.6,0.0,collision_intent:59;state:59,0.1499999999999999,0.05508474576271194,26,8.4583,0.782,2.7011,0.2743,40,5.7572,0.188,completed
9,known_visit,DMCHBA,ideal,1.0,19,361,4,5,targets_5_dmchba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,31.54373460762419,31.54373460762419,0,0,0,59,19,63,0,0,0,0,0,0.0,0,178,0,125,372,0,62,63,125,0,0.0,25.0,0.0,collision_intent:62;state:63,0.3500000000000001,0.07539682539682535,65,22.216,1.2505,5.7151,0.4665,99,16.5009,0.3042,completed
