trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,DGA_iter_25,ideal,1.0,19,361,4,5,targets_5_dga_h3_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,1,0,0,2,0,0,0,0,0,0.0,0,0,12,4,8,108,0,64,7141.8174,111.590896875,114.01050000000001,144.9753,152.2057,7130.3141,111.4111578125,113.82145,144.7559,151.9866,64,11.5033,0.1797390625,0.19269999999999998,0.253,0.3253,completed
0,known_visit,DGA_iter_25,ideal,1.0,19,361,4,5,targets_5_dga_h3_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,17,1,0,18,0,0,0,0,0,0.0,0,0,36,36,0,84,0,13,1023.1673,78.70517692307692,85.6447,133.1393,133.1393,1021.0083999999999,78.53910769230768,85.4207,132.928,132.928,11,2.1589,0.19626363636363636,0.212,0.2493,0.2493,completed
0,known_visit,DGA_iter_25,ideal,1.0,19,361,4,5,targets_5_dga_h3_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,02,12,2,0,13,0,0,0,0,0,0.0,0,0,26,26,0,94,0,27,2496.8976,92.47768888888888,94.8905,117.6022,154.922,2490.7651,92.25055925925926,93.5231,117.4484,154.7666,26,6.1325,0.23586538461538462,0.19515,0.2378,1.4578,completed
0,known_visit,DGA_iter_25,ideal,1.0,19,361,4,5,targets_5_dga_h3_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,03,20,2,0,21,0,0,0,0,0,0.0,0,0,47,41,6,74,0,4,272.1375,68.034375,62.73475,146.6157,146.6157,271.6451,67.911275,62.618900000000004,146.355,146.355,2,0.49239999999999995,0.24619999999999997,0.24619999999999997,0.2607,0.2607,completed
1,known_visit,DGA_iter_25,ideal,1.0,19,361,4,5,targets_5_dga_h3_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,11,1,0,12,0,0,0,0,0,0.0,0,0,28,23,5,62,0,5,285.6854,57.137080000000005,0.0851,158.7294,158.7294,285.25800000000004,57.05160000000001,0.0851,158.4592,158.4592,2,0.4274,0.2137,0.2137,0.2702,0.2702,completed
1,known_visit,DGA_iter_25,ideal,1.0,19,361,4,5,targets_5_dga_h3_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,2,1,0,3,0,0,0,0,0,0.0,0,0,11,6,5,78,0,29,3122.6399,107.67723793103448,104.417,145.5506,147.7724,3117.2394,107.49101379310345,104.231,145.3362,147.5582,29,5.4005,0.18622413793103448,0.2031,0.245,0.2803,completed
1,known_visit,DGA_iter_25,ideal,1.0,19,361,4,5,targets_5_dga_h3_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,02,8,1,0,9,0,1,0,0,0,0.0,0,0,26,18,8,63,0,11,768.2895,69.8445,70.7078,141.9398,141.9398,766.8554,69.71412727272728,70.5878,141.7258,141.7258,9,1.4341,0.15934444444444443,0.1755,0.214,0.214,completed
1,known_visit,DGA_iter_25,ideal,1.0,19,361,4,5,targets_5_dga_h3_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,03,9,2,0,10,0,0,0,0,0,0.0,0,0,25,20,5,64,0,8,564.2919,70.5364875,71.2834,144.2418,144.2418,563.2336,70.4042,71.12625,144.0364,144.0364,6,1.0583,0.17638333333333334,0.20305,0.2108,0.2108,completed
2,known_visit,DGA_iter_25,ideal,1.0,19,361,4,5,targets_5_dga_h3_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,0,0,0,1,0,0,0,0,0,0.0,0,0,8,1,7,83,0,54,5799.5158,107.39844074074074,113.6125,159.0766,168.1452,5789.6956,107.21658518518518,113.4144,158.8288,167.997,54,9.8202,0.18185555555555555,0.1886,0.2565,0.2706,completed
2,known_visit,DGA_iter_25,ideal,1.0,19,361,4,5,targets_5_dga_h3_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,16,3,0,17,0,0,0,0,0,0.0,0,0,40,33,7,52,0,6,304.5914,50.765233333333335,0.0854,163.7918,163.7918,304.21970000000005,50.70328333333334,0.0854,163.5689,163.5689,2,0.3717,0.18585,0.18585,0.2229,0.2229,completed
