trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,38.95851323687303,38.95851323687303,2,2,2,75,22,76,3,0,0,0,0,0.0,0,216,0,157,414,54,78,79,157,0,0.23076923076923078,31.4,0.0,collision_intent:78;state:79,0.3500000000000001,0.11184210526315796,70,20.3294,0.9403,5.1177,0.355,114,15.2117,0.2476,completed
1,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,21.83243752882209,21.83243752882209,0,0,0,43,13,46,1,0,0,0,0,0.0,0,122,0,93,235,41,46,47,93,0,0.2971014492753623,18.6,0.0,collision_intent:46;state:47,0.1499999999999999,0.07608695652173902,43,15.4043,0.7742,3.9957,0.3483,68,11.4086,0.2249,completed
2,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,25.57414316428285,25.57414316428285,0,0,0,52,16,56,0,0,0,0,0,0.0,0,142,0,111,290,41,55,56,111,0,0.2469879518072289,22.2,0.0,collision_intent:55;state:56,0.1499999999999999,0.09821428571428581,41,15.2139,0.7757,3.7176,0.336,67,11.4963,0.226,completed
3,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,36.117649850775145,36.117649850775145,0,0,0,39,22,43,0,1,0,0,0,0.0,0,241,0,86,226,29,43,43,86,0,0.23015873015873015,17.2,0.0,collision_intent:43;state:43,0.3500000000000001,0.2965116279069768,173,48.9461,0.7821,8.5757,0.3627,236,40.3704,0.2253,completed
4,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,40.43566470099717,40.43566470099717,2,2,2,79,24,78,5,0,3,1,1,5.0,1,223,0,165,422,71,82,83,165,0,0.2874493927125506,33.0,0.0,collision_intent:82;state:83,0.55,0.14743589743589736,69,22.5675,2.556,5.9858,0.4117,114,16.5817,1.6849,completed
5,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,33.420620368031365,33.420620368031365,0,0,0,62,20,64,2,1,0,0,0,0.0,0,192,0,131,330,60,65,66,131,0,0.3076923076923077,26.2,0.0,collision_intent:65;state:66,0.3500000000000001,0.15625,69,23.6262,1.1623,4.9116,0.2087,119,18.7146,0.3262,completed
6,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,32.51855215868576,32.51855215868576,0,0,0,64,20,68,0,0,0,0,0,0.0,0,179,0,135,348,54,67,68,135,0,0.26865671641791045,27.0,0.0,collision_intent:67;state:68,0.3500000000000001,0.13235294117647056,60,19.0374,0.9152,4.7975,0.4167,106,14.2399,0.2642,completed
7,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,33.266033124781096,33.266033124781096,1,1,1,77,20,80,1,1,0,0,0,0.0,0,169,0,159,412,63,78,81,159,0,0.26141078838174275,31.8,0.0,collision_intent:78;state:81,0.55,0.03125,20,4.4409,0.7879,1.8637,0.3721,23,2.5772,0.2105,completed
8,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,24.96778571380434,24.96778571380434,0,0,0,55,15,58,1,1,2,1,1,5.0,1,134,0,118,307,46,59,59,118,0,0.26136363636363635,23.6,0.0,collision_intent:59;state:59,0.1499999999999999,0.06896551724137923,26,10.065,0.9396,3.2883,0.4418,32,6.7767,0.2746,completed
9,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,31.70037548859645,31.70037548859645,0,0,0,59,19,62,1,0,2,1,0,0.0,0,181,0,126,327,49,63,63,126,0,0.2620320855614973,25.2,0.0,collision_intent:63;state:63,0.3500000000000001,0.11290322580645151,62,21.6076,0.9517,5.4765,0.3768,90,16.1311,0.2671,completed
10,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,29.929775324466075,29.929775324466075,1,1,1,62,18,61,5,1,0,0,0,0.0,0,157,0,130,332,53,64,66,130,0,0.27040816326530615,26.0,0.0,collision_intent:64;state:66,0.3500000000000001,0.11885245901639352,39,13.8874,0.8141,3.4819,0.3145,63,10.4055,0.3251,completed
11,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,36.333833666077034,36.333833666077034,2,2,2,46,22,47,3,0,3,1,1,5.0,1,235,0,100,261,37,50,50,100,0,0.25,20.0,0.0,collision_intent:50;state:50,0.44999999999999996,0.31382978723404253,148,45.6061,1.0695,8.8327,0.4046,229,36.7734,0.3317,completed
12,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,38.59346041832215,38.59346041832215,0,0,0,63,23,67,0,0,0,0,0,0.0,0,227,0,133,349,48,66,67,133,0,0.24120603015075376,26.6,0.0,collision_intent:66;state:67,0.3500000000000001,0.2276119402985075,108,32.3062,1.1563,7.2061,0.5522,185,25.1001,0.303,completed
