# grid_size=19, num_targets=20, num_robots=4, layout=edge_even, seed=2026082120
trial_id,target1_x,target1_y,target2_x,target2_y,target3_x,target3_y,target4_x,target4_y,target5_x,target5_y,target6_x,target6_y,target7_x,target7_y,target8_x,target8_y,target9_x,target9_y,target10_x,target10_y,target11_x,target11_y,target12_x,target12_y,target13_x,target13_y,target14_x,target14_y,target15_x,target15_y,target16_x,target16_y,target17_x,target17_y,target18_x,target18_y,target19_x,target19_y,target20_x,target20_y
0,11,7,17,15,14,5,8,0,14,15,7,5,2,6,3,8,12,12,16,5,10,14,3,18,10,12,5,18,13,14,4,11,12,18,1,14,15,10,11,10
1,10,3,7,11,0,1,9,4,0,3,3,5,1,17,3,17,12,8,15,13,5,5,18,7,2,12,1,3,8,10,4,1,4,10,16,15,2,7,10,2
2,8,17,9,7,13,2,17,3,16,16,10,9,9,6,17,15,6,12,17,0,1,17,7,10,13,18,11,15,0,1,3,17,3,0,13,13,15,18,0,2
3,12,12,17,11,2,6,9,13,2,17,6,11,17,3,5,8,14,10,16,4,8,15,18,8,9,8,6,10,10,16,10,8,12,0,6,6,1,18,3,12
4,10,14,3,1,12,5,12,17,17,8,8,7,17,13,4,6,5,18,10,10,2,2,8,1,2,13,7,8,4,17,2,12,5,4,11,12,11,2,13,9
5,11,10,3,13,17,2,10,12,7,0,1,9,9,9,5,1,12,13,16,10,17,5,18,6,11,11,8,9,12,2,8,3,13,16,1,12,8,12,4,5
6,2,9,9,11,17,12,16,3,18,4,12,18,11,8,14,6,13,10,4,8,10,16,10,18,12,3,6,11,5,0,2,6,15,1,13,3,13,7,11,6
7,4,7,11,12,14,18,4,5,9,6,16,18,4,17,5,1,17,17,17,3,11,9,6,2,3,12,13,18,9,16,14,3,0,15,8,14,18,5,13,11
8,16,2,8,3,18,12,6,1,17,14,4,18,10,17,4,6,7,18,15,9,4,1,5,18,12,13,0,9,2,7,0,4,4,5,15,3,6,6,9,5
9,0,3,12,1,6,13,4,16,5,4,10,1,2,0,14,17,12,14,17,2,9,15,8,10,2,16,12,12,7,10,16,12,14,2,4,9,9,12,14,7
10,4,8,2,6,12,8,14,13,16,9,18,9,10,0,8,13,2,7,18,4,1,9,10,13,1,6,12,12,6,17,5,6,13,11,18,5,5,0,10,14
11,16,16,4,17,8,8,13,1,7,6,13,5,12,18,10,6,15,7,11,12,6,7,18,18,6,11,15,8,15,14,3,10,1,12,3,12,3,8,7,16
12,16,8,15,17,10,10,18,13,4,16,5,7,13,3,9,3,3,6,4,9,16,15,1,8,9,13,11,3,1,12,5,18,15,2,17,4,14,18,8,1
13,3,18,3,5,9,11,1,0,12,14,9,18,16,9,0,13,11,14,13,0,15,0,12,6,10,1,17,1,14,17,11,16,18,14,10,11,6,2,7,10
14,11,12,18,14,14,10,11,4,5,3,11,5,5,9,11,18,12,10,2,9,18,6,18,0,13,6,7,8,12,6,0,13,10,9,14,17,16,15,3,4
15,16,11,7,16,7,0,17,18,14,14,16,15,6,7,10,3,6,3,6,11,15,1,17,1,11,0,1,14,17,16,10,16,18,2,10,8,11,14,18,11
16,1,10,4,18,13,14,8,2,3,4,15,3,14,8,6,0,7,7,14,3,14,14,14,13,3,9,5,15,17,1,9,11,12,1,14,2,2,5,2,4
17,17,8,3,17,13,4,15,14,2,14,13,3,17,6,13,14,7,10,18,0,14,6,6,1,5,0,9,16,6,17,1,5,16,13,13,18,2,1,12,1
18,12,13,4,12,3,14,18,2,3,12,3,0,9,15,10,18,4,7,12,5,16,16,0,5,13,10,7,5,15,13,16,6,9,9,11,13,5,9,2,7
19,6,15,9,9,16,2,9,4,4,13,8,13,4,17,10,1,4,16,5,7,0,9,1,11,0,13,17,13,5,16,12,13,12,8,9,1,10,2,16,3
20,1,18,13,1,6,8,14,3,3,15,1,7,1,4,15,13,7,5,17,2,13,9,12,8,4,17,11,16,4,15,1,5,13,12,9,16,3,4,14,14
21,0,1,0,11,2,4,18,8,11,3,5,9,0,10,10,8,0,17,14,4,5,8,0,7,0,3,17,7,1,0,12,0,12,18,6,11,18,7,1,6
22,13,4,7,6,5,18,15,7,11,4,5,9,12,7,2,12,14,13,2,2,2,16,8,10,16,12,4,12,5,1,8,6,9,2,9,0,0,9,14,12
23,14,4,4,17,17,5,8,9,7,11,14,12,1,1,5,12,14,2,14,16,9,4,10,9,0,5,18,16,6,5,2,7,16,0,1,14,17,6,13,8
24,18,2,8,7,4,9,5,16,4,12,7,7,7,18,16,17,1,17,3,8,10,14,14,10,13,9,5,4,18,7,13,0,14,1,2,1,12,3,8,15
