trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,68,9,59,70,0,1,0,0,215,183,32,69,146,142,73,196,73,0.2191780821917808,3.0714285714285716,3.3220338983050848,1.0735294117647058,1.2372881355932204,1.042857142857143,clue:5;collision_intent:68;pi_entry:73;state:68;target:1,35,118,0.014285714285714235,completed
1,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,101,3,98,85,18,0,0,0,323,267,55,102,221,209,114,317,114,0.25,3.8,3.2346938775510203,1.1287128712871286,1.163265306122449,1.3411764705882352,clue:6;collision_intent:101;pi_entry:114;state:101;target:1,51,170,0.01764705882352935,completed
2,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,256,25,231,186,72,0,5,2,807,693,113,262,545,526,281,757,281,0.20772058823529413,4.338709677419355,3.277056277056277,1.09765625,1.2164502164502164,1.510752688172043,clue:8;collision_intent:261;pi_entry:281;state:256;target:1,131,422,0.06451612903225801,completed
3,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,50,31,19,52,0,1,0,0,133,107,25,51,82,105,28,70,28,0.3048780487804878,2.5576923076923075,3.6842105263157894,0.56,1.4736842105263157,0.5384615384615384,clue:4;collision_intent:50;pi_entry:28;state:50;target:1,25,67,0.0,completed
4,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,75,27,48,74,3,1,3,2,187,159,28,79,108,157,30,132,30,0.25925925925925924,2.527027027027027,2.75,0.4,0.625,0.40540540540540543,clue:3;collision_intent:78;pi_entry:30;state:75;target:1,38,95,0.013513513513513598,completed
5,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,260,4,256,169,93,1,9,5,851,705,146,272,579,538,313,843,313,0.25215889464594127,5.035502958579881,3.29296875,1.2038461538461538,1.22265625,1.8520710059171597,clue:6;collision_intent:271;pi_entry:313;state:260;target:1,133,433,0.056213017751479244,completed
6,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,165,15,150,142,25,0,0,0,539,445,93,166,373,336,203,509,203,0.24932975871313673,3.795774647887324,3.3933333333333335,1.2303030303030302,1.3533333333333333,1.4295774647887325,clue:5;collision_intent:165;pi_entry:203;state:165;target:1,83,272,0.04225352112676051,completed
7,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,245,86,159,192,55,2,3,3,674,573,100,249,425,501,173,502,173,0.2358490566037736,3.5104166666666665,3.157232704402516,0.7061224489795919,1.0880503144654088,0.9010416666666666,clue:7;collision_intent:248;pi_entry:173;state:245;target:1,123,359,0.01041666666666674,completed
8,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,261,17,244,185,78,0,0,0,811,679,131,262,549,527,284,777,284,0.23861566484517305,4.383783783783784,3.1844262295081966,1.0881226053639848,1.1639344262295082,1.5351351351351352,clue:4;collision_intent:261;pi_entry:284;state:261;target:1,131,415,0.024324324324324298,completed
9,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,33,21,12,35,0,0,0,0,89,73,16,34,55,69,20,47,20,0.2909090909090909,2.5428571428571427,3.9166666666666665,0.6060606060606061,1.6666666666666667,0.5714285714285714,clue:2;collision_intent:33;pi_entry:20;state:33;target:1,17,48,0.014285714285714235,completed
