trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,149,13,136,130,22,0,1,1,467,931,0,152,315,310,157,441,157,0.0,3.5923076923076924,3.2426470588235294,1.0536912751677852,1.1544117647058822,1.2076923076923076,clue:9;collision_intent:151;pi_entry:157;state:149;target:1,50,167,0.0410256410256411,completed
1,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,178,4,174,160,21,0,2,2,584,1167,0,181,403,368,216,576,216,0.0,3.65,3.310344827586207,1.2134831460674158,1.2413793103448276,1.35,clue:9;collision_intent:180;pi_entry:216;state:178;target:1,60,202,0.0625,completed
2,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,196,33,163,163,36,0,2,2,578,1154,0,199,379,404,174,512,174,0.0,3.5460122699386503,3.1411042944785277,0.8877551020408163,1.0674846625766872,1.0674846625766872,clue:9;collision_intent:198;pi_entry:174;state:196;target:1,67,196,0.06134969325153383,completed
3,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,65,46,19,65,3,0,0,0,163,323,0,66,97,137,26,71,26,0.0,2.5076923076923077,3.736842105263158,0.4,1.368421052631579,0.4,clue:6;collision_intent:65;pi_entry:26;state:65;target:1,22,57,0.01025641025641022,completed
4,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,47,18,29,47,3,0,2,2,133,264,0,52,81,102,31,97,31,0.0,2.8297872340425534,3.3448275862068964,0.6595744680851063,1.0689655172413792,0.6595744680851063,clue:3;collision_intent:51;pi_entry:31;state:47;target:1,17,53,0.05673758865248235,completed
5,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,190,4,186,172,21,0,3,3,628,1253,0,194,434,393,235,620,235,0.0,3.6511627906976742,3.3333333333333335,1.236842105263158,1.2634408602150538,1.3662790697674418,clue:9;collision_intent:193;pi_entry:235;state:190;target:1,65,223,0.08139534883720945,completed
6,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,9,9,0,12,0,0,0,0,19,36,0,10,9,19,0,0,0,0.0,1.5833333333333333,0.0,0.0,0.0,0.0,collision_intent:9;state:9;target:1,3,7,0.0,completed
7,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,119,77,42,116,6,0,0,0,299,597,0,121,178,246,53,145,53,0.0,2.5775862068965516,3.4523809523809526,0.44537815126050423,1.2619047619047619,0.45689655172413796,clue:6;collision_intent:120;pi_entry:53;state:119;target:1,40,105,0.028735632183908066,completed
8,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,79,25,54,79,3,0,0,0,227,452,0,80,147,162,65,177,65,0.0,2.8734177215189876,3.2777777777777777,0.8227848101265823,1.2037037037037037,0.8227848101265823,clue:3;collision_intent:79;pi_entry:65;state:79;target:1,27,82,0.008438818565400963,completed
9,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,116,2,114,109,10,2,3,2,356,710,0,121,235,243,113,351,113,0.0,3.2660550458715596,3.0789473684210527,0.9741379310344828,0.9912280701754386,1.036697247706422,clue:6;collision_intent:120;pi_entry:113;state:116;target:1,39,129,0.006116207951070374,completed
