trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,43,10,0,44,0,0,0,0,0,0.0,0,0,115,87,28,0,0,10,4.2451,0.42451,0.4108,0.6105,0.6105,3.0702,0.30701999999999996,0.2935,0.4599,0.4599,10,1.1749,0.11749000000000001,0.1173,0.1506,0.1506,completed
1,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,40,10,0,40,1,0,0,0,0,0.0,0,0,109,81,28,0,0,10,4.2148,0.42148,0.423,0.6105,0.6105,3.0166,0.30166,0.30335,0.469,0.469,10,1.1982,0.11982,0.11965,0.162,0.162,completed
2,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,49,10,0,50,0,0,0,0,0,0.0,0,0,127,99,28,0,0,10,4.0585,0.40585000000000004,0.41405000000000003,0.551,0.551,2.8794,0.28794,0.27825,0.4689,0.4689,10,1.1791,0.11791,0.11365,0.1924,0.1924,completed
3,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,58,10,1,57,2,0,0,0,0,0.0,0,0,145,117,28,0,0,10,4.1246,0.41246,0.41100000000000003,0.5983,0.5983,2.9517,0.29517000000000004,0.2904,0.4581,0.4581,10,1.1729,0.11729,0.11965,0.1402,0.1402,completed
4,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,42,10,0,43,0,0,0,0,0,0.0,0,0,113,85,28,0,0,10,4.4294,0.44294,0.41915,0.6764,0.6764,3.2551,0.32551,0.29995,0.5488,0.5488,10,1.1743,0.11742999999999999,0.11885,0.1437,0.1437,completed
5,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,51,10,0,51,1,0,0,0,0,0.0,0,0,131,103,28,0,0,10,4.2705,0.42705000000000004,0.4206,0.6664,0.6664,3.0854,0.30854,0.3026,0.5026,0.5026,10,1.1851,0.11851,0.118,0.1638,0.1638,completed
6,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,47,10,0,47,1,0,0,0,0,0.0,0,0,123,95,28,0,0,10,2.8263,0.28263,0.2751,0.42,0.42,2.0376,0.20376,0.1966,0.3297,0.3297,10,0.7887,0.07887,0.0785,0.0982,0.0982,completed
7,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,47,10,1,46,2,0,0,0,0,0.0,0,0,123,95,28,0,0,10,4.6547,0.46547,0.5044,0.6616,0.6616,3.3218,0.33218000000000003,0.31635,0.5413,0.5413,10,1.3329,0.13329,0.1189,0.2887,0.2887,completed
8,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,45,10,0,45,1,0,0,0,0,0.0,0,0,119,91,28,0,0,10,4.6468,0.46468,0.46440000000000003,0.7328,0.7328,3.3668,0.33668,0.3425,0.4892,0.4892,10,1.28,0.128,0.12055,0.2526,0.2526,completed
9,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,51,10,0,50,2,0,0,0,0,0.0,0,0,131,103,28,0,0,10,3.6993,0.36993,0.34155,0.6328,0.6328,2.6538,0.26538,0.2483,0.5084,0.5084,10,1.0455,0.10455,0.10014999999999999,0.1455,0.1455,completed
10,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,42,10,0,42,1,0,0,0,0,0.0,0,0,113,85,28,0,0,10,4.1356,0.41356000000000004,0.40715,0.6058,0.6058,2.9793000000000003,0.29793000000000003,0.28959999999999997,0.4661,0.4661,10,1.1562999999999999,0.11562999999999998,0.11755,0.1397,0.1397,completed
11,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,48,10,0,48,1,0,0,0,0,0.0,0,0,125,97,28,0,0,10,4.4491,0.44490999999999997,0.42655,0.7323,0.7323,3.3102,0.33102,0.3338,0.582,0.582,10,1.1389,0.11389,0.11725,0.1503,0.1503,completed
12,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,49,10,0,49,1,0,0,0,0,0.0,0,0,127,99,28,0,0,10,4.3077,0.43077,0.3962,0.6833,0.6833,3.1231,0.31231,0.28075,0.5456,0.5456,10,1.1845999999999999,0.11845999999999998,0.11545,0.1606,0.1606,completed
13,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,50,10,0,50,1,0,0,0,0,0.0,0,0,129,101,28,0,0,10,4.1787,0.41787,0.40969999999999995,0.634,0.634,2.9831,0.29830999999999996,0.2921,0.4826,0.4826,10,1.1956,0.11956,0.11760000000000001,0.1575,0.1575,completed
14,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,53,10,0,53,1,0,0,0,0,0.0,0,0,135,107,28,0,0,10,4.4473,0.44473,0.4554,0.6286,0.6286,3.0954,0.30954000000000004,0.30335,0.4793,0.4793,10,1.3518999999999999,0.13518999999999998,0.121,0.2809,0.2809,completed
