trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,13);(13,1);(5,17);(8,3);(1,6);(12,13);(15,15);(10,3);(14,4);(17,0)",10,True,50.89674904181227,50.89674904181227,00:4;01:2;02:4,"(0,0);(0,9);(0,18)","(17,0);(14,4);(15,15)",211,0,completed
1,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(11,9);(17,15);(15,3);(11,10);(11,14);(7,15);(0,17);(7,1);(5,0);(14,3)",10,True,37.53235639743982,37.53235639743982,00:4;01:2;02:4,"(0,0);(0,9);(0,18)","(15,3);(11,9);(17,15)",158,0,completed
2,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(12,16);(18,6);(17,7);(6,13);(2,15);(12,0);(15,2);(4,14);(9,11);(5,3)",10,True,68.12508117138633,68.12508117138633,00:4;01:2;02:4,"(0,0);(0,9);(0,18)","(18,6);(9,11);(17,7)",291,0,completed
3,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(1,13);(13,13);(12,3);(17,18);(16,3);(14,6);(7,15);(10,1);(13,15);(10,10)",10,True,46.49137424795491,46.49137424795491,00:4;01:2;02:4,"(0,0);(0,9);(0,18)","(14,6);(10,10);(17,18)",192,0,completed
4,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(8,9);(4,2);(12,9);(14,3);(2,12);(12,1);(5,17);(6,1);(2,15);(8,16)",10,True,40.47648487290272,40.47648487290272,00:4;01:4;02:2,"(0,0);(0,9);(0,18)","(14,3);(12,9);(8,16)",179,0,completed
5,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(11,3);(11,15);(17,18);(6,10);(11,6);(14,0);(14,2);(2,17);(3,13);(10,13)",10,True,46.50428268256005,46.50428268256005,00:3;01:4;02:3,"(0,0);(0,9);(0,18)","(14,0);(17,18);(11,6)",183,0,completed
6,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,3);(9,7);(10,17);(18,9);(11,7);(17,18);(12,8);(4,16);(16,1);(13,15)",10,True,50.65879151940845,50.65879151940845,00:3;01:3;02:4,"(0,0);(0,9);(0,18)","(11,7);(16,1);(17,18)",212,0,completed
7,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(4,0);(9,6);(12,13);(13,18);(0,1);(2,12);(14,3);(4,2);(9,13);(8,16)",10,True,46.62269987701892,46.62269987701892,00:5;01:3;02:2,"(0,0);(0,9);(0,18)","(14,3);(12,12);(13,18)",203,0,completed
8,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(6,14);(17,0);(15,18);(5,4);(6,9);(8,0);(5,7);(2,4);(10,8);(7,0)",10,True,42.005521852557756,42.005521852557756,00:5;01:3;02:2,"(0,0);(0,9);(0,18)","(17,0);(10,8);(15,18)",171,0,completed
9,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,15);(12,3);(3,11);(13,3);(17,3);(3,0);(11,15);(7,4);(12,0);(15,11)",10,True,50.66004202216471,50.66004202216471,00:6;01:3;02:1,"(0,0);(0,9);(0,18)","(12,0);(15,15);(11,11)",217,0,completed
