trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,2);(11,22);(9,9);(21,1);(14,2);(7,9);(21,24);(11,3);(3,18);(22,18)",10,True,48.6461367148459,48.6461367148459,00:3;01:1;02:2;03:3;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(17,1);(18,2);(17,9);(21,24);(8,9)",318,0,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,0);(22,23);(6,15);(23,23);(7,4);(12,6);(14,19);(20,4);(3,15);(10,16)",10,True,58.38712201833831,58.38712201833831,00:2;01:2;02:5;03:1;04:0,"(0,0);(0,6);(0,12);(0,18);(0,24)","(19,16);(20,4);(23,23);(12,6);(2,2)",393,0,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(17,10);(15,0);(16,1);(21,23);(11,7);(1,11);(6,14);(8,0);(15,22);(24,6)",10,True,64.05867890277662,64.05867890277662,00:5;01:1;02:1;03:1;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(24,6);(15,0);(14,7);(14,14);(18,15)",434,0,completed
3,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(14,2);(4,19);(6,15);(23,19);(22,10);(2,14);(17,16);(1,11);(9,14);(7,8)",10,True,79.19681967124001,79.19681967124001,00:2;01:2;02:3;03:3;04:0,"(0,0);(0,6);(0,12);(0,18);(0,24)","(1,11);(22,10);(23,19);(16,14);(9,18)",574,0,completed
4,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,13);(21,0);(16,9);(18,18);(20,1);(12,21);(8,20);(24,6);(20,12);(2,6)",10,True,54.32518499358056,54.32518499358056,00:3;01:3;02:2;03:1;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(24,6);(20,18);(13,21);(15,20);(2,15)",357,0,completed
5,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,1);(2,6);(5,21);(7,2);(1,8);(16,3);(21,4);(24,20);(13,23);(5,6)",10,True,59.32104033307599,59.32104033307599,00:1;01:2;02:4;03:1;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(7,21);(11,9);(21,4);(24,20);(2,18)",396,0,completed
6,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,9);(24,15);(3,8);(9,8);(8,0);(24,20);(10,3);(13,9);(12,24);(11,14)",10,True,55.879477667179835,55.879477667179835,00:2;01:3;02:1;03:2;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(11,14);(13,8);(12,24);(24,15);(7,8)",389,0,completed
7,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,17);(9,16);(9,18);(24,1);(21,18);(9,19);(2,19);(14,19);(14,22);(2,6)",10,True,40.29453181604727,40.29453181604727,00:1;01:2;02:2;03:4;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(24,1);(7,20);(12,16);(21,18);(11,17)",260,0,completed
8,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,11);(22,0);(10,0);(12,12);(22,15);(7,8);(12,17);(5,8);(20,13);(11,13)",10,True,45.811738935173665,45.811738935173665,00:2;01:2;02:4;03:2;04:0,"(0,0);(0,6);(0,12);(0,18);(0,24)","(22,0);(10,0);(22,15);(11,10);(12,16)",316,0,completed
9,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,13);(0,15);(8,21);(12,5);(6,20);(1,10);(15,19);(2,11);(24,1);(15,2)",10,True,56.85834070447191,56.85834070447191,00:2;01:2;02:3;03:1;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(24,3);(12,17);(12,5);(6,20);(5,16)",370,0,completed
10,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,19);(19,17);(5,6);(15,7);(18,8);(10,8);(22,4);(18,0);(16,19);(4,13)",10,True,43.53935109097825,43.53935109097825,00:2;01:4;02:1;03:1;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(22,4);(19,7);(15,8);(4,13);(19,17)",284,0,completed
