trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,64.16608412036946,64.16608412036946,0,0,0,319,37,331,12,73,1,1,0,0.0,0,2657,0,2988,68701,0,416,2572,759,2229,0.0,298.8,222.9,acbba_entry:2229;collision_intent:416;state:343,0.7583333333333333,0.32892749244712993,2181,1166.4414,1.4514,252.6195,0.5418,2181,913.8219,1.0307,completed
1,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,63.111801115914034,63.111801115914034,1,1,1,307,31,318,13,55,1,1,0,0.0,0,2624,0,2727,62698,0,395,2332,726,2001,0.0,272.7,200.1,acbba_entry:2001;collision_intent:395;state:331,0.7583333333333333,0.3338574423480083,2134,1808.3514,3.336,400.7293,2.1661,2134,1407.6221,3.1003,completed
2,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,77.87446509427963,77.87446509427963,1,1,1,403,35,410,17,76,5,5,0,0.0,0,3200,0,3481,80040,0,518,2963,945,2536,0.0,348.1,253.6,acbba_entry:2536;collision_intent:518;state:427,0.6583333333333332,0.26199186991869916,2573,2172.083,3.4587,459.712,2.6157,2573,1712.371,0.9905,completed
3,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,55.69516526697473,55.69516526697473,0,0,0,163,33,187,0,26,0,0,0,0.0,0,2465,0,1463,33626,0,193,1270,380,1083,0.0,146.3,108.3,acbba_entry:1083;collision_intent:193;state:187,0.8083333333333333,0.4373885918003564,2214,1694.1148,1.5667,328.0602,0.6827,2214,1366.0546,0.9297,completed
4,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,56.64684060535232,56.64684060535232,0,0,0,307,34,329,2,78,1,1,0,0.0,0,2311,0,2949,67804,0,371,2578,702,2247,0.0,294.9,224.7,acbba_entry:2247;collision_intent:371;state:331,0.8166666666666667,0.34815096251266464,1853,1690.2553,1.6616,378.849,0.727,1853,1311.4063,1.0047,completed
5,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,66.34342001875508,66.34342001875508,0,0,0,210,39,233,1,26,0,0,0,0.0,0,2907,0,1726,39675,0,255,1471,489,1237,0.0,172.6,123.7,acbba_entry:1237;collision_intent:255;state:234,0.7166666666666666,0.4486766809728182,2569,2095.7237,1.4497,408.7542,0.626,2569,1686.9695,0.9538,completed
6,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,57.91064953639444,57.91064953639444,1,1,1,267,35,261,30,54,1,1,0,0.0,0,2427,0,2405,55292,0,314,2091,605,1800,0.0,240.5,180.0,acbba_entry:1800;collision_intent:314;state:291,0.7749999999999999,0.3172094508301404,2023,1687.2927,1.4615,364.3578,0.6706,2023,1322.9349,1.0213,completed
7,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,76.32688861192736,76.32688861192736,0,0,0,301,35,324,1,103,1,1,0,0.0,0,3258,0,2934,67459,0,394,2540,719,2215,0.0,293.4,221.5,acbba_entry:2215;collision_intent:394;state:325,0.7166666666666666,0.24485596707818913,2832,2128.8869,7.5913,403.9429,0.6914,2832,1724.944,7.4253,completed
8,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,67.43085947612653,67.43085947612653,0,0,0,329,39,346,7,81,5,5,0,0.0,0,2793,0,2963,68126,0,419,2544,772,2191,0.0,296.3,219.1,acbba_entry:2191;collision_intent:419;state:353,0.7249999999999999,0.30756262042389193,2304,1882.7527,1.3715,399.916,0.6095,2304,1482.8367,0.9595,completed
9,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,92.44122027999266,92.44122027999266,0,0,0,399,47,387,36,81,3,3,0,0.0,0,3913,0,3154,72519,0,496,2658,919,2235,0.0,315.4,223.5,acbba_entry:2235;collision_intent:496;state:423,0.6583333333333332,0.38856589147286824,3240,2592.6616,1.4406,517.5622,0.6096,3240,2075.0994,0.9788,completed
