trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,37.42158560697786,37.42158560697786,1,1,1,52,22,49,6,3,1,1,0,0.0,0,164,0,140,234,45,53,87,108,32,0.26011560693641617,14.0,3.2,collision_intent:53;hipc_clear_bundle:1;hipc_entry:31;state:55,0.06666666666666665,0.1768707482993197,63,22.2089,1.0345,14.9007,0.8649,63,7.3082,0.2655,completed
1,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,32.82425996136556,32.82425996136556,0,0,0,49,20,52,0,5,4,2,1,5.0,1,141,0,133,219,46,54,79,106,27,0.2929936305732484,13.3,2.7,collision_intent:54;hipc_clear_bundle:2;hipc_entry:25;state:52,0.3333333333333335,0.08974358974358987,47,20.5251,1.1142,14.6523,0.9631,47,5.8728,0.1783,completed
2,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,29.168083798634864,29.168083798634864,0,0,0,45,17,48,0,2,0,0,0,0.0,0,124,0,120,200,39,46,74,94,26,0.2653061224489796,12.0,2.6,collision_intent:46;hipc_clear_bundle:1;hipc_entry:25;state:48,0.06666666666666665,0.08333333333333348,41,20.3634,1.1651,15.163,1.0082,41,5.2004,0.1771,completed
3,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,39.23858067660799,39.23858067660799,0,0,0,49,23,51,1,3,0,0,0,0.0,0,176,0,136,229,41,52,84,104,32,0.2469879518072289,13.6,3.2,collision_intent:52;hipc_clear_bundle:3;hipc_entry:29;state:52,0.26666666666666683,0.15686274509803932,87,28.1522,1.1281,18.2719,0.9724,87,9.8803,0.178,completed
4,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,42.6260087141238,42.6260087141238,2,2,2,53,21,51,5,3,1,1,0,0.0,0,193,0,144,242,44,58,86,114,30,0.25882352941176473,14.4,3.0,collision_intent:58;hipc_clear_bundle:4;hipc_entry:26;state:56,0.20000000000000018,0.130718954248366,89,23.8204,1.1778,16.2877,1.0074,89,7.5327,0.2441,completed
5,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,32.9414530412636,32.9414530412636,0,0,0,57,19,60,0,3,1,1,0,0.0,0,133,0,151,253,48,59,92,119,32,0.26229508196721313,15.1,3.2,collision_intent:59;hipc_entry:32;state:60,0.26666666666666683,0.0,23,14.758,1.2026,11.4597,1.0427,23,3.2983,0.1917,completed
6,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,25.2336509314407,25.2336509314407,0,0,0,36,14,37,2,2,0,0,0,0.0,0,114,0,105,175,33,38,67,77,28,0.25,10.5,2.8,collision_intent:38;hipc_clear_bundle:2;hipc_entry:26;state:39,0.20000000000000018,0.10810810810810811,48,15.4762,1.1993,11.2451,1.0262,48,4.2311,0.1731,completed
7,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,28.807523207912347,28.807523207912347,0,0,0,39,16,41,1,1,0,0,0,0.0,0,128,0,120,210,28,42,78,84,36,0.18181818181818182,12.0,3.6,collision_intent:42;hipc_clear_bundle:3;hipc_entry:33;state:42,0.06666666666666665,0.11382113821138229,61,23.3606,1.0533,16.4186,0.9043,61,6.942,0.1706,completed
8,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,26.54558882986267,26.54558882986267,0,0,0,43,16,46,0,1,0,0,0,0.0,0,109,0,115,203,25,44,71,90,25,0.17857142857142858,11.5,2.5,collision_intent:44;hipc_clear_bundle:2;hipc_entry:23;state:46,0.20000000000000018,0.05797101449275366,34,15.808,0.8769,11.4308,0.7146,34,4.3772,0.1808,completed
9,known_visit,HIPC,bernoulli,drop_0.25,14,196,3,10,hipc_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,10,True,33.842992419494415,33.842992419494415,1,1,1,57,20,53,7,3,0,0,0,0.0,0,133,0,153,246,59,59,94,119,34,0.3155080213903743,15.3,3.4,collision_intent:59;hipc_clear_bundle:2;hipc_entry:32;state:60,0.1333333333333333,0.08805031446540879,33,19.1161,1.0795,14.4173,0.9255,33,4.6988,0.2321,completed
