trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,43.9280746154284,43.9280746154284,1,1,1,72,26,79,1,4,0,0,0,0.0,0,614,0,206,1234,204,80,126,160,46,0.23234624145785876,20.6,4.6,collision_intent:80;hipc_clear_bundle:10;hipc_entry:36;state:80,0.5249999999999999,0.4351265822784811,486,499.3766,3.6646,403.8981,3.3926,486,95.4785,0.4349,completed
1,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,31.27999330262506,31.27999330262506,0,0,0,65,19,73,0,2,0,0,0,0.0,0,420,0,177,1050,184,71,106,144,33,0.2496607869742198,17.7,3.3,collision_intent:71;hipc_clear_bundle:6;hipc_entry:27;state:73,0.4750000000000001,0.422945205479452,310,424.453,4.0301,326.2601,3.634,310,98.1929,0.6303,completed
2,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,35.29368434608377,35.29368434608377,2,2,2,82,21,88,2,12,2,1,1,5.0,1,466,0,234,1396,236,90,144,180,54,0.23552894211576847,23.4,5.4,collision_intent:90;hipc_clear_bundle:8;hipc_entry:46;state:90,0.4750000000000001,0.4005681818181819,318,396.5606,3.9527,318.5746,3.7321,318,77.986,0.4544,completed
3,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,39.987434485036346,39.987434485036346,1,1,1,83,24,90,1,5,0,0,0,0.0,0,533,0,223,1332,222,90,133,181,42,0.24025974025974026,22.3,4.2,collision_intent:90;hipc_clear_bundle:7;hipc_entry:35;state:91,0.575,0.44999999999999996,387,473.0457,3.7064,389.5691,3.4738,387,83.4766,0.4688,completed
4,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,28.29764283808209,28.29764283808209,0,0,0,51,17,59,0,3,0,0,0,0.0,0,393,0,145,855,155,56,89,115,30,0.25080906148867316,14.5,3.0,collision_intent:56;hipc_clear_bundle:6;hipc_entry:24;state:59,0.42500000000000004,0.4470338983050848,306,304.1865,3.6461,248.6871,3.3582,306,55.4994,0.3826,completed
5,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,37.54238199921713,37.54238199921713,2,2,2,82,22,88,2,3,0,0,0,0.0,0,496,0,223,1335,224,91,132,181,42,0.24295010845986983,22.3,4.2,collision_intent:91;hipc_clear_bundle:10;hipc_entry:32;state:90,0.55,0.34375,353,371.0415,2.9263,303.1301,2.6612,353,67.9114,0.3613,completed
6,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,36.5090656675553,36.5090656675553,1,1,1,92,22,98,2,4,0,0,0,0.0,0,465,0,243,1446,249,98,145,198,45,0.24677898909811694,24.3,4.5,collision_intent:98;hipc_clear_bundle:7;hipc_entry:38;state:100,0.42500000000000004,0.3571428571428572,309,485.0291,3.9317,413.2751,3.6441,309,71.754,0.4267,completed
7,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,26.591069142146388,26.591069142146388,0,0,0,69,16,77,0,5,8,1,2,20.0,2,342,0,207,1191,252,77,130,154,53,0.27876106194690264,20.7,5.3,collision_intent:77;hipc_clear_bundle:11;hipc_entry:42;state:77,0.44999999999999996,0.31980519480519476,226,358.7793,3.7376,300.6949,3.471,226,58.0844,0.3944,completed
8,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,27.500375646723583,27.500375646723583,0,0,0,76,17,81,3,3,5,3,2,10.0,1,349,0,212,1265,215,89,123,173,39,0.2508751458576429,21.2,3.9,collision_intent:89;hipc_clear_bundle:8;hipc_entry:31;state:84,0.42500000000000004,0.3256172839506173,208,277.9767,4.0391,230.1807,3.7155,208,47.796,0.3379,completed
9,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,34.223113749756465,34.223113749756465,0,0,0,73,20,81,0,4,4,2,1,5.0,1,458,0,211,1236,237,82,129,163,48,0.26362625139043383,21.1,4.8,collision_intent:82;hipc_clear_bundle:7;hipc_entry:41;state:81,0.575,0.41820987654320985,328,450.684,3.2845,374.0721,3.0279,328,76.6119,0.3141,completed
10,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,34.85549341756847,34.85549341756847,0,0,0,77,20,85,0,6,1,1,0,0.0,0,465,0,218,1271,249,86,132,171,47,0.27124183006535946,21.8,4.7,collision_intent:86;hipc_clear_bundle:8;hipc_entry:39;state:85,0.3500000000000001,0.39264705882352935,330,459.6048,3.7467,383.58,3.4467,330,76.0248,0.3619,completed
11,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,34.952307697513056,34.952307697513056,0,0,0,75,21,83,0,3,2,1,1,5.0,1,464,0,213,1245,241,80,133,163,50,0.2602591792656587,21.3,5.0,collision_intent:80;hipc_clear_bundle:4;hipc_entry:46;state:83,0.5249999999999999,0.4231927710843373,333,526.758,3.5715,449.1326,3.2935,333,77.6254,0.3365,completed
12,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,35.45547536937843,35.45547536937843,0,0,0,114,21,122,0,6,1,1,0,0.0,0,421,0,319,1878,350,122,197,244,75,0.2547307132459971,31.9,7.5,collision_intent:122;hipc_clear_bundle:13;hipc_entry:62;state:122,0.1499999999999999,0.16188524590163933,226,297.997,3.3026,247.211,3.0471,226,50.786,0.3258,completed
13,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,39.31763993098357,39.31763993098357,0,0,0,63,23,71,0,5,0,0,0,0.0,0,554,0,185,1086,204,70,115,141,44,0.255,18.5,4.4,collision_intent:70;hipc_clear_bundle:9;hipc_entry:35;state:71,0.5249999999999999,0.44190140845070425,442,427.4919,2.915,331.5642,2.586,442,95.9277,0.4248,completed
14,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,32.432506022577826,32.432506022577826,2,2,2,93,20,99,2,5,0,0,0,0.0,0,401,0,254,1493,280,102,152,203,51,0.26440037771482533,25.4,5.1,collision_intent:102;hipc_clear_bundle:10;hipc_entry:41;state:101,0.625,0.31439393939393945,237,380.4777,3.8017,321.9302,3.495,237,58.5475,0.3224,completed
15,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,41.80416071518544,41.80416071518544,1,1,1,80,23,86,2,7,8,4,2,10.0,1,571,0,241,1413,269,92,149,180,61,0.2591522157996146,24.1,6.1,collision_intent:92;hipc_clear_bundle:11;hipc_entry:50;state:88,0.4750000000000001,0.444767441860465,428,403.1391,3.7606,310.3603,3.483,428,92.7788,0.4551,completed
16,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,38.75577601339153,38.75577601339153,0,0,0,62,23,70,0,0,0,0,0,0.0,0,544,0,174,1016,198,69,105,139,35,0.2708618331053352,17.4,3.5,collision_intent:69;hipc_clear_bundle:7;hipc_entry:28;state:70,0.42500000000000004,0.5214285714285714,432,542.5191,3.193,434.7776,2.9123,432,107.7415,0.3214,completed
17,known_visit,HIPC,bernoulli,drop_0.25,19,361,8,10,hipc_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,32.83342597767484,32.83342597767484,1,1,1,73,20,80,1,5,0,0,0,0.0,0,439,0,218,1298,224,83,135,164,54,0.23804463336875664,21.8,5.4,collision_intent:83;hipc_clear_bundle:10;hipc_entry:44;state:81,0.55,0.41874999999999996,314,426.3683,3.9124,349.2928,3.6206,314,77.0755,0.3233,completed
