trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,13);(13,1);(5,17);(8,3);(1,6);(12,13);(15,15);(10,3);(14,4);(17,0)",10,True,38.89370847534383,38.89370847534383,00:4;01:2;02:0;03:3;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(17,0);(14,4);(8,7);(15,15);(5,17)",297,0,completed
1,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(11,9);(17,15);(15,3);(11,10);(11,14);(7,15);(0,17);(7,1);(5,0);(14,3)",10,True,33.61343901888403,33.61343901888403,00:2;01:2;02:2;03:3;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(7,1);(15,3);(11,9);(17,15);(2,16)",262,0,completed
2,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(12,16);(18,6);(17,7);(6,13);(2,15);(12,0);(15,2);(4,14);(9,11);(5,3)",10,True,41.94212675831054,41.94212675831054,00:2;01:3;02:2;03:3;04:0,"(0,0);(0,4);(0,9);(0,14);(0,18)","(15,2);(18,6);(12,16);(6,13);(6,18)",323,0,completed
3,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(1,13);(13,13);(12,3);(17,18);(16,3);(14,6);(7,15);(10,1);(13,15);(10,10)",10,True,51.899551370292365,51.899551370292365,00:1;01:3;02:1;03:3;04:2,"(0,0);(0,4);(0,9);(0,14);(0,18)","(10,1);(14,6);(12,10);(17,18);(13,13)",402,0,completed
4,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(8,9);(4,2);(12,9);(14,3);(2,12);(12,1);(5,17);(6,1);(2,15);(8,16)",10,True,28.842542185326188,28.842542185326188,00:3;01:1;02:2;03:2;04:2,"(0,0);(0,4);(0,9);(0,14);(0,18)","(14,3);(5,2);(12,9);(2,15);(8,16)",223,0,completed
5,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(11,3);(11,15);(17,18);(6,10);(11,6);(14,0);(14,2);(2,17);(3,13);(10,13)",10,True,38.36357947751823,38.36357947751823,00:2;01:2;02:1;03:4;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(14,2);(11,6);(6,10);(17,18);(6,17)",296,0,completed
6,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,3);(9,7);(10,17);(18,9);(11,7);(17,18);(12,8);(4,16);(16,1);(13,15)",10,True,42.85989028852421,42.85989028852421,00:1;01:1;02:4;03:0;04:4,"(0,0);(0,4);(0,9);(0,14);(0,18)","(16,1);(10,3);(18,9);(4,17);(17,18)",325,0,completed
7,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(4,0);(9,6);(12,13);(13,18);(0,1);(2,12);(14,3);(4,2);(9,13);(8,16)",10,True,39.259696483472894,39.259696483472894,00:2;01:3;02:0;03:3;04:2,"(0,0);(0,4);(0,9);(0,14);(0,18)","(4,0);(14,3);(2,11);(12,13);(13,18)",316,0,completed
8,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(6,14);(17,0);(15,18);(5,4);(6,9);(8,0);(5,7);(2,4);(10,8);(7,0)",10,True,27.4308792218199,27.4308792218199,00:3;01:3;02:2;03:1;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(17,0);(5,7);(10,8);(6,14);(15,18)",204,0,completed
9,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,15);(12,3);(3,11);(13,3);(17,3);(3,0);(11,15);(7,4);(12,0);(15,11)",10,True,29.52281832612811,29.52281832612811,00:2;01:4;02:2;03:2;04:0,"(0,0);(0,4);(0,9);(0,14);(0,18)","(12,0);(17,3);(15,11);(15,15);(5,18)",205,0,completed
10,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(1,14);(12,11);(1,18);(18,7);(10,9);(5,13);(7,14);(16,1);(7,16);(17,2)",10,True,42.05184264359953,42.05184264359953,00:3;01:0;02:2;03:4;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(18,7);(10,4);(14,11);(7,16);(6,18)",336,0,completed
11,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(18,12);(18,5);(15,11);(9,10);(6,13);(6,5);(12,4);(7,9);(15,4);(9,17)",10,True,35.39335350024006,35.39335350024006,00:0;01:4;02:4;03:1;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(12,0);(18,5);(18,12);(7,12);(9,17)",266,0,completed
12,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(5,17);(17,17);(17,1);(12,7);(14,2);(13,7);(13,15);(9,0);(14,11);(6,12)",10,True,37.73475717035448,37.73475717035448,00:3;01:2;02:1;03:1;04:3,"(0,0);(0,4);(0,9);(0,14);(0,18)","(17,1);(13,7);(14,11);(6,12);(17,17)",274,0,completed
13,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,8);(13,1);(7,12);(7,16);(2,13);(11,9);(5,14);(1,10);(11,2);(1,12)",10,True,35.57782468530727,35.57782468530727,00:2;01:2;02:2;03:3;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(13,1);(15,8);(1,12);(7,12);(7,16)",282,0,completed
14,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(13,9);(11,15);(4,1);(14,14);(18,7);(9,0);(15,17);(12,12);(5,15);(4,10)",10,True,44.79147054582622,44.79147054582622,00:2;01:0;02:4;03:3;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(9,0);(10,4);(18,7);(14,14);(15,17)",345,0,completed
15,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(7,5);(5,4);(8,4);(18,17);(2,16);(5,8);(7,14);(2,3);(15,0);(15,8)",10,True,42.35425234400214,42.35425234400214,00:0;01:4;02:3;03:3;04:0,"(0,0);(0,4);(0,9);(0,14);(0,18)","(5,2);(8,4);(15,0);(18,17);(4,18)",333,0,completed
16,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(9,7);(1,5);(15,1);(0,17);(9,0);(10,11);(5,16);(1,9);(1,14);(18,18)",10,True,33.23155546909988,33.23155546909988,00:2;01:3;02:1;03:2;04:2,"(0,0);(0,4);(0,9);(0,14);(0,18)","(15,1);(10,11);(1,9);(5,16);(18,18)",256,0,completed
17,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(3,4);(5,2);(4,8);(6,0);(14,5);(17,18);(8,8);(13,1);(3,15);(10,3)",10,True,39.03157416596139,39.03157416596139,00:4;01:2;02:2;03:1;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(14,5);(5,2);(11,8);(3,15);(17,18)",312,0,completed
18,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(1,16);(18,10);(12,4);(15,17);(7,15);(4,14);(4,18);(15,8);(8,18);(15,3)",10,True,35.31924742613535,35.31924742613535,00:0;01:2;02:2;03:3;04:3,"(0,0);(0,4);(0,9);(0,14);(0,18)","(6,0);(15,3);(18,10);(7,15);(15,17)",262,0,completed
19,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,5);(11,12);(17,13);(12,2);(2,8);(18,9);(5,0);(10,9);(2,15);(14,4)",10,True,43.53338318301791,43.53338318301791,00:2;01:2;02:4;03:2;04:0,"(0,0);(0,4);(0,9);(0,14);(0,18)","(12,2);(15,5);(17,13);(11,12);(2,17)",342,0,completed
20,known_visit,HIPC,ideal,1.0,19,361,5,10,hipc_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(3,9);(17,15);(11,16);(16,5);(18,18);(18,1);(8,5);(10,0);(5,5);(11,15)",10,True,38.22893881398592,38.22893881398592,00:1;01:4;02:1;03:2;04:2,"(0,0);(0,4);(0,9);(0,14);(0,18)","(10,0);(18,1);(5,9);(11,16);(17,15)",287,0,completed
