trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,HIPC,bernoulli,drop_0.25,25,625,3,10,hipc_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,00,26,4,0,27,0,0,0,0,0,0.0,0,0,62,54,8,122,22,22,12.3141,0.5597318181818182,0.47015,1.0213,1.1907,5.1339,0.2333590909090909,0.13565,0.6392,0.8023,22,7.1802,0.32637272727272726,0.31845,0.3821,0.3884,completed
0,known_visit,HIPC,bernoulli,drop_0.25,25,625,3,10,hipc_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,01,31,3,0,32,0,0,0,0,0,0.0,0,0,73,64,9,106,28,7,5.7567,0.8223857142857144,0.835,1.1954,1.1954,3.2443,0.4634714285714286,0.5399,0.7416,0.7416,7,2.5124,0.3589142857142857,0.3545,0.4538,0.4538,completed
0,known_visit,HIPC,bernoulli,drop_0.25,25,625,3,10,hipc_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,02,32,3,0,33,0,1,0,0,0,0.0,0,0,72,65,7,118,17,7,5.2878,0.7554,0.7723,1.008,1.008,2.9938000000000002,0.42768571428571434,0.4031,0.6348,0.6348,7,2.294,0.32771428571428574,0.3311,0.3832,0.3832,completed
1,known_visit,HIPC,bernoulli,drop_0.25,25,625,3,10,hipc_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,00,32,4,0,33,0,2,0,0,0,0.0,0,0,79,65,14,102,21,8,6.0038,0.750475,0.6251500000000001,1.4137,1.4137,3.0765,0.3845625,0.2415,1.0026,1.0026,8,2.9273,0.3659125,0.3777,0.4111,0.4111,completed
1,known_visit,HIPC,bernoulli,drop_0.25,25,625,3,10,hipc_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,01,18,3,0,19,0,0,0,0,0,0.0,0,0,48,38,10,136,18,53,27.3527,0.516088679245283,0.4492,0.9518,1.238,12.1455,0.22916037735849057,0.1728,0.5568,0.8405,53,15.2072,0.28692830188679247,0.3121,0.395,0.45,completed
1,known_visit,HIPC,bernoulli,drop_0.25,25,625,3,10,hipc_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,02,32,3,0,33,0,3,0,0,0,0.0,0,0,76,65,11,113,14,8,6.9208,0.8651,0.8434999999999999,1.1935,1.1935,4.0513,0.5064125,0.46799999999999997,0.7806,0.7806,8,2.8695,0.3586875,0.3755,0.4129,0.4129,completed
2,known_visit,HIPC,bernoulli,drop_0.25,25,625,3,10,hipc_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,00,30,4,0,31,0,0,0,0,0,0.0,0,0,70,62,8,111,17,17,11.9537,0.7031588235294117,0.534,1.2947,1.2947,5.9717,0.3512764705882353,0.1962,0.9121,0.9121,17,5.982,0.3518823529411765,0.3394,0.3991,0.3991,completed
2,known_visit,HIPC,bernoulli,drop_0.25,25,625,3,10,hipc_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,01,31,4,0,32,0,0,0,0,0,0.0,0,0,72,64,8,110,16,15,10.5461,0.7030733333333333,0.6279,1.184,1.184,5.2448,0.3496533333333333,0.2754,0.7743,0.7743,15,5.3013,0.35342,0.3419,0.4173,0.4173,completed
2,known_visit,HIPC,bernoulli,drop_0.25,25,625,3,10,hipc_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,02,24,2,0,25,0,1,0,0,0,0.0,0,0,56,50,6,124,17,37,18.8644,0.5098486486486487,0.4399,1.047,1.2067,6.9307,0.18731621621621622,0.1284,0.6733,0.803,37,11.9337,0.32253243243243246,0.3148,0.3958,0.4037,completed
3,known_visit,HIPC,bernoulli,drop_0.25,25,625,3,10,hipc_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,00,28,2,0,29,0,0,0,0,0,0.0,0,0,64,58,6,134,24,29,16.6194,0.5730827586206896,0.4528,1.2723,1.2939,6.9103,0.23828620689655172,0.1332,0.8233,0.9153,29,9.7091,0.3347965517241379,0.3213,0.4176,0.449,completed
3,known_visit,HIPC,bernoulli,drop_0.25,25,625,3,10,hipc_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,01,34,5,0,35,0,0,0,0,0,0.0,0,0,80,69,11,128,15,9,8.0935,0.8992777777777778,0.8938,1.2978,1.2978,4.7636,0.5292888888888889,0.5286,0.9104,0.9104,9,3.3299,0.36998888888888887,0.3819,0.412,0.412,completed
