trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,2);(11,22);(9,9);(21,1);(14,2);(7,9);(21,24);(11,3);(3,18);(22,18)",10,True,54.28095960134356,54.28095960134356,00:4;01:3;02:3,"(0,0);(0,12);(0,24)","(21,1);(9,9);(22,18)",222,0,completed
1,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,0);(22,23);(6,15);(23,23);(7,4);(12,6);(14,19);(20,4);(3,15);(10,16)",10,True,54.52405433499055,54.52405433499055,00:4;01:3;02:3,"(0,0);(0,12);(0,24)","(20,4);(12,19);(23,23)",225,0,completed
2,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(17,10);(15,0);(16,1);(21,23);(11,7);(1,11);(6,14);(8,0);(15,22);(24,6)",10,True,63.88718607588016,63.88718607588016,00:5;01:3;02:2,"(0,0);(0,12);(0,24)","(24,6);(11,7);(21,23)",276,0,completed
3,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(14,2);(4,19);(6,15);(23,19);(22,10);(2,14);(17,16);(1,11);(9,14);(7,8)",10,True,59.050422465434,59.050422465434,00:2;01:5;02:3,"(0,0);(0,12);(0,24)","(14,2);(22,10);(23,19)",231,0,completed
4,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,13);(21,0);(16,9);(18,18);(20,1);(12,21);(8,20);(24,6);(20,12);(2,6)",10,True,92.51563162576701,92.51563162576701,00:4;01:3;02:3,"(0,0);(0,12);(0,24)","(2,6);(20,12);(18,18)",415,0,completed
5,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,1);(2,6);(5,21);(7,2);(1,8);(16,3);(21,4);(24,20);(13,23);(5,6)",10,True,54.854987210611675,54.854987210611675,00:4;01:3;02:3,"(0,0);(0,12);(0,24)","(21,4);(9,6);(24,20)",237,0,completed
6,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,9);(24,15);(3,8);(9,8);(8,0);(24,20);(10,3);(13,9);(12,24);(11,14)",10,True,55.804417232289744,55.804417232289744,00:2;01:5;02:3,"(0,0);(0,12);(0,24)","(10,5);(11,14);(24,15)",237,0,completed
7,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,17);(9,16);(9,18);(24,1);(21,18);(9,19);(2,19);(14,19);(14,22);(2,6)",10,True,82.64842433931291,82.64842433931291,00:1;01:5;02:4,"(0,0);(0,12);(0,24)","(3,12);(14,22);(24,1)",381,0,completed
8,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,11);(22,0);(10,0);(12,12);(22,15);(7,8);(12,17);(5,8);(20,13);(11,13)",10,True,60.08710499940004,60.08710499940004,00:2;01:7;02:1,"(0,0);(0,12);(0,24)","(22,0);(22,15);(13,15)",260,0,completed
9,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,13);(0,15);(8,21);(12,5);(6,20);(1,10);(15,19);(2,11);(24,1);(15,2)",10,True,55.49108567366058,55.49108567366058,00:3;01:4;02:3,"(0,0);(0,12);(0,24)","(24,1);(12,13);(15,19)",235,0,completed
10,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,19);(19,17);(5,6);(15,7);(18,8);(10,8);(22,4);(18,0);(16,19);(4,13)",10,True,71.10715902717793,71.10715902717793,00:2;01:5;02:3,"(0,0);(0,12);(0,24)","(18,0);(22,4);(19,17)",306,0,completed
11,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(20,11);(6,17);(9,3);(9,13);(12,20);(2,14);(16,16);(20,1);(20,16);(12,19)",10,True,55.04072391832183,55.04072391832183,00:2;01:3;02:5,"(0,0);(0,12);(0,24)","(20,1);(9,13);(20,11)",231,0,completed
12,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,15);(19,20);(4,24);(14,12);(9,13);(5,13);(14,13);(14,9);(13,3);(13,6)",10,True,39.29183349830581,39.29183349830581,00:2;01:6;02:2,"(0,0);(0,12);(0,24)","(13,6);(14,9);(19,20)",153,0,completed
13,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(22,9);(15,5);(2,20);(2,18);(23,0);(16,9);(13,16);(22,12);(2,3);(12,19)",10,True,80.7857166973299,80.7857166973299,00:6;01:2;02:2,"(0,0);(0,12);(0,24)","(23,0);(12,19);(22,15)",355,0,completed
14,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(15,19);(12,23);(23,21);(3,18);(1,5);(10,4);(12,2);(22,16);(22,11);(1,6)",10,True,59.68517283883866,59.68517283883866,00:4;01:3;02:3,"(0,0);(0,12);(0,24)","(12,2);(22,11);(23,21)",249,0,completed
15,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,0);(3,20);(11,15);(12,22);(12,12);(7,23);(15,0);(19,18);(23,16);(20,8)",10,True,55.94367147518629,55.94367147518629,00:3;01:4;02:3,"(0,0);(0,12);(0,24)","(20,8);(23,16);(12,22)",232,0,completed
16,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(19,8);(6,17);(5,12);(12,11);(18,17);(3,18);(16,16);(13,21);(11,3);(14,9)",10,True,56.311230296018785,56.311230296018785,00:4;01:3;02:3,"(0,0);(0,12);(0,24)","(19,8);(10,19);(18,17)",230,0,completed
17,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,11);(4,12);(1,15);(8,10);(1,13);(22,23);(10,12);(23,16);(17,15);(17,5)",10,True,69.94802234829676,69.94802234829676,00:3;01:4;02:3,"(0,0);(0,12);(0,24)","(17,5);(8,10);(22,23)",299,0,completed
18,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(10,17);(24,20);(14,15);(22,23);(3,21);(17,20);(20,6);(12,10);(2,20);(16,8)",10,True,60.109336101172076,60.109336101172076,00:2;01:3;02:5,"(0,0);(0,12);(0,24)","(16,8);(10,17);(22,23)",239,0,completed
19,known_visit,HIPC,ideal,1.0,25,625,3,10,hipc_g25_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,6);(17,8);(17,17);(20,16);(21,13);(7,17);(2,5);(24,5);(20,4);(4,24)",10,True,70.98056947232962,70.98056947232962,00:5;01:4;02:1,"(0,0);(0,12);(0,24)","(24,5);(21,13);(20,18)",301,0,completed
