trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,71.2896813816812,71.2896813816812,0,0,0,139,42,163,0,3,0,0,0,0.0,0,3245,0,377,8648,0,151,226,314,63,0.0,37.7,6.3,collision_intent:151;hipc_clear_bundle:15;hipc_entry:48;state:163,0.8583333333333332,0.6848159509202454,2997,9910.03,11.6577,8019.9685,10.8757,2997,1890.0615,1.0739,completed
1,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,48.546253996642925,48.546253996642925,0,0,0,108,29,132,0,6,0,0,0,0.0,0,2189,0,290,6647,0,115,175,247,43,0.0,29.0,4.3,collision_intent:115;hipc_clear_bundle:8;hipc_entry:35;state:132,0.8416666666666666,0.6691919191919191,1995,10945.7229,13.4863,9559.2722,12.6027,1995,1386.4507,3.7847,completed
2,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,67.35290197711517,67.35290197711517,0,0,0,128,40,152,0,1,0,0,0,0.0,0,3076,0,332,7613,0,136,196,288,44,0.0,33.2,4.4,collision_intent:136;hipc_clear_bundle:8;hipc_entry:36;state:152,0.8416666666666666,0.6902412280701753,2842,10743.5656,12.4138,8898.6172,11.5766,2842,1844.9484,1.1234,completed
3,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,59.640945530045315,59.640945530045315,0,0,0,102,35,126,0,2,0,0,0,0.0,0,2739,0,299,6854,0,110,189,236,63,0.0,29.9,6.3,collision_intent:110;hipc_clear_bundle:8;hipc_entry:55;state:126,0.825,0.658068783068783,2573,6946.6546,12.8972,5343.0321,12.0466,2573,1603.6225,1.4128,completed
4,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,56.479800213456095,56.479800213456095,0,0,0,120,34,144,0,4,0,0,0,0.0,0,2556,0,339,7774,0,131,208,275,64,0.0,33.9,6.4,collision_intent:131;hipc_clear_bundle:13;hipc_entry:51;state:144,0.8416666666666666,0.6707175925925926,2354,10063.6992,13.0068,8510.0157,12.1135,2354,1553.6835,1.1165,completed
5,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,81.34912213666794,81.34912213666794,0,0,0,129,39,153,0,2,0,0,0,0.0,0,3744,0,347,7958,0,139,208,292,55,0.0,34.7,5.5,collision_intent:139;hipc_clear_bundle:10;hipc_entry:45;state:153,0.7833333333333332,0.6691176470588234,3509,10901.1912,12.0094,8657.2659,11.1691,3509,2243.9253,2.5832,completed
6,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,66.29396651346904,66.29396651346904,0,0,0,119,39,143,0,3,2,1,1,5.0,1,3037,0,320,7337,0,129,191,272,48,0.0,32.0,4.8,collision_intent:129;hipc_clear_bundle:11;hipc_entry:37;state:143,0.875,0.6955128205128205,2817,9423.3962,12.5074,7632.5295,11.7132,2817,1790.8667,1.0016,completed
7,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,72.66950668955515,72.66950668955515,0,0,0,144,43,167,1,6,1,1,0,0.0,0,3309,0,426,9775,0,157,269,325,101,0.0,42.6,10.1,collision_intent:157;hipc_clear_bundle:17;hipc_entry:84;state:168,0.8083333333333333,0.6788922155688621,3080,9735.9012,12.8555,7839.495,11.9566,3080,1896.4062,1.0274,completed
8,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,66.3422697007743,66.3422697007743,0,0,0,149,39,172,1,2,3,1,1,5.0,1,2993,0,461,10580,0,162,299,335,126,0.0,46.1,12.6,collision_intent:162;hipc_clear_bundle:16;hipc_entry:110;state:173,0.7749999999999999,0.6458333333333333,2767,9509.4111,22.7694,7752.4853,22.0263,2767,1756.9258,1.0293,completed
9,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,67.15691400139578,67.15691400139578,0,0,0,127,40,151,0,4,0,0,0,0.0,0,3073,0,354,8119,0,137,217,288,66,0.0,35.4,6.6,collision_intent:137;hipc_clear_bundle:12;hipc_entry:54;state:151,0.8416666666666666,0.6879139072847682,2851,10487.7598,11.6991,8684.6061,10.8226,2851,1803.1537,1.2471,completed
10,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,60.71172813830649,60.71172813830649,0,0,0,130,36,154,0,3,0,0,0,0.0,0,2753,0,340,7797,0,139,201,293,47,0.0,34.0,4.7,collision_intent:139;hipc_clear_bundle:9;hipc_entry:38;state:154,0.8499999999999999,0.6888528138528138,2520,10589.1284,11.6,8954.8815,10.803,2520,1634.2469,1.029,completed
11,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,52.995094065671914,52.995094065671914,0,0,0,112,32,136,0,2,0,0,0,0.0,0,2396,0,338,7751,0,118,220,254,84,0.0,33.8,8.4,collision_intent:118;hipc_clear_bundle:9;hipc_entry:75;state:136,0.825,0.6758578431372548,2229,7132.5954,11.3183,5693.0429,10.5725,2229,1439.5525,0.9934,completed
12,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,58.50577029246471,58.50577029246471,0,0,0,125,35,149,0,0,0,0,0,0.0,0,2646,0,330,7567,0,134,196,283,47,0.0,33.0,4.7,collision_intent:134;hipc_clear_bundle:10;hipc_entry:37;state:149,0.875,0.683165548098434,2427,11397.8648,12.4176,9907.3128,11.799,2427,1490.552,0.9351,completed
13,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,69.80278995977733,69.80278995977733,0,0,0,161,41,185,0,5,0,0,0,0.0,0,3142,0,462,10603,0,172,290,357,105,0.0,46.2,10.5,collision_intent:172;hipc_clear_bundle:14;hipc_entry:91;state:185,0.8833333333333333,0.6813063063063063,2874,12319.0305,12.4548,10440.8004,11.631,2874,1878.2301,0.9696,completed
14,known_visit,HIPC,ideal,1.0,34,1156,24,10,hipc_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,80.14772287793247,80.14772287793247,0,0,0,157,47,181,0,5,1,1,0,0.0,0,3644,0,442,10143,0,167,275,348,94,0.0,44.2,9.4,collision_intent:167;hipc_clear_bundle:18;hipc_entry:76;state:181,0.8499999999999999,0.6912983425414363,3382,12751.5362,11.4475,10631.2532,10.6942,3382,2120.283,0.9908,completed
