trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,PI,ideal,1.0,14,196,1,10,pi_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,43,10,0,44,0,0,0,0,0,0.0,0,0,106,87,19,0,0,10,6.1566,0.61566,0.60215,0.9637,0.9637,4.9943,0.49943,0.4885,0.7849,0.7849,11,1.1623,0.10566363636363638,0.1039,0.1258,0.1258,completed
1,known_visit,PI,ideal,1.0,14,196,1,10,pi_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,40,10,0,40,1,0,0,0,0,0.0,0,0,100,81,19,0,0,10,5.7544,0.5754400000000001,0.60545,0.7576,0.7576,4.6133,0.46132999999999996,0.4809,0.6457,0.6457,11,1.1411,0.10373636363636364,0.1029,0.1366,0.1366,completed
2,known_visit,PI,ideal,1.0,14,196,1,10,pi_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,49,10,0,50,0,0,0,0,0,0.0,0,0,118,99,19,0,0,10,6.2603,0.62603,0.5888,1.1732,1.1732,5.0305,0.50305,0.47595,0.919,0.919,11,1.2298,0.1118,0.1154,0.1354,0.1354,completed
3,known_visit,PI,ideal,1.0,14,196,1,10,pi_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,58,10,1,57,2,0,0,0,0,0.0,0,0,136,117,19,0,0,10,10.1461,1.01461,0.5727500000000001,4.6159,4.6159,8.903599999999999,0.8903599999999999,0.46065,4.4891,4.4891,11,1.2425,0.11295454545454545,0.114,0.1365,0.1365,completed
4,known_visit,PI,ideal,1.0,14,196,1,10,pi_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,42,10,0,43,0,0,0,0,0,0.0,0,0,104,85,19,0,0,10,5.1927,0.51927,0.47104999999999997,1.2521,1.2521,4.116,0.41159999999999997,0.37229999999999996,0.9897,0.9897,11,1.0767,0.09788181818181818,0.0901,0.1536,0.1536,completed
5,known_visit,PI,ideal,1.0,14,196,1,10,pi_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,51,10,0,51,1,0,0,0,0,0.0,0,0,122,103,19,0,0,10,4.3332,0.43332,0.4121,0.856,0.856,3.4643,0.34643,0.33385,0.6695,0.6695,11,0.8689,0.0789909090909091,0.0795,0.095,0.095,completed
6,known_visit,PI,ideal,1.0,14,196,1,10,pi_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,47,10,0,47,1,0,0,0,0,0.0,0,0,114,95,19,0,0,10,4.2916,0.42916,0.40290000000000004,0.8188,0.8188,3.417,0.3417,0.3241,0.6315,0.6315,11,0.8746,0.07950909090909092,0.0811,0.0982,0.0982,completed
7,known_visit,PI,ideal,1.0,14,196,1,10,pi_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,47,10,1,46,2,0,0,0,0,0.0,0,0,114,95,19,0,0,10,6.3218,0.63218,0.60265,1.2384,1.2384,5.1074,0.51074,0.48995,0.9833,0.9833,11,1.2144,0.1104,0.113,0.1386,0.1386,completed
8,known_visit,PI,ideal,1.0,14,196,1,10,pi_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,45,10,0,45,1,0,0,0,0,0.0,0,0,110,91,19,0,0,10,5.5445,0.55445,0.4282,1.4336,1.4336,4.4529,0.44528999999999996,0.3342,1.1649,1.1649,11,1.0916,0.09923636363636362,0.0875,0.1461,0.1461,completed
9,known_visit,PI,ideal,1.0,14,196,1,10,pi_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,00,51,10,0,50,2,0,0,0,0,0.0,0,0,122,103,19,0,0,10,6.3978,0.63978,0.57545,1.1565,1.1565,5.1915,0.51915,0.46375,0.9224,0.9224,11,1.2063,0.10966363636363635,0.1132,0.1222,0.1222,completed
