trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,PI,bernoulli,drop_0.25,19,361,2,10,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,61.224642698959165,61.224642698959165,0,0,0,69,35,71,0,0,0,0,0,0.0,0,159,0,164,140,23,71,93,142,22,0.24731182795698925,16.4,2.2,collision_intent:71;pi_clear_path:1;pi_entry:21;state:71,0.10000000000000009,0.007042253521126751,21,11.0448,1.1993,8.3703,0.8509,19,2.6745,0.1785,completed
1,known_visit,PI,bernoulli,drop_0.25,19,361,2,10,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,54.13987141824462,54.13987141824462,0,0,0,52,32,54,0,0,0,0,0,0.0,0,149,0,127,106,20,53,74,107,20,0.273972602739726,12.7,2.0,collision_intent:53;pi_clear_path:1;pi_entry:19;state:54,0.0,0.11111111111111116,57,23.0804,1.4854,16.7159,1.2012,51,6.3645,0.2842,completed
2,known_visit,PI,bernoulli,drop_0.25,19,361,2,10,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,55.18047776821909,55.18047776821909,0,0,0,63,32,65,0,0,0,0,0,0.0,0,141,0,151,130,20,63,88,128,23,0.22988505747126436,15.1,2.3,collision_intent:63;pi_entry:23;state:65,0.0,0.007692307692307665,18,9.5614,1.061,7.5773,0.7634,14,1.9841,0.1908,completed
3,known_visit,PI,bernoulli,drop_0.25,19,361,2,10,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,54.25995377036818,54.25995377036818,0,0,0,63,32,65,0,0,0,0,0,0.0,0,138,0,148,124,23,63,85,128,20,0.27380952380952384,14.8,2.0,collision_intent:63;pi_entry:20;state:65,0.0,0.007692307692307665,16,12.7038,1.6383,10.1775,1.2127,12,2.5263,0.2386,completed
4,known_visit,PI,bernoulli,drop_0.25,19,361,2,10,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,46.76072521520931,46.76072521520931,0,0,0,54,27,56,0,0,0,0,0,0.0,0,120,0,132,110,22,54,78,110,22,0.28205128205128205,13.2,2.2,collision_intent:54;pi_entry:22;state:56,0.0,0.0,16,13.4166,1.6631,10.6388,1.2561,14,2.7778,0.2254,completed
5,known_visit,PI,bernoulli,drop_0.25,19,361,2,10,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,56.28986213577585,56.28986213577585,0,0,0,59,33,61,0,0,0,0,0,0.0,0,151,0,140,114,25,60,80,121,19,0.31645569620253167,14.0,1.9,collision_intent:60;pi_clear_path:1;pi_entry:18;state:61,0.10000000000000009,0.05737704918032782,39,22.3973,1.5415,16.1244,1.1103,35,6.2729,0.2297,completed
6,known_visit,PI,bernoulli,drop_0.25,19,361,2,10,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,62.97687259417503,62.97687259417503,1,1,1,73,37,73,2,0,0,0,0,0.0,0,161,0,170,146,23,73,97,148,22,0.23958333333333334,17.0,2.2,collision_intent:73;pi_entry:22;state:75,0.10000000000000009,0.020547945205479534,17,13.5128,1.7274,10.6936,1.3049,14,2.8192,0.2403,completed
7,known_visit,PI,bernoulli,drop_0.25,19,361,2,10,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,69.82618408274075,69.82618408274075,2,2,2,73,41,69,6,0,0,0,0,0.0,0,187,0,170,150,19,74,96,149,21,0.2,17.0,2.1,collision_intent:74;pi_clear_path:1;pi_entry:20;state:75,0.0,0.021739130434782705,43,24.5265,1.7596,17.1879,1.2069,40,7.3386,0.3543,completed
8,known_visit,PI,bernoulli,drop_0.25,19,361,2,10,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,66.29386240727811,66.29386240727811,0,0,0,70,39,72,0,0,0,0,0,0.0,0,175,0,168,141,27,71,97,143,25,0.27835051546391754,16.8,2.5,collision_intent:71;pi_clear_path:1;pi_entry:24;state:72,0.10000000000000009,0.05555555555555558,42,16.7163,1.0376,11.6225,0.7399,42,5.0938,0.1822,completed
9,known_visit,PI,bernoulli,drop_0.25,19,361,2,10,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,51.47971684595456,51.47971684595456,0,0,0,60,30,62,0,0,0,0,0,0.0,0,131,0,144,125,18,60,84,122,22,0.21686746987951808,14.4,2.2,collision_intent:60;pi_entry:22;state:62,0.10000000000000009,0.0,18,11.9719,1.6231,9.4306,1.124,14,2.5413,0.2824,completed
