trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,00,22,2,0,23,0,1,0,0,0,0.0,0,0,58,46,12,232,35,35,12.244,0.34982857142857143,0.2927,1.0768,1.0851,8.3321,0.23806000000000002,0.1836,0.7643,0.7872,34,3.9119,0.11505588235294117,0.1088,0.1501,0.1632,completed
0,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,01,30,2,0,28,3,2,0,0,0,0.0,0,0,69,61,8,224,30,9,4.8168,0.5352,0.4611,1.1023,1.1023,3.7133,0.4125888888888889,0.3592,0.8022,0.8022,8,1.1035,0.1379375,0.1396,0.1642,0.1642,completed
0,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,02,30,1,2,27,4,1,1,1,0,0.0,0,0,76,61,15,209,39,9,5.6852,0.6316888888888889,0.5544,1.0962,1.0962,4.277,0.4752222222222222,0.4118,0.7829,0.7829,10,1.4082,0.14082,0.1437,0.1693,0.1693,completed
0,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,03,30,3,0,31,0,2,1,1,0,0.0,0,0,74,62,12,225,25,7,4.3686,0.6240857142857142,0.5822,1.1515,1.1515,3.1175,0.4453571428571429,0.3656,0.8307,0.8307,9,1.2511,0.1390111111111111,0.1374,0.1669,0.1669,completed
0,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,04,20,2,0,21,0,0,0,0,0,0.0,0,0,48,42,6,234,42,40,13.8559,0.3463975,0.29359999999999997,0.5854,1.0408,9.1442,0.228605,0.1844,0.4464,0.7428,40,4.7117,0.11779250000000001,0.10919999999999999,0.1496,0.2165,completed
1,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,00,18,4,0,19,0,0,0,0,0,0.0,0,0,49,38,11,144,34,13,8.4065,0.6466538461538461,0.5018,1.5922,1.5922,6.252,0.4809230769230769,0.3594,1.1726,1.1726,11,2.1545,0.19586363636363638,0.1989,0.2537,0.2537,completed
1,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,01,16,0,1,16,1,2,0,0,0,0.0,0,0,42,34,8,154,32,21,13.3357,0.6350333333333333,0.4894,1.6119,1.6284,9.3204,0.4438285714285714,0.3188,1.1191,1.1903,21,4.0153,0.1912047619047619,0.1811,0.2253,0.2716,completed
1,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,02,20,2,0,20,1,0,0,0,0,0.0,0,0,48,41,7,144,35,8,5.4712,0.6839,0.53365,1.5997,1.5997,4.6977,0.5872125,0.5226999999999999,1.1632,1.1632,4,0.7735,0.193375,0.21225,0.2195,0.2195,completed
1,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,03,20,3,0,21,0,0,0,0,0,0.0,0,0,52,41,11,146,30,10,7.9896,0.79896,0.6335999999999999,1.577,1.577,5.8553,0.58553,0.4632,1.1548,1.1548,11,2.1343,0.19402727272727274,0.1989,0.2217,0.2217,completed
1,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,04,12,1,1,10,3,1,0,0,0,0.0,0,0,37,26,11,172,18,29,18.9421,0.6531758620689655,0.5796,1.1903,1.7824,13.2511,0.45693448275862064,0.3922,0.9675,1.3477,30,5.691,0.1897,0.18869999999999998,0.2228,0.225,completed
2,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,00,25,3,0,26,0,0,0,0,0,0.0,0,0,61,51,10,216,35,8,6.1904,0.7738,0.6596500000000001,1.5494,1.5494,4.9349,0.6168625,0.5026,1.1208,1.1208,6,1.2555,0.20925000000000002,0.2114,0.2266,0.2266,completed
2,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,01,24,0,2,20,5,2,1,1,0,0.0,0,0,64,51,13,211,37,10,8.2627,0.8262700000000001,0.66595,1.5885,1.5885,6.0888,0.60888,0.5341,1.1615,1.1615,11,2.1739,0.19762727272727273,0.2033,0.2169,0.2169,completed
2,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,02,25,0,0,25,1,1,2,2,0,0.0,0,0,64,51,13,212,36,8,7.7919,0.9739875,1.0374,1.658,1.658,5.7277,0.7159625,0.64555,1.1978,1.1978,10,2.0642,0.20642,0.20429999999999998,0.2338,0.2338,completed
2,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,03,26,5,0,27,0,0,0,0,0,0.0,0,0,61,53,8,217,35,7,5.482,0.7831428571428571,0.5589,1.5582,1.5582,4.4655000000000005,0.6379285714285715,0.4682,1.1344,1.1344,5,1.0165,0.20329999999999998,0.2094,0.2187,0.2187,completed
2,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,04,25,2,0,22,4,2,1,1,0,0.0,0,0,63,52,11,211,38,7,6.061,0.8658571428571429,0.8681,1.551,1.551,4.6733,0.6676142857142857,0.5367,1.1349,1.1349,7,1.3877,0.19824285714285714,0.2034,0.2127,0.2127,completed
3,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,00,24,4,0,25,0,1,0,0,0,0.0,0,0,60,50,10,205,31,19,10.3165,0.5429736842105263,0.4388,1.4892,1.4892,7.2233,0.38017368421052633,0.278,1.0872,1.0872,19,3.0932,0.1628,0.1607,0.203,0.203,completed
3,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,01,20,1,0,17,4,2,0,0,0,0.0,0,0,55,42,13,210,32,32,17.8772,0.5586625,0.4655,1.1291,1.6152,11.9996,0.3749875,0.3026,0.913,1.189,33,5.8776,0.1781090909090909,0.1672,0.2225,0.3829,completed
3,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,02,28,2,2,19,10,1,0,0,0,0.0,0,0,70,57,13,196,31,10,7.4076,0.7407600000000001,0.6695500000000001,1.5955,1.5955,5.4345,0.54345,0.41795,1.16,1.16,11,1.9731,0.17937272727272727,0.179,0.2221,0.2221,completed
3,known_visit,PI,bernoulli,drop_0.25,19,361,5,10,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,03,23,3,0,24,0,2,0,0,0,0.0,0,0,60,50,10,194,42,22,11.3082,0.5140090909090909,0.4311,0.8741,1.5134,8.0239,0.36472272727272725,0.2784,0.6684,1.1069,19,3.2843,0.1728578947368421,0.1636,0.2092,0.2092,completed
