trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,62.190187406796575,62.190187406796575,1,1,1,126,36,131,8,7,2,2,0,0.0,0,1458,0,349,4176,0,142,207,281,68,0.0,34.9,6.8,collision_intent:142;pi_clear_path:20;pi_entry:48;state:139,0.7076923076923078,0.5049911920140928,1231,907.3971,2.8885,610.317,2.0172,1236,297.0801,0.4912,completed
1,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,50.18736084281245,50.18736084281245,0,0,0,108,30,119,2,5,0,0,0,0.0,0,1167,0,309,3696,0,122,187,243,66,0.0,30.9,6.6,collision_intent:122;pi_clear_path:19;pi_entry:47;state:121,0.6000000000000001,0.5197155785391081,982,690.8511,1.9847,460.5208,1.4453,989,230.3303,0.4862,completed
2,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,57.43698115606603,57.43698115606603,0,0,0,104,34,117,0,3,0,0,0,0.0,0,1361,0,287,3432,0,117,170,234,53,0.0,28.7,5.3,collision_intent:117;pi_clear_path:15;pi_entry:38;state:117,0.6461538461538463,0.552268244575937,1183,817.2809,2.3245,535.2126,1.5574,1181,282.0683,0.4534,completed
3,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,64.24127694348476,64.24127694348476,0,0,0,97,38,109,1,3,0,0,0,0.0,0,1545,0,292,3492,0,109,183,219,73,0.0,29.2,7.3,collision_intent:109;pi_clear_path:19;pi_entry:54;state:110,0.6615384615384616,0.5335215243472125,1378,1222.1212,3.2602,774.0464,2.0437,1387,448.0748,1.2165,completed
4,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,56.80888145423602,56.80888145423602,0,0,0,116,34,129,0,7,0,0,0,0.0,0,1325,0,328,3924,0,128,200,257,71,0.0,32.8,7.1,collision_intent:128;pi_clear_path:19;pi_entry:52;state:129,0.6461538461538463,0.5521765056648777,1130,1197.9925,2.6948,795.6856,1.7448,1134,402.3069,0.5265,completed
5,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,51.80368463214729,51.80368463214729,0,0,0,91,30,104,0,1,3,2,1,5.0,1,1235,0,261,3120,0,106,155,210,51,0.0,26.1,5.1,collision_intent:106;pi_clear_path:14;pi_entry:37;state:104,0.676923076923077,0.5636094674556213,1069,1075.1849,2.5198,702.4955,1.7212,1075,372.6894,0.5467,completed
6,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,47.689334770342846,47.689334770342846,0,0,0,107,29,120,0,10,0,0,0,0.0,0,1104,0,326,3900,0,120,206,240,86,0.0,32.6,8.6,collision_intent:120;pi_clear_path:20;pi_entry:66;state:120,0.6000000000000001,0.4256410256410257,931,972.4581,2.4796,628.8341,1.6682,942,343.624,0.5344,completed
7,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,41.788690464517074,41.788690464517074,0,0,0,109,25,121,1,9,3,2,1,5.0,1,955,0,337,4032,0,130,207,252,85,0.0,33.7,8.5,collision_intent:130;pi_clear_path:23;pi_entry:62;state:122,0.6615384615384616,0.4907819453273998,771,867.5585,2.3585,584.2439,1.5839,787,283.3146,0.87,completed
8,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,68.309151987207,68.309151987207,1,1,1,139,37,150,2,8,2,2,0,0.0,0,1601,0,413,4944,0,161,252,313,100,0.0,41.3,10.0,collision_intent:161;pi_clear_path:28;pi_entry:72;state:152,0.8153846153846154,0.4830769230769232,1364,1474.4158,3.2089,965.9061,2.2451,1379,508.5097,0.5593,completed
9,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,49.535541265148204,49.535541265148204,0,0,0,95,29,105,3,11,8,6,1,5.0,1,1177,0,322,3852,0,117,205,225,97,0.0,32.2,9.7,collision_intent:117;pi_clear_path:24;pi_entry:73;state:108,0.6000000000000001,0.49230769230769234,1011,987.9594,3.1878,638.2078,2.1529,1032,349.7516,0.5396,completed
