trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,73.5713973451765,73.5713973451765,00:3;01:1;02:0;03:0;04:2;05:0;06:3;07:1;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(28,1);(3,5);(3,8);(1,12);(33,13);(5,21);(24,22);(23,30);(2,33)",1134,0,completed
1,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,81.80875031608463,81.80875031608463,00:0;01:4;02:2;03:0;04:0;05:0;06:0;07:3;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(15,18);(26,23);(16,18);(1,12);(5,16);(1,21);(6,25);(24,33);(11,32)",1263,0,completed
2,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,79.12632770788855,79.12632770788855,00:0;01:0;02:2;03:1;04:1;05:3;06:0;07:2;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(2,0);(1,4);(14,7);(10,12);(29,15);(26,0);(2,25);(24,23);(3,32)",1231,0,completed
3,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,60.87146127582693,60.87146127582693,00:0;01:2;02:0;03:2;04:0;05:4;06:0;07:1;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(2,0);(9,2);(7,8);(18,8);(3,16);(32,21);(3,24);(19,29);(2,31)",953,0,completed
4,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,56.61430220832351,56.61430220832351,00:3;01:0;02:0;03:1;04:0;05:2;06:0;07:4;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(33,1);(6,4);(9,9);(9,10);(2,16);(17,18);(23,27);(29,29);(2,33)",830,0,completed
5,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,62.85545128463904,62.85545128463904,00:1;01:1;02:2;03:1;04:1;05:0;06:0;07:2;08:2,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(5,0);(4,2);(21,6);(22,11);(9,17);(2,21);(2,25);(31,31);(15,20)",949,0,completed
6,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,70.48305411162444,70.48305411162444,00:2;01:0;02:0;03:1;04:1;05:3;06:0;07:3;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(23,9);(1,4);(4,8);(4,11);(5,19);(21,15);(11,24);(33,20);(1,33)",1098,0,completed
7,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,81.46854626202216,81.46854626202216,00:2;01:0;02:2;03:1;04:2;05:2;06:1;07:0;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(24,5);(3,4);(11,6);(9,12);(18,10);(33,20);(4,26);(2,29);(2,33)",1290,0,completed
8,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,65.68620638381961,65.68620638381961,00:0;01:1;02:1;03:3;04:0;05:2;06:0;07:2;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(3,0);(25,3);(5,8);(29,12);(2,16);(10,22);(2,25);(24,29);(11,32)",1013,0,completed
9,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,68.45867560143977,68.45867560143977,00:3;01:0;02:1;03:0;04:0;05:1;06:4;07:0;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(23,3);(6,4);(2,8);(1,12);(2,16);(22,15);(31,19);(2,29);(18,24)",1044,0,completed
10,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,19);(15,13);(2,29);(13,8);(25,22);(16,8);(33,10);(18,14);(21,31);(22,25)",10,True,58.82940181193698,58.82940181193698,00:2;01:0;02:3;03:0;04:1;05:0;06:2;07:2;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(18,14);(2,4);(33,10);(2,12);(20,19);(1,21);(25,22);(21,31);(1,33)",863,0,completed
