comm_label,dga_iterations,mean_total_team_steps,mean_delta_from_trial_baseline,sem_delta_from_trial_baseline,n_trials
ideal,1,71.77,-4.61111111111111,0.59070085063591,300
ideal,2,73.1133333333333,-3.26777777777778,0.608781475578584,300
ideal,5,72.19,-4.19111111111111,0.581111803880948,300
ideal,10,72.07,-4.31111111111111,0.591582503439423,300
ideal,25,71.33,-5.05111111111111,0.583629161773359,300
ideal,50,71.43,-4.95111111111111,0.507671906945598,300
bernoulli_025,1,78.9966666666667,2.61555555555555,0.636978252395913,300
bernoulli_025,2,80.74,4.35888888888889,0.729619864294197,300
bernoulli_025,5,81.2366666666667,4.85555555555556,0.780167401978864,300
bernoulli_025,10,81.0666666666667,4.68555555555556,0.756366542373624,300
bernoulli_025,25,80.5766666666667,4.19555555555556,0.677944140751487,300
bernoulli_025,50,82.0533333333333,5.67222222222222,0.73739577501241,300
