campaign,mission,campaign_family,grid_size,robot_count,grid_cells,default_adaptive_cap,conservative_lower_cap,recorded_cap_min,recorded_cap_max,attempted_n,successful_n,failed_n,event_cap_failure_n,stagnation_failure_n,successful_step_n,mean_success_total_team_steps,median_success_total_team_steps,p95_success_total_team_steps,max_success_total_team_steps,mean_success_max_agent_steps,p95_success_max_agent_steps,max_success_max_agent_steps,lower_cap_over_mean_team_steps,lower_cap_over_p95_team_steps,lower_cap_over_max_team_steps,successful_exact_event_n,mean_success_events_processed,median_success_events_processed,p95_success_events_processed,max_success_events_processed,lower_cap_over_mean_success_events,lower_cap_over_p95_success_events,lower_cap_over_max_success_events,mean_events_per_team_step,interpretation
CLIPS core,CLIPS,core,19,4,361,10000,5000,10000,10000,75000,74999,1,1,0,74999,198.283030440406,154,519,1226,51.0254270056934,134,413,25.2164796397075,9.63391136801541,4.07830342577488,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CV core,CV,core,19,4,361,10000,5000,NaN,NaN,75000,75000,0,0,0,75000,90.07732,86,141,313,28.52248,45,125,55.5078681292916,35.4609929078014,15.9744408945687,75000,255.081493333333,233,400.5,1845,19.6015788313821,12.4843945068664,2.710027100271,2.94264424046814,exact successful scheduler-event counts available
FGS core,FGS,core,19,4,361,10000,5000,10000,100000,15000,14576,424,424,0,14576,630.170348518112,580,1010,1431,170.893660812294,284,1256,7.93436252873185,4.95049504950495,3.49406009783368,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,14,1,196,5000,5000,NaN,NaN,600,600,0,0,0,600,104.313333333333,100.5,201,219,104.313333333333,201,219,47.9325110244775,24.8756218905473,22.8310502283105,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,14,2,196,5000,5000,5000,5000,600,595,5,5,0,595,104.556302521008,95,222,306,52.7596638655462,112.75,155,47.8211248814518,22.5225225225225,16.3398692810458,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,14,3,196,5000,5000,NaN,NaN,600,600,0,0,0,600,117.843333333333,112,253.5,369,40.0816666666667,86,124,42.4292139280966,19.723865877712,13.550135501355,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,14,4,196,5430,5000,NaN,NaN,600,600,0,0,0,600,114.488333333333,98,264.5,394,29.4283333333333,69.5,112,43.6725721689255,18.9035916824197,12.6903553299492,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,19,2,361,5000,5000,5000,5000,600,599,1,1,0,599,156.874791318865,128,363.1,573,79.0868113522538,183.55,287,31.8725523582496,13.7703112090333,8.7260034904014,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,19,3,361,7500,5000,NaN,NaN,600,600,0,0,0,600,173.871666666667,134,428.5,753,59.315,146,297,28.7568417319287,11.6686114352392,6.64010624169987,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,19,5,361,12500,5000,NaN,NaN,600,600,0,0,0,600,171.145,148,396,692,35.09,81,164,29.2149931344766,12.6262626262626,7.22543352601156,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,19,8,361,20000,5000,NaN,NaN,600,600,0,0,0,600,232.181666666667,183,605.5,1034,30.2083333333333,81.5,135,21.5348613513843,8.25763831544178,4.83558994197292,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,25,3,625,12985,5000,NaN,NaN,600,600,0,0,0,600,286.656666666667,205,721,1181,97.3583333333333,248,398,17.4424689233345,6.93481276005548,4.23370025402202,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,25,5,625,21642,5000,5000,5000,600,598,2,2,0,598,283.222408026756,218,727.6,1425,58.1822742474916,155.6,292,17.6539703720323,6.87190764156129,3.50877192982456,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,25,8,625,34627,5000,NaN,NaN,600,600,0,0,0,600,282.215,214,778,1538,36.4733333333333,100,198,17.7169888205801,6.426735218509,3.25097529258778,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,25,13,625,56268,5000,NaN,NaN,600,600,0,0,0,600,332.356666666667,282,860,1539,26.735,69.5,123,15.0440791519151,5.81395348837209,3.2488628979857,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,34,6,1156,48034,5000,5000,5000,600,588,12,12,0,588,595.27380952381,528,1318.5,2785,101.164965986395,226.1,471,8.39949603023819,3.79218809252939,1.79533213644524,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,34,9,1156,72050,5000,5000,5000,600,588,12,12,0,588,534.27380952381,418,1425.6,2283,60.9081632653061,161,257,9.35849729272043,3.50729517396184,2.19010074463425,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,34,14,1156,112078,5000,5000,5000,600,573,27,27,0,573,608.122164048866,468,1533.85,2333,44.891797556719,113,187,8.22203217641353,3.25977116406428,2.14316330904415,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,34,24,1156,192133,5000,5000,5000,600,559,41,41,0,559,650.468694096601,525,1589.05,3315,28.6994633273703,70,144,7.68676501325589,3.1465340926969,1.50829562594268,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CV grid-density,CV,grid-density,14,1,196,5000,5000,NaN,NaN,600,600,0,0,0,600,47.24,47,58.5,69,47.24,58.5,69,105.84250635055,85.4700854700855,72.463768115942,600,106.68,106.5,129,147,46.8691413573303,38.7596899224806,34.0136054421769,2.26232740422312,exact successful scheduler-event counts available
CV grid-density,CV,grid-density,14,2,196,5000,5000,NaN,NaN,600,600,0,0,0,600,49.6766666666667,48,66,85,27.9033333333333,37.5,55,100.650875662618,75.7575757575758,58.8235294117647,600,133.748333333333,125,193.5,603,37.3836434098867,25.8397932816537,8.29187396351576,2.70840599436681,exact successful scheduler-event counts available
CV grid-density,CV,grid-density,14,3,196,5000,5000,NaN,NaN,600,600,0,0,0,600,52.5316666666667,49,80,128,22.3016666666667,33,54,95.1806846663917,62.5,39.0625,600,171.413333333333,150,292,942,29.1692594897324,17.1232876712329,5.30785562632696,3.39108183722244,exact successful scheduler-event counts available
CV grid-density,CV,grid-density,14,4,196,5430,5000,NaN,NaN,600,600,0,0,0,600,56.835,55,90.5,117,20.0966666666667,32,48,87.9739597079265,55.2486187845304,42.7350427350427,600,210.175,178,377.5,1145,23.7896990603069,13.2450331125828,4.36681222707424,3.95212428285807,exact successful scheduler-event counts available
CV grid-density,CV,grid-density,19,2,361,5000,5000,NaN,NaN,600,600,0,0,0,600,67.5633333333333,66,92,141,37.7383333333333,54.5,71,74.0046376239578,54.3478260869565,35.4609929078014,600,178.453333333333,161,276,817,28.0185295875672,18.1159420289855,6.11995104039168,2.65990232877151,exact successful scheduler-event counts available
CV grid-density,CV,grid-density,19,3,361,7500,5000,NaN,NaN,600,600,0,0,0,600,72.1783333333333,69.5,102.5,136,30.52,47,66,69.2728658184589,48.780487804878,36.7647058823529,600,225.016666666667,201.5,399,937,22.2205762536108,12.531328320802,5.33617929562433,3.21437535567876,exact successful scheduler-event counts available
CV grid-density,CV,grid-density,19,5,361,12500,5000,NaN,NaN,600,600,0,0,0,600,84.7366666666667,83,126,172,25.7566666666667,42.5,64,59.0063333464459,39.6825396825397,29.0697674418605,600,342.263333333333,279,644,1513,14.6086346770031,7.7639751552795,3.30469266358229,4.45832748333432,exact successful scheduler-event counts available
CV grid-density,CV,grid-density,19,8,361,20000,5000,NaN,NaN,600,600,0,0,0,600,100.763333333333,95,176,259,23.9816666666667,42,57,49.6212246518244,28.4090909090909,19.3050193050193,600,551.61,429,1095,2527,9.06437519261797,4.5662100456621,1.97863078749505,6.54093172089409,exact successful scheduler-event counts available
CV grid-density,CV,grid-density,25,3,625,12985,5000,NaN,NaN,600,600,0,0,0,600,98.9983333333333,96,141,198,42.255,63,93,50.5059007727403,35.4609929078014,25.2525252525253,600,310.725,274.5,548,1135,16.0913991471558,9.12408759124088,4.40528634361233,3.28080656460196,exact successful scheduler-event counts available
CV grid-density,CV,grid-density,25,5,625,21642,5000,NaN,NaN,600,600,0,0,0,600,114.538333333333,112,179,263,35.78,61,84,43.6535075593324,27.9329608938547,19.0114068441065,600,470.288333333333,388.5,896.5,1329,10.6317755419548,5.57724484104852,3.76222723852521,4.64344619646226,exact successful scheduler-event counts available
CV grid-density,CV,grid-density,25,8,625,34627,5000,NaN,NaN,600,600,0,0,0,600,133.69,130,221.5,286,32.7833333333333,56,83,37.3999551200539,22.5733634311512,17.4825174825175,600,743.221666666667,583,1461.5,2612,6.7274680277082,3.42114266164899,1.91424196018377,6.85668372409965,exact successful scheduler-event counts available
CV grid-density,CV,grid-density,25,13,625,56268,5000,5000,5000,600,596,4,0,4,596,158.275167785235,146,303.7,435,31.8389261744966,54,75,31.5905525166433,16.463615409944,11.4942528735632,596,1238.76342281879,973.5,2353.1,4031,4.0362832062175,2.12485657218138,1.24038700074423,10.6300962913428,exact successful scheduler-event counts available
