implementation,nominal_drop_pct,stationary_delivery_q,attempts,seed,p_gg,p_bb,initial_good_probability,theoretical_drop_fraction,estimated_drop_fraction,drop_fraction_error,theoretical_lag1_state_drop_correlation,estimated_lag1_drop_correlation,lag1_correlation_error,theoretical_mean_good_run,estimated_mean_good_run,good_run_count,theoretical_mean_bad_run,estimated_mean_bad_run,bad_run_count,delivery_evaluated_before_transition,link_state_scope
CLIPS_benchmark_sim,5,0.95,500000,20260809,0.99,0.81,0.95,0.05,0.049092,-0.000908000000000048,0.8,0.797095112851247,-0.00290488714875259,99.9999999999999,100.370276546337,4737,5.26315789473684,5.18285472972973,4736,True,directed sender-receiver link
CLIPS_benchmark_sim,10,0.9,500000,20260810,0.98,0.82,0.9,0.1,0.1015,0.00150000000000003,0.8,0.800587140485252,0.000587140485251991,50,49.4007037607214,9094,5.55555555555556,5.58121632024634,9093,True,directed sender-receiver link
CLIPS_benchmark_sim,20,0.8,500000,20260811,0.96,0.84,0.8,0.2,0.19988,-0.000119999999999953,0.8,0.799722256971697,-0.000277743028303523,25,24.9787712287712,16016,6.25,6.24039962535123,16015,True,directed sender-receiver link
CLIPS_benchmark_sim,30,0.7,500000,20260812,0.94,0.86,0.7,0.3,0.300202,0.00020199999999998,0.8,0.801404396523654,0.00140439652365432,16.6666666666667,16.7728776185226,20861,7.14285714285714,7.195292651359,20861,True,directed sender-receiver link
CLIPS_benchmark_sim,40,0.6,500000,20260813,0.92,0.88,0.6,0.4,0.3989,-0.00110000000000005,0.8,0.800378073932834,0.000378073932834178,12.5,12.5579743450466,23933,8.33333333333333,8.33368152759788,23933,True,directed sender-receiver link
CLIPS_benchmark_sim,50,0.5,500000,20260814,0.9,0.9,0.5,0.5,0.502654,0.00265400000000005,0.8,0.799733956995302,-0.00026604300469768,10,9.93380737426597,25033,10,10.0398274277953,25033,True,directed sender-receiver link
CLIPS_benchmark_sim,60,0.4,500000,20260815,0.88,0.92,0.4,0.6,0.606774,0.00677400000000006,0.8,0.798200988473629,-0.0017990115263713,8.33333333333333,8.16668743509865,24075,12.5,12.6017445482866,24075,True,directed sender-receiver link
CLIPS_benchmark_sim,70,0.3,500000,20260816,0.86,0.94,0.3,0.7,0.698886,-0.00111399999999995,0.8,0.800469652018734,0.000469652018734168,7.14285714285714,7.17108835437009,20995,16.6666666666667,16.6433130120023,20996,True,directed sender-receiver link
CV_known_visit_sim,5,0.95,500000,20260809,0.99,0.81,0.95,0.05,0.049092,-0.000908000000000048,0.8,0.797095112851247,-0.00290488714875259,99.9999999999999,100.370276546337,4737,5.26315789473684,5.18285472972973,4736,True,directed sender-receiver link
CV_known_visit_sim,10,0.9,500000,20260810,0.98,0.82,0.9,0.1,0.1015,0.00150000000000003,0.8,0.800587140485252,0.000587140485251991,50,49.4007037607214,9094,5.55555555555556,5.58121632024634,9093,True,directed sender-receiver link
CV_known_visit_sim,20,0.8,500000,20260811,0.96,0.84,0.8,0.2,0.19988,-0.000119999999999953,0.8,0.799722256971697,-0.000277743028303523,25,24.9787712287712,16016,6.25,6.24039962535123,16015,True,directed sender-receiver link
CV_known_visit_sim,30,0.7,500000,20260812,0.94,0.86,0.7,0.3,0.300202,0.00020199999999998,0.8,0.801404396523654,0.00140439652365432,16.6666666666667,16.7728776185226,20861,7.14285714285714,7.195292651359,20861,True,directed sender-receiver link
CV_known_visit_sim,40,0.6,500000,20260813,0.92,0.88,0.6,0.4,0.3989,-0.00110000000000005,0.8,0.800378073932834,0.000378073932834178,12.5,12.5579743450466,23933,8.33333333333333,8.33368152759788,23933,True,directed sender-receiver link
CV_known_visit_sim,50,0.5,500000,20260814,0.9,0.9,0.5,0.5,0.502654,0.00265400000000005,0.8,0.799733956995302,-0.00026604300469768,10,9.93380737426597,25033,10,10.0398274277953,25033,True,directed sender-receiver link
CV_known_visit_sim,60,0.4,500000,20260815,0.88,0.92,0.4,0.6,0.606774,0.00677400000000006,0.8,0.798200988473629,-0.0017990115263713,8.33333333333333,8.16668743509865,24075,12.5,12.6017445482866,24075,True,directed sender-receiver link
CV_known_visit_sim,70,0.3,500000,20260816,0.86,0.94,0.3,0.7,0.698886,-0.00111399999999995,0.8,0.800469652018734,0.000469652018734168,7.14285714285714,7.17108835437009,20995,16.6666666666667,16.6433130120023,20996,True,directed sender-receiver link
FGS_benchmark_sim,5,0.95,500000,20260809,0.99,0.81,0.95,0.05,0.049092,-0.000908000000000048,0.8,0.797095112851247,-0.00290488714875259,99.9999999999999,100.370276546337,4737,5.26315789473684,5.18285472972973,4736,True,directed sender-receiver link
FGS_benchmark_sim,10,0.9,500000,20260810,0.98,0.82,0.9,0.1,0.1015,0.00150000000000003,0.8,0.800587140485252,0.000587140485251991,50,49.4007037607214,9094,5.55555555555556,5.58121632024634,9093,True,directed sender-receiver link
FGS_benchmark_sim,20,0.8,500000,20260811,0.96,0.84,0.8,0.2,0.19988,-0.000119999999999953,0.8,0.799722256971697,-0.000277743028303523,25,24.9787712287712,16016,6.25,6.24039962535123,16015,True,directed sender-receiver link
FGS_benchmark_sim,30,0.7,500000,20260812,0.94,0.86,0.7,0.3,0.300202,0.00020199999999998,0.8,0.801404396523654,0.00140439652365432,16.6666666666667,16.7728776185226,20861,7.14285714285714,7.195292651359,20861,True,directed sender-receiver link
FGS_benchmark_sim,40,0.6,500000,20260813,0.92,0.88,0.6,0.4,0.3989,-0.00110000000000005,0.8,0.800378073932834,0.000378073932834178,12.5,12.5579743450466,23933,8.33333333333333,8.33368152759788,23933,True,directed sender-receiver link
FGS_benchmark_sim,50,0.5,500000,20260814,0.9,0.9,0.5,0.5,0.502654,0.00265400000000005,0.8,0.799733956995302,-0.00026604300469768,10,9.93380737426597,25033,10,10.0398274277953,25033,True,directed sender-receiver link
FGS_benchmark_sim,60,0.4,500000,20260815,0.88,0.92,0.4,0.6,0.606774,0.00677400000000006,0.8,0.798200988473629,-0.0017990115263713,8.33333333333333,8.16668743509865,24075,12.5,12.6017445482866,24075,True,directed sender-receiver link
FGS_benchmark_sim,70,0.3,500000,20260816,0.86,0.94,0.3,0.7,0.698886,-0.00111399999999995,0.8,0.800469652018734,0.000469652018734168,7.14285714285714,7.17108835437009,20995,16.6666666666667,16.6433130120023,20996,True,directed sender-receiver link
