job_id,experiment,algorithm,task_load,scenario_id,scenario_index,layout_sha256,status,started_utc,elapsed_wall_s,worker_slot,cpu_affinity,worker_console_mode,allocator_implementation,planning_horizon_policy,bundle_length,commitment_horizon,dga_iterations_per_trigger,allocator_calls_total,cumulative_team_allocator_time_ms,cumulative_team_allocator_time_ns,events_processed,maximum_cumulative_robot_allocator_time_ms,maximum_cumulative_robot_allocator_time_ns,maximum_robot_steps,mission_completed,simulated_clock_s,simulated_mission_time_s,total_team_steps,median_of_robot_call_medians_ms,maximum_robot_call_p95_ms,maximum_robot_allocator_calls,mean_robot_allocator_calls,per_call_explanatory_definition
experiment2__cbaa__t05_s000,experiment2,CBAA,5,t05_s000,0,996b65c6a38acb0d9634437f603a1b10fc2c0eb40cce89a7e01d7c0481f94032,completed,2026-08-31T21:08:06+00:00,0.05546519998461008,1,unsupported,,,,,,,195,32.8123,32812300,264,11.7697,11769700,23,True,38.50209495927626,38.50209495927626,38,0.151425,0.2411,67,48.75,median across robot-level call medians; maximum across robot-level call p95 values
experiment2__cbaa__t05_s001,experiment2,CBAA,5,t05_s001,1,a01ff1530625efa4b338d837a184fd5aafa90e1767e228b940e330cba799b0a0,completed,2026-08-31T21:08:06+00:00,0.051741200033575296,7,unsupported,,,,,,,42,8.4019,8401900,177,4.1336,4133600,20,True,33.75844015554182,33.75844015554182,72,0.18785,0.3343,17,10.5,median across robot-level call medians; maximum across robot-level call p95 values
experiment2__cbaa__t05_s002,experiment2,CBAA,5,t05_s002,2,d296499cde18dcd3e6b626aa74d192ebfd2441bbc51b00b9115ccb0be5dd9459,completed,2026-08-31T21:08:07+00:00,0.044444600120186806,4,unsupported,,,,,,,63,10.3076,10307600,183,4.5538,4553800,20,True,33.1571760402935,33.1571760402935,66,0.17404999999999998,0.2794,26,15.75,median across robot-level call medians; maximum across robot-level call p95 values
experiment2__cbaa__t05_s003,experiment2,CBAA,5,t05_s003,3,b03765dbeaaf81216591e6feb54caad0b191422e20d1474162f6f26655830c0e,completed,2026-08-31T21:08:07+00:00,0.04105600016191602,2,unsupported,,,,,,,105,13.519,13519000,207,6.5294,6529400,21,True,34.97305050077787,34.97305050077787,58,0.11019999999999999,0.3047,49,26.25,median across robot-level call medians; maximum across robot-level call p95 values
experiment2__cbaa__t05_s004,experiment2,CBAA,5,t05_s004,4,b4874d10988b02accd5bf70bb403aafc35b828b0569b80d52239388a5266ada6,completed,2026-08-31T21:08:07+00:00,0.09000269998796284,6,unsupported,,,,,,,67,21.2414,21241400,195,8.9414,8941400,21,True,35.176892656942144,35.176892656942144,68,0.33715,0.4832,27,16.75,median across robot-level call medians; maximum across robot-level call p95 values
experiment2__cbaa__t05_s005,experiment2,CBAA,5,t05_s005,5,fcd75fcf31dec956cacf4aba7f2bfed1a9029bcdb7875da3956888fdb16f1a02,completed,2026-08-31T21:08:07+00:00,0.05996380001306534,10,unsupported,,,,,,,116,25.6837,25683700,199,11.1338,11133800,19,True,31.408574558106814,31.408574558106814,45,0.22344999999999998,0.327,48,29.0,median across robot-level call medians; maximum across robot-level call p95 values
experiment2__cbaa__t05_s006,experiment2,CBAA,5,t05_s006,6,eb8b23e0bad16c0341777ae1f26fb80d19785f08cfa355af48fb8099bfb416d5,completed,2026-08-31T21:08:07+00:00,0.05388689995743334,0,unsupported,,,,,,,85,17.1057,17105700,178,10.8964,10896400,18,True,29.984779970437465,29.984779970437465,50,0.1855,0.439,51,21.25,median across robot-level call medians; maximum across robot-level call p95 values
experiment2__cbaa__t05_s007,experiment2,CBAA,5,t05_s007,7,e121657faa858dfdd63f18304aaf6697abddcf716ca3ce748fa0cbe1c3daf800,completed,2026-08-31T21:08:07+00:00,0.0405181001406163,9,unsupported,,,,,,,71,12.3598,12359800,148,5.3159,5315900,16,True,25.924825854745176,25.924825854745176,46,0.173875,0.6172,30,17.75,median across robot-level call medians; maximum across robot-level call p95 values
experiment2__cbaa__t05_s008,experiment2,CBAA,5,t05_s008,8,86a474d245e34bb470e5ffdef1e8ab73d7a896c4bd2e8fde9a021a9501bcacde,completed,2026-08-31T21:08:07+00:00,0.05040109995752573,3,unsupported,,,,,,,95,19.0142,19014200,187,10.5489,10548900,19,True,31.614648139268244,31.614648139268244,52,0.2074,0.2691,48,23.75,median across robot-level call medians; maximum across robot-level call p95 values
experiment2__cbaa__t05_s009,experiment2,CBAA,5,t05_s009,9,be346691b7e3ee758238c28580e7f410f362a14e173214e292a97ce95afdce9a,completed,2026-08-31T21:08:07+00:00,0.042983800172805786,5,unsupported,,,,,,,86,15.8307,15830700,173,9.9264,9926400,18,True,29.457637986355014,29.457637986355014,49,0.19615,0.2625,50,21.5,median across robot-level call medians; maximum across robot-level call p95 values
