trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,CBAA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,cbaa_gilbert_elliott_drop_0_10_rho_0_8,,coverage,461,461,0,361,104,0,0,0,3186,8823,728,490,2696,951,2235,0,0,0.09008786041331518,8.825484764542937,0.0,4.848156182212581,0.0,6.191135734072022,cbaa_entry:2235;collision_intent:490;state:461,119,817,0.013157894736842035,completed
1,CBAA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,cbaa_gilbert_elliott_drop_0_10_rho_0_8,,coverage,469,469,0,361,112,0,0,0,3251,8993,756,485,2766,954,2297,0,0,0.09115022908126356,9.005540166204986,0.0,4.8976545842217485,0.0,6.362880886426593,cbaa_entry:2297;collision_intent:485;state:469,120,851,0.09072022160664828,completed
2,CBAA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,cbaa_gilbert_elliott_drop_0_10_rho_0_8,,coverage,541,541,0,361,184,0,0,0,3488,9564,896,562,2926,1103,2385,0,0,0.10211989970366993,9.662049861495845,0.0,4.408502772643253,0.0,6.606648199445983,cbaa_entry:2385;collision_intent:562;state:541,138,886,0.06440443213296398,completed
3,CBAA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,cbaa_gilbert_elliott_drop_0_10_rho_0_8,,coverage,476,476,0,361,119,0,0,0,3119,8527,826,486,2633,962,2157,0,0,0.10462317922735909,8.6398891966759,0.0,4.531512605042017,0.0,5.975069252077562,cbaa_entry:2157;collision_intent:486;state:476,121,789,0.1308864265927978,completed
4,CBAA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,cbaa_gilbert_elliott_drop_0_10_rho_0_8,,coverage,470,470,0,361,113,0,0,0,3147,8665,767,492,2655,962,2185,0,0,0.09640522875816994,8.717451523545707,0.0,4.648936170212766,0.0,6.052631578947368,cbaa_entry:2185;collision_intent:492;state:470,121,794,0.07132963988919672,completed
5,CBAA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,cbaa_gilbert_elliott_drop_0_10_rho_0_8,,coverage,523,523,0,361,166,0,0,0,3396,9174,1010,553,2843,1076,2320,0,0,0.11847507331378299,9.407202216066482,0.0,4.435946462715105,0.0,6.426592797783933,cbaa_entry:2320;collision_intent:553;state:523,134,860,0.07409972299168976,completed
6,CBAA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,cbaa_gilbert_elliott_drop_0_10_rho_0_8,,coverage,440,440,0,361,83,0,0,0,3057,8437,728,459,2598,899,2158,0,0,0.09347714432460195,8.46814404432133,0.0,4.904545454545454,0.0,5.977839335180056,cbaa_entry:2158;collision_intent:459;state:440,112,773,0.07132963988919672,completed
7,CBAA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,cbaa_gilbert_elliott_drop_0_10_rho_0_8,,coverage,488,488,0,361,131,0,0,0,3247,8847,888,509,2738,997,2250,0,0,0.10818713450292397,8.994459833795014,0.0,4.610655737704918,0.0,6.232686980609419,cbaa_entry:2250;collision_intent:509;state:488,123,829,0.03670360110803328,completed
8,CBAA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,cbaa_gilbert_elliott_drop_0_10_rho_0_8,,coverage,470,470,0,361,113,0,0,0,3174,8842,663,487,2687,957,2217,0,0,0.08242168075584286,8.79224376731302,0.0,4.717021276595744,0.0,6.141274238227147,cbaa_entry:2217;collision_intent:487;state:470,121,807,0.0602493074792243,completed
9,CBAA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,cbaa_gilbert_elliott_drop_0_10_rho_0_8,,coverage,513,513,0,361,156,0,0,0,3354,9099,959,543,2811,1056,2298,0,0,0.11377387590461502,9.290858725761773,0.0,4.47953216374269,0.0,6.365650969529086,cbaa_entry:2298;collision_intent:543;state:513,132,855,0.09764542936288079,completed
