trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status,failure_type,failure_message
0,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,149,0,81,69,0,0,0,894,160,734,309,585,0,cbaa_entry:585;collision_intent:160;state:149,2178,506,completed,,
0,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,145,0,76,70,0,0,0,888,152,736,297,591,0,cbaa_entry:591;collision_intent:152;state:145,2221,471,completed,,
0,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,153,0,108,46,0,0,0,899,154,745,307,592,0,cbaa_entry:592;collision_intent:154;state:153,2103,576,completed,,
0,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,150,0,96,55,0,0,0,899,154,745,304,595,0,cbaa_entry:595;collision_intent:154;state:150,2288,391,completed,,
1,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,143,0,87,57,0,0,0,867,146,721,289,578,0,cbaa_entry:578;collision_intent:146;state:143,2050,508,completed,,
1,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,141,0,49,93,0,0,0,867,145,722,286,581,0,cbaa_entry:581;collision_intent:145;state:141,2080,478,completed,,
1,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,145,0,95,51,0,0,0,857,148,709,293,564,0,cbaa_entry:564;collision_intent:148;state:145,2194,374,completed,,
1,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,146,0,130,17,0,0,0,836,147,689,293,543,0,cbaa_entry:543;collision_intent:147;state:146,2122,469,completed,,
2,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,8,0,9,0,0,0,0,395,11,384,19,376,0,cbaa_entry:376;collision_intent:11;state:8,1919,381,completed,,
2,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,9,0,10,0,0,0,0,404,10,394,19,385,0,cbaa_entry:385;collision_intent:10;state:9,1975,316,completed,,
2,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,188,0,179,10,0,0,0,953,189,764,377,576,0,cbaa_entry:576;collision_intent:189;state:188,1535,209,completed,,
2,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,186,0,163,24,0,0,0,945,189,756,375,570,0,cbaa_entry:570;collision_intent:189;state:186,1528,224,completed,,
3,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,205,0,165,41,0,0,0,1045,206,839,411,634,0,cbaa_entry:634;collision_intent:206;state:205,1811,354,completed,,
3,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,101,0,78,24,0,0,0,717,106,611,207,510,0,cbaa_entry:510;collision_intent:106;state:101,2054,437,completed,,
3,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,99,0,70,30,0,0,0,739,102,637,201,538,0,cbaa_entry:538;collision_intent:102;state:99,2088,381,completed,,
3,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,96,0,48,49,0,0,0,709,100,609,196,513,0,cbaa_entry:513;collision_intent:100;state:96,2002,497,completed,,
4,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,142,0,98,45,0,0,0,856,146,710,288,568,0,cbaa_entry:568;collision_intent:146;state:142,2189,402,completed,,
4,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,143,0,93,51,0,0,0,855,148,707,291,564,0,cbaa_entry:564;collision_intent:148;state:143,2111,481,completed,,
4,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,144,0,107,38,0,0,0,856,150,706,294,562,0,cbaa_entry:562;collision_intent:150;state:144,2161,432,completed,,
4,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,144,0,63,82,0,0,0,882,150,732,294,588,0,cbaa_entry:588;collision_intent:150;state:144,2211,354,completed,,
5,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,57,0,48,10,0,0,0,596,60,536,117,479,0,cbaa_entry:479;collision_intent:60;state:57,2122,448,completed,,
5,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,186,0,148,39,0,0,0,978,193,785,379,599,0,cbaa_entry:599;collision_intent:193;state:186,1851,339,completed,,
5,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,58,0,37,22,0,0,0,584,63,521,121,463,0,cbaa_entry:463;collision_intent:63;state:58,2136,446,completed,,
5,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,192,0,128,65,0,0,0,1010,195,815,387,623,0,cbaa_entry:623;collision_intent:195;state:192,1828,328,completed,,
6,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,34,0,25,10,0,0,0,471,36,435,70,401,0,cbaa_entry:401;collision_intent:36;state:34,1760,485,completed,,
6,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,19,0,20,0,0,0,0,419,22,397,41,378,0,cbaa_entry:378;collision_intent:22;state:19,1899,400,completed,,
6,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,18,0,12,7,0,0,0,444,21,423,39,405,0,cbaa_entry:405;collision_intent:21;state:18,1935,337,completed,,
