trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,DGA,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,dga_gilbert_elliott_drop_0_05_rho_0_8,,coverage,555,555,0,361,198,0,0,0,1840,5364,153,570,1270,1125,715,0,0,0.04018912529550828,5.096952908587258,0.0,1.2882882882882882,0.0,1.9806094182825484,collision_intent:570;dga_entry:715;state:555,140,511,0.07686980609418281,completed
1,DGA,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,dga_gilbert_elliott_drop_0_05_rho_0_8,,coverage,481,481,0,361,124,0,0,0,2028,5840,242,497,1531,978,1050,0,0,0.05271182748856458,5.617728531855955,0.0,2.182952182952183,0.0,2.9085872576177287,collision_intent:497;dga_entry:1050;state:481,122,576,0.09072022160664828,completed
2,DGA,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,dga_gilbert_elliott_drop_0_05_rho_0_8,,coverage,528,528,0,361,171,0,0,0,1730,4999,188,557,1173,1085,645,0,0,0.053469852104664393,4.792243767313019,0.0,1.2215909090909092,0.0,1.7867036011080333,collision_intent:557;dga_entry:645;state:528,134,478,0.08518005540166196,completed
3,DGA,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,dga_gilbert_elliott_drop_0_05_rho_0_8,,coverage,502,502,0,361,145,0,0,0,2063,5974,212,541,1522,1043,1020,0,0,0.04646066184527723,5.714681440443213,0.0,2.0318725099601593,0.0,2.8254847645429364,collision_intent:541;dga_entry:1020;state:502,128,589,0.06301939058171735,completed
4,DGA,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,dga_gilbert_elliott_drop_0_05_rho_0_8,,coverage,498,498,0,361,141,0,0,0,1770,5023,285,517,1253,1015,755,0,0,0.07585839765770562,4.903047091412742,0.0,1.5160642570281124,0.0,2.0914127423822713,collision_intent:517;dga_entry:755;state:498,128,514,0.09487534626038774,completed
5,DGA,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,dga_gilbert_elliott_drop_0_05_rho_0_8,,coverage,457,457,0,361,100,0,0,0,1796,5161,221,474,1322,931,865,0,0,0.05580808080808081,4.975069252077562,0.0,1.8927789934354486,0.0,2.3961218836565097,collision_intent:474;dga_entry:865;state:457,115,504,0.07409972299168976,completed
6,DGA,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,dga_gilbert_elliott_drop_0_05_rho_0_8,,coverage,518,518,0,361,161,0,0,0,2032,5845,248,539,1493,1057,975,0,0,0.05540661304736372,5.628808864265928,0.0,1.8822393822393821,0.0,2.700831024930748,collision_intent:539;dga_entry:975;state:518,130,577,0.04085872576177296,completed
7,DGA,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,dga_gilbert_elliott_drop_0_05_rho_0_8,,coverage,555,555,0,361,198,0,0,0,2157,6211,258,572,1585,1127,1030,0,0,0.05428150641699979,5.975069252077562,0.0,1.8558558558558558,0.0,2.853185595567867,collision_intent:572;dga_entry:1030;state:555,140,634,0.07548476454293618,completed
8,DGA,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,dga_gilbert_elliott_drop_0_05_rho_0_8,,coverage,622,622,0,361,265,0,0,0,2189,6334,231,637,1552,1259,930,0,0,0.04963472281908036,6.06371191135734,0.0,1.495176848874598,0.0,2.5761772853185594,collision_intent:637;dga_entry:930;state:622,158,632,0.10180055401662047,completed
9,DGA,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,dga_gilbert_elliott_drop_0_05_rho_0_8,,coverage,446,446,0,361,89,0,0,0,1706,4840,275,460,1246,906,800,0,0,0.07362784471218206,4.725761772853185,0.0,1.7937219730941705,0.0,2.21606648199446,collision_intent:460;dga_entry:800;state:446,112,481,0.0865650969529086,completed
