trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events
0,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,836,836,0,361,479,0,0,0,1681,3269,1773,845,836,1681,0,0,0,0.7072197846031113,4.6565096952908585,0.0,0.0,0.0,0.0,collision_intent:845;state:836,259,518,0.3704986149584488,completed,,,
1,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,836,836,0,361,479,0,0,0,1687,3319,1742,851,836,1687,0,0,0,0.6945773524720893,4.673130193905817,0.0,0.0,0.0,0.0,collision_intent:851;state:836,211,425,0.1945983379501386,completed,,,
2,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,RuntimeError,Debug safety cap reached in trial 2. This usually means the allocator is stuck or returning no reachable goals.,20000
3,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,879,879,0,361,522,0,0,0,1772,3442,1872,893,879,1772,0,0,0,0.7104364326375712,4.908587257617729,0.0,0.0,0.0,0.0,collision_intent:893;state:879,234,468,0.20429362880886437,completed,,,
4,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,859,859,0,361,502,0,0,0,1732,3359,1836,873,859,1732,0,0,0,0.7127329192546584,4.797783933518006,0.0,0.0,0.0,0.0,collision_intent:873;state:859,244,489,0.12396121883656508,completed,,,
5,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,898,898,0,361,541,0,0,0,1819,3495,1962,921,898,1819,0,0,0,0.7282850779510023,5.038781163434903,0.0,0.0,0.0,0.0,collision_intent:921;state:898,295,594,0.2167590027700832,completed,,,
6,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,723,723,0,361,366,0,0,0,1452,2768,1583,729,723,1452,0,0,0,0.7305029995385325,4.022160664819944,0.0,0.0,0.0,0.0,collision_intent:729;state:723,306,612,0.5256232686980609,completed,,,
7,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,636,636,0,361,279,0,0,0,1288,2610,1253,652,636,1288,0,0,0,0.6570529627687467,3.5678670360110805,0.0,0.0,0.0,0.0,collision_intent:652;state:636,300,605,0.49238227146814406,completed,,,
8,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,856,856,0,361,499,0,0,0,1726,3409,1768,870,856,1726,0,0,0,0.6887417218543046,4.781163434903047,0.0,0.0,0.0,0.0,collision_intent:870;state:856,218,438,0.15581717451523547,completed,,,
9,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,RuntimeError,Debug safety cap reached in trial 9. This usually means the allocator is stuck or returning no reachable goals.,20000
10,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,700,700,0,361,343,0,0,0,1406,2812,1405,706,700,1406,0,0,0,0.6693663649356837,3.8947368421052633,0.0,0.0,0.0,0.0,collision_intent:706;state:700,306,613,0.33448753462603875,completed,,,
11,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,713,713,0,361,356,0,0,0,1436,2843,1464,723,713,1436,0,0,0,0.6847521047708138,3.9778393351800556,0.0,0.0,0.0,0.0,collision_intent:723;state:713,321,644,0.15027700831024937,completed,,,
