trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events
0,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,619,619,0,361,262,0,0,0,2773,6523,1794,630,2143,1249,1524,0,0,0.2791348996421347,7.6814404432132966,0.0,2.4620355411954766,0.0,4.221606648199446,collision_intent:630;hipc_clear_bundle:1;hipc_entry:1523;state:619,156,766,0.14335180055401664,completed,,,
1,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,624,624,0,361,267,0,0,0,2831,6503,1988,640,2191,1264,1567,0,0,0.30254147009587584,7.842105263157895,0.0,2.511217948717949,0.0,4.340720221606648,collision_intent:640;hipc_entry:1567;state:624,159,732,0.13227146814404422,completed,,,
2,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,550,550,0,361,193,0,0,0,3500,7705,2794,558,2942,1108,2392,0,0,0.31660056657223795,9.695290858725762,0.0,4.349090909090909,0.0,6.626038781163435,collision_intent:558;hipc_clear_bundle:1;hipc_entry:2391;state:550,201,917,0.18213296398891976,completed,,,
3,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,650,650,0,361,293,0,0,0,2805,6543,1870,653,2152,1303,1502,0,0,0.28974279516578866,7.770083102493075,0.0,2.310769230769231,0.0,4.160664819944598,collision_intent:653;hipc_clear_bundle:1;hipc_entry:1501;state:650,163,769,0.12534626038781171,completed,,,
4,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,709,709,0,361,352,0,0,0,3143,7254,2172,721,2422,1430,1713,0,0,0.2990499793473771,8.706371191135734,0.0,2.4160789844851904,0.0,4.745152354570637,collision_intent:721;hipc_entry:1713;state:709,179,800,0.035318559556786644,completed,,,
5,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,682,682,0,361,325,0,0,0,3042,6980,2144,695,2347,1377,1665,0,0,0.30458871998863474,8.426592797783934,0.0,2.441348973607038,0.0,4.61218836565097,collision_intent:695;hipc_clear_bundle:1;hipc_entry:1664;state:682,173,819,0.23199445983379507,completed,,,
6,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,651,651,0,361,294,0,0,0,2862,6558,2026,658,2204,1309,1553,0,0,0.3065052950075643,7.92797783933518,0.0,2.3855606758832564,0.0,4.301939058171745,collision_intent:658;hipc_entry:1553;state:651,166,745,0.11565096952908593,completed,,,
7,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,547,547,0,361,190,0,0,0,2527,5903,1675,552,1975,1099,1428,0,0,0.2828436339074637,7.0,0.0,2.610603290676417,0.0,3.955678670360111,collision_intent:552;hipc_entry:1428;state:547,138,664,0.11149584487534625,completed,,,
8,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,735,735,0,361,378,0,0,0,3105,7322,1991,746,2359,1481,1624,0,0,0.28141342756183746,8.601108033240997,0.0,2.2095238095238097,0.0,4.498614958448753,collision_intent:746;hipc_entry:1624;state:735,187,811,0.11288088642659289,completed,,,
9,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,624,624,0,361,267,0,0,0,2872,6468,2146,629,2243,1253,1619,0,0,0.3190129329567415,7.955678670360111,0.0,2.594551282051282,0.0,4.484764542936288,collision_intent:629;hipc_clear_bundle:1;hipc_entry:1618;state:624,158,736,0.10457063711911352,completed,,,
10,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,566,566,0,361,209,0,0,0,2645,6156,1778,576,2069,1142,1503,0,0,0.2864969384466645,7.326869806094183,0.0,2.6554770318021204,0.0,4.163434903047092,collision_intent:576;hipc_entry:1503;state:566,143,694,0.10734072022160657,completed,,,
11,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,777,777,0,361,420,0,0,0,3300,7730,2160,786,2514,1563,1737,0,0,0.28666224286662245,9.141274238227147,0.0,2.2355212355212357,0.0,4.811634349030471,collision_intent:786;hipc_clear_bundle:1;hipc_entry:1736;state:777,199,871,0.1405817174515236,completed,,,
12,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,531,531,0,361,174,0,0,0,2504,5722,1787,542,1962,1073,1431,0,0,0.3037565867754547,6.93628808864266,0.0,2.694915254237288,0.0,3.96398891966759,collision_intent:542;hipc_entry:1431;state:531,133,654,0.08379501385041555,completed,,,
13,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,536,536,0,361,179,0,0,0,4353,9608,3449,543,3810,1079,3274,0,0,0.3018025901295065,12.058171745152354,0.0,6.108208955223881,0.0,9.069252077562327,collision_intent:543;hipc_clear_bundle:1;hipc_entry:3273;state:536,265,1222,0.49653739612188375,completed,,,
14,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,640,640,0,361,283,0,0,0,2908,6763,1959,650,2258,1290,1618,0,0,0.2892793857058476,8.055401662049862,0.0,2.528125,0.0,4.481994459833795,collision_intent:650;hipc_clear_bundle:2;hipc_entry:1616;state:640,162,768,0.1572022160664821,completed,,,
15,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,597,597,0,361,240,0,0,0,2742,6511,1714,611,2131,1208,1534,0,0,0.2681476846057572,7.595567867036011,0.0,2.5695142378559463,0.0,4.249307479224377,collision_intent:611;hipc_clear_bundle:2;hipc_entry:1532;state:597,153,716,0.1142659279778393,completed,,,
16,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,525,525,0,361,168,0,0,0,3621,8212,2650,537,3084,1062,2559,0,0,0.2864555183223435,10.030470914127424,0.0,4.8742857142857146,0.0,7.088642659279778,collision_intent:537;hipc_clear_bundle:1;hipc_entry:2558;state:525,257,1204,0.4951523545706371,completed,,,
17,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,614,614,0,361,257,0,0,0,2772,6525,1787,630,2142,1244,1528,0,0,0.2782189008251596,7.678670360110804,0.0,2.488599348534202,0.0,4.232686980609419,collision_intent:630;hipc_entry:1528;state:614,156,729,0.08379501385041555,completed,,,
18,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,527,527,0,361,170,0,0,0,2550,5766,1884,550,2000,1077,1473,0,0,0.314,7.06371191135734,0.0,2.795066413662239,0.0,4.080332409972299,collision_intent:550;hipc_clear_bundle:1;hipc_entry:1472;state:527,132,648,0.08933518005540164,completed,,,
