trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic
0,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,00,,,,,,,,,,,,,,,,
0,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,01,,,,,,,,,,,,,,,,
0,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,02,,,,,,,,,,,,,,,,
0,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,03,,,,,,,,,,,,,,,,
1,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,216,0,94,123,0,0,0,921,1744,1114,221,700,437,484,0,collision_intent:221;hipc_entry:484;state:216
1,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,152,0,89,64,0,0,0,944,1639,1196,161,783,313,631,0,collision_intent:161;hipc_entry:631;state:152
1,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,218,0,129,90,0,0,0,985,1776,1018,222,763,440,545,0,collision_intent:222;hipc_clear_bundle:2;hipc_entry:543;state:218
1,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,153,0,49,105,0,0,0,929,1630,1220,158,771,311,618,0,collision_intent:158;hipc_entry:618;state:153
2,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,196,0,89,108,0,0,0,958,1615,1159,204,754,400,558,0,collision_intent:204;hipc_entry:558;state:196
2,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,202,0,88,115,0,0,0,907,1768,1056,211,696,413,494,0,collision_intent:211;hipc_entry:494;state:202
