trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status
0,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,103,0,102,2,0,0,0,307,103,204,206,101,0,collision_intent:103;pi_entry:101;state:103,877,15,completed
0,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,98,0,76,23,0,0,0,290,105,185,203,87,0,collision_intent:105;pi_clear_path:1;pi_entry:86;state:98,857,51,completed
0,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,100,0,88,13,0,0,0,295,102,193,202,93,0,collision_intent:102;pi_entry:93;state:100,867,37,completed
0,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,104,0,95,10,0,0,0,307,105,202,209,98,0,collision_intent:105;pi_entry:98;state:104,888,3,completed
1,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,106,0,88,19,0,0,0,327,113,214,219,108,0,collision_intent:113;pi_entry:108;state:106,909,36,completed
1,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,105,0,67,39,0,0,0,301,109,192,214,87,0,collision_intent:109;pi_clear_path:1;pi_entry:86;state:105,925,46,completed
1,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,111,0,107,5,0,0,0,329,111,218,222,107,0,collision_intent:111;pi_entry:107;state:111,930,14,completed
1,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,106,0,99,8,0,0,0,316,109,207,215,101,0,collision_intent:109;pi_entry:101;state:106,923,33,completed
2,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,104,0,72,33,0,0,0,305,106,199,210,95,0,collision_intent:106;pi_clear_path:2;pi_entry:93;state:104,894,53,completed
2,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,109,0,96,14,0,0,0,317,110,207,219,98,0,collision_intent:110;pi_entry:98;state:109,906,28,completed
2,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,107,0,92,16,0,0,0,312,108,204,215,97,0,collision_intent:108;pi_entry:97;state:107,912,27,completed
2,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,107,0,101,7,0,0,0,318,108,210,215,103,0,collision_intent:108;pi_entry:103;state:107,914,19,completed
3,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,109,0,78,32,0,0,0,311,122,189,231,80,0,collision_intent:122;pi_entry:80;state:109,977,13,completed
3,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,112,0,92,21,0,0,0,325,115,210,227,98,0,collision_intent:115;pi_clear_path:2;pi_entry:96;state:112,974,2,completed
3,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,113,0,87,27,0,0,0,329,118,211,231,98,0,collision_intent:118;pi_clear_path:2;pi_entry:96;state:113,916,56,completed
3,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,113,0,104,10,0,0,0,337,116,221,229,108,0,collision_intent:116;pi_entry:108;state:113,935,30,completed
4,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,113,0,72,42,0,0,0,330,119,211,232,98,0,collision_intent:119;pi_entry:98;state:113,954,43,completed
4,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,116,0,105,12,0,0,0,334,118,216,234,100,0,collision_intent:118;pi_entry:100;state:116,982,12,completed
4,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,116,0,92,25,0,0,0,324,121,203,237,87,0,collision_intent:121;pi_clear_path:1;pi_entry:86;state:116,991,13,completed
4,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,115,0,92,24,0,0,0,340,118,222,233,107,0,collision_intent:118;pi_entry:107;state:115,966,21,completed
5,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,101,0,102,0,0,0,0,305,103,202,204,101,0,collision_intent:103;pi_entry:101;state:101,854,27,completed
5,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,98,0,77,22,0,0,0,278,100,178,198,80,0,collision_intent:100;pi_entry:80;state:98,902,5,completed
5,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,101,0,85,17,0,0,0,299,102,197,203,96,0,collision_intent:102;pi_entry:96;state:101,836,50,completed
5,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,102,0,97,6,0,0,0,304,103,201,205,99,0,collision_intent:103;pi_clear_path:1;pi_entry:98;state:102,859,22,completed
6,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,99,0,100,0,0,0,0,300,101,199,200,100,0,collision_intent:101;pi_entry:100;state:99,833,38,completed
6,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,98,0,85,14,0,0,0,290,100,190,198,92,0,collision_intent:100;pi_entry:92;state:98,819,63,completed
6,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,97,0,84,14,0,0,0,287,98,189,195,92,0,collision_intent:98;pi_entry:92;state:97,855,29,completed
6,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,99,0,92,8,0,0,0,295,100,195,199,96,0,collision_intent:100;pi_entry:96;state:99,861,15,completed
7,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,103,0,88,16,0,0,0,304,111,193,214,90,0,collision_intent:111;pi_entry:90;state:103,873,61,completed
7,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,106,0,84,23,0,0,0,306,107,199,213,93,0,collision_intent:107;pi_entry:93;state:106,905,26,completed
7,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,103,0,92,12,0,0,0,313,106,207,209,104,0,collision_intent:106;pi_entry:104;state:103,899,25,completed
7,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,107,0,97,11,0,0,0,315,109,206,216,99,0,collision_intent:109;pi_entry:99;state:107,913,10,completed
8,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,106,0,77,30,0,0,0,311,111,200,217,94,0,collision_intent:111;pi_entry:94;state:106,907,46,completed
8,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,107,0,86,22,0,0,0,313,113,200,220,93,0,collision_intent:113;pi_entry:93;state:107,928,23,completed
8,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,110,0,102,9,0,0,0,325,110,215,220,105,0,collision_intent:110;pi_entry:105;state:110,887,52,completed
8,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,106,0,96,11,0,0,0,316,110,206,216,100,0,collision_intent:110;pi_entry:100;state:106,933,16,completed
9,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,96,0,88,9,0,0,0,284,96,188,192,92,0,collision_intent:96;pi_entry:92;state:96,833,18,completed
9,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,95,0,86,10,0,0,0,282,96,186,191,91,0,collision_intent:96;pi_entry:91;state:95,845,8,completed
9,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,97,0,93,5,0,0,0,285,97,188,194,91,0,collision_intent:97;pi_entry:91;state:97,838,13,completed
9,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,95,0,94,2,0,0,0,285,95,190,190,95,0,collision_intent:95;pi_entry:95;state:95,799,51,completed
10,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,98,0,99,0,0,0,0,293,98,195,196,97,0,collision_intent:98;pi_entry:97;state:98,822,28,completed
10,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,92,0,80,13,0,0,0,278,96,182,188,90,0,collision_intent:96;pi_entry:90;state:92,817,47,completed
10,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,97,0,92,6,0,0,0,285,97,188,194,91,0,collision_intent:97;pi_entry:91;state:97,836,21,completed
10,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,94,0,90,5,0,0,0,287,99,188,193,94,0,collision_intent:99;pi_entry:94;state:94,851,4,completed
11,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,115,0,97,19,0,0,0,334,116,218,231,103,0,collision_intent:116;pi_entry:103;state:115,952,34,completed
11,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,116,0,101,16,0,0,0,337,116,221,232,105,0,collision_intent:116;pi_entry:105;state:116,958,24,completed
11,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,111,0,81,31,0,0,0,324,121,203,232,92,0,collision_intent:121;pi_entry:92;state:111,957,39,completed
11,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,114,0,82,33,0,0,0,325,115,210,229,96,0,collision_intent:115;pi_clear_path:1;pi_entry:95;state:114,976,18,completed
12,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,104,0,85,20,0,0,0,302,107,195,211,91,0,collision_intent:107;pi_entry:91;state:104,894,21,completed
12,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,105,0,99,7,0,0,0,316,108,208,213,103,0,collision_intent:108;pi_entry:103;state:105,878,22,completed
12,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,102,0,83,20,0,0,0,290,103,187,205,85,0,collision_intent:103;pi_entry:85;state:102,900,26,completed
12,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,105,0,94,12,0,0,0,309,109,200,214,95,0,collision_intent:109;pi_entry:95;state:105,891,16,completed
13,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,108,0,91,18,0,0,0,314,110,204,218,96,0,collision_intent:110;pi_entry:96;state:108,921,13,completed
13,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,107,0,83,25,0,0,0,307,109,198,216,91,0,collision_intent:109;pi_entry:91;state:107,916,26,completed
13,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,108,0,99,10,0,0,0,316,108,208,216,100,0,collision_intent:108;pi_entry:100;state:108,901,31,completed
13,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,108,0,88,21,0,0,0,312,110,202,218,94,0,collision_intent:110;pi_entry:94;state:108,900,36,completed
14,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,112,0,100,13,0,0,0,328,113,215,225,103,0,collision_intent:113;pi_entry:103;state:112,883,74,completed
14,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,108,0,86,23,0,0,0,317,112,205,220,97,0,collision_intent:112;pi_clear_path:1;pi_entry:96;state:108,947,21,completed
14,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,112,0,100,13,0,0,0,327,114,213,226,101,0,collision_intent:114;pi_entry:101;state:112,938,21,completed
14,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,110,0,75,36,0,0,0,314,112,202,222,92,0,collision_intent:112;pi_entry:92;state:110,911,60,completed
15,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,102,0,99,4,0,0,0,301,102,199,204,97,0,collision_intent:102;pi_entry:97;state:102,864,32,completed
15,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,99,0,84,16,0,0,0,296,104,192,203,93,0,collision_intent:104;pi_entry:93;state:99,870,31,completed
15,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,101,0,79,23,0,0,0,293,102,191,203,90,0,collision_intent:102;pi_entry:90;state:101,856,49,completed
15,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,104,0,99,6,0,0,0,308,104,204,208,100,0,collision_intent:104;pi_entry:100;state:104,864,25,completed
16,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,108,0,91,18,0,0,0,328,112,216,220,108,0,collision_intent:112;pi_entry:108;state:108,898,53,completed
16,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,105,0,83,23,0,0,0,314,115,199,220,94,0,collision_intent:115;pi_entry:94;state:105,936,29,completed
16,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,107,0,90,18,0,0,0,312,110,202,217,95,0,collision_intent:110;pi_clear_path:1;pi_entry:94;state:107,936,32,completed
16,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,108,0,97,12,0,0,0,326,113,213,221,105,0,collision_intent:113;pi_entry:105;state:108,910,43,completed
17,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,93,0,61,33,0,0,0,277,102,175,195,82,0,collision_intent:102;pi_entry:82;state:93,885,39,completed
17,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,104,0,105,0,0,0,0,313,105,208,209,104,0,collision_intent:105;pi_entry:104;state:104,867,22,completed
17,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,103,0,98,6,0,0,0,308,104,204,207,101,0,collision_intent:104;pi_entry:101;state:103,874,19,completed
17,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,104,0,97,8,0,0,0,304,104,200,208,96,0,collision_intent:104;pi_entry:96;state:104,870,27,completed
18,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,106,0,90,17,0,0,0,316,111,205,217,99,0,collision_intent:111;pi_entry:99;state:106,927,20,completed
18,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,111,0,75,37,0,0,0,305,111,194,222,83,0,collision_intent:111;pi_entry:83;state:111,924,35,completed
18,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,110,0,98,13,0,0,0,325,110,215,220,105,0,collision_intent:110;pi_entry:105;state:110,880,58,completed
18,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,106,0,98,9,0,0,0,318,108,210,214,104,0,collision_intent:108;pi_entry:104;state:106,910,36,completed
19,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,96,0,97,0,0,0,0,288,96,192,192,96,0,collision_intent:96;pi_entry:96;state:96,776,63,completed
19,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,96,0,97,0,0,0,0,286,96,190,192,94,0,collision_intent:96;pi_entry:94;state:96,834,8,completed
19,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,97,0,94,4,0,0,0,287,97,190,194,93,0,collision_intent:97;pi_entry:93;state:97,823,17,completed
19,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,89,0,73,17,0,0,0,267,93,174,182,85,0,collision_intent:93;pi_entry:85;state:89,830,30,completed
20,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,108,0,93,16,0,0,0,315,110,205,218,97,0,collision_intent:110;pi_entry:97;state:108,954,9,completed
20,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,104,0,80,25,0,0,0,316,111,205,215,101,0,collision_intent:111;pi_entry:101;state:104,926,37,completed
20,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,112,0,89,24,0,0,0,319,113,206,225,94,0,collision_intent:113;pi_entry:94;state:112,934,25,completed
20,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,109,0,99,11,0,0,0,329,112,217,221,108,0,collision_intent:112;pi_entry:108;state:109,925,24,completed
21,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,105,0,84,22,0,0,0,299,106,193,211,88,0,collision_intent:106;pi_entry:88;state:105,926,7,completed
21,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,106,0,101,6,0,0,0,307,108,199,214,93,0,collision_intent:108;pi_entry:93;state:106,916,9,completed
21,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,105,0,79,27,0,0,0,307,110,197,215,92,0,collision_intent:110;pi_entry:92;state:105,894,31,completed
