trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,True,44.25311839696687,44.25311839696687,2,2,2,100,26,99,5,7,2,2,230,0,576,889,839,102,474,206,370,0.590014064697609,57.6,37.0,acbba_entry:370;collision_intent:102;state:104,0.3500000000000001,0.037878787878787845,known_visit_core_500,10,4,8
1,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,True,75.79368241871062,75.79368241871062,8,8,8,126,44,92,38,10,38,2,394,0,725,1104,1069,131,594,261,464,0.6005617977528089,72.5,46.4,acbba_entry:464;collision_intent:131;state:130,0.10000000000000009,0.11413043478260865,known_visit_core_500,10,4,8
2,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,True,86.90980971218355,86.90980971218355,10,10,10,155,46,128,31,9,13,8,489,0,724,1169,1001,164,560,323,401,0.5965435041716329,72.4,40.1,acbba_entry:401;collision_intent:164;state:159,0.25,0.08984375,known_visit_core_500,10,4,8
3,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,True,107.50290405336989,107.50290405336989,12,12,12,213,61,150,67,11,25,21,595,0,870,1442,1167,223,647,440,430,0.6015463917525773,87.0,43.0,acbba_entry:430;collision_intent:223;state:217,0.44999999999999996,0.09000000000000008,known_visit_core_500,10,4,8
4,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,True,60.432940718153475,60.432940718153475,10,10,10,132,35,104,32,12,13,11,321,0,683,1083,965,138,545,274,409,0.5905752753977969,68.3,40.9,acbba_entry:409;collision_intent:138;state:136,0.3999999999999999,0.09615384615384626,known_visit_core_500,10,4,8
5,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,True,48.21313760288627,48.21313760288627,4,4,4,103,28,89,18,7,8,6,255,0,505,798,715,109,396,216,289,0.602866779089376,50.5,28.9,acbba_entry:289;collision_intent:109;state:107,0.1499999999999999,0.07584269662921339,known_visit_core_500,10,4,8
6,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,True,81.59517379282977,81.59517379282977,10,10,10,165,43,124,45,6,25,2,422,0,700,1160,938,171,529,340,360,0.5917981072555205,70.0,36.0,acbba_entry:360;collision_intent:171;state:169,0.3500000000000001,0.12096774193548376,known_visit_core_500,10,4,8
7,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,True,37.31550186734186,37.31550186734186,2,2,2,85,22,83,6,6,3,1,193,0,537,770,840,86,451,175,362,0.621301775147929,53.7,36.2,acbba_entry:362;collision_intent:86;state:89,0.25,0.04518072289156616,known_visit_core_500,10,4,8
8,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,True,68.63706842648308,68.63706842648308,6,6,6,155,40,123,36,7,8,8,358,0,742,1194,1032,160,582,319,423,0.5910652920962199,74.2,42.3,acbba_entry:423;collision_intent:160;state:159,0.30000000000000004,0.04268292682926833,known_visit_core_500,10,4,8
9,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,True,91.22142316036594,91.22142316036594,8,8,8,155,53,120,39,13,26,3,511,0,838,1271,1242,159,679,318,520,0.6100196463654224,83.8,52.0,acbba_entry:520;collision_intent:159;state:159,0.25,0.10000000000000009,known_visit_core_500,10,4,8
