trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(18,9);(8,12);(16,10);(4,10);(6,1);(4,8);(17,1);(3,4);(12,1);(11,9)",10,True,44.25311839696687,44.25311839696687,00:3;01:1;02:5;03:1,"(0,0);(0,6);(0,12);(0,18)","(18,4);(12,2);(16,10);(16,8)",230,0,known_visit_core_500,10,4,8
1,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(9,9);(9,6);(3,18);(9,5);(14,0);(8,5);(8,9);(11,12);(11,1);(0,9)",10,True,75.79368241871062,75.79368241871062,00:2;01:3;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(9,7);(9,2);(14,0);(0,9)",394,0,known_visit_core_500,10,4,8
2,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(4,17);(10,16);(9,5);(17,17);(3,8);(18,18);(16,13);(15,11);(7,16);(6,5)",10,True,86.90980971218355,86.90980971218355,00:4;01:1;02:2;03:3,"(0,0);(0,6);(0,12);(0,18)","(18,18);(4,18);(3,8);(9,5)",489,0,known_visit_core_500,10,4,8
3,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(14,6);(10,1);(4,2);(3,12);(6,14);(13,16);(7,14);(4,7);(11,5);(18,16)",10,True,107.50290405336989,107.50290405336989,00:5;01:0;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(18,16);(8,5);(13,16);(10,1)",595,0,known_visit_core_500,10,4,8
4,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(18,13);(16,5);(9,7);(2,8);(11,6);(18,6);(16,7);(11,8);(3,7);(2,7)",10,True,60.432940718153475,60.432940718153475,00:2;01:5;02:3;03:0,"(0,0);(0,6);(0,12);(0,18)","(16,9);(11,5);(18,13);(2,6)",321,0,known_visit_core_500,10,4,8
5,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(10,6);(13,12);(1,6);(8,16);(7,4);(16,7);(3,7);(2,7);(1,0);(9,17)",10,True,48.21313760288627,48.21313760288627,00:2;01:4;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(12,11);(11,6);(13,12);(7,3)",255,0,known_visit_core_500,10,4,8
6,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(13,16);(16,8);(6,0);(18,13);(2,8);(6,2);(15,9);(6,3);(1,6);(0,16)",10,True,81.59517379282977,81.59517379282977,00:3;01:5;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(13,16);(18,3);(15,8);(16,12)",422,0,known_visit_core_500,10,4,8
7,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(13,3);(4,14);(15,5);(10,5);(4,7);(4,3);(3,5);(9,17);(7,4);(6,14)",10,True,37.31550186734186,37.31550186734186,00:2;01:4;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(14,6);(13,3);(3,3);(7,8)",193,0,known_visit_core_500,10,4,8
8,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(6,4);(7,3);(10,13);(4,15);(1,10);(17,18);(17,9);(8,0);(15,14);(10,16)",10,True,68.63706842648308,68.63706842648308,00:1;01:4;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(12,4);(17,17);(17,9);(17,2)",358,0,known_visit_core_500,10,4,8
9,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(13,4);(6,17);(10,7);(11,10);(2,3);(18,12);(7,12);(18,3);(16,6);(6,2)",10,True,91.22142316036594,91.22142316036594,00:1;01:4;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,3);(16,7);(17,3);(7,12)",511,0,known_visit_core_500,10,4,8
10,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(9,14);(12,11);(8,0);(17,10);(1,0);(13,7);(3,16);(1,8);(17,13);(8,13)",10,True,47.13825610487454,47.13825610487454,00:3;01:1;02:5;03:1,"(0,0);(0,6);(0,12);(0,18)","(18,10);(3,12);(17,13);(16,11)",242,0,known_visit_core_500,10,4,8
11,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(14,18);(5,5);(5,12);(5,7);(3,3);(1,0);(10,18);(8,1);(12,12);(17,3)",10,True,87.03842085531622,87.03842085531622,00:4;01:0;02:5;03:1,"(0,0);(0,6);(0,12);(0,18)","(5,18);(12,11);(5,5);(17,7)",445,0,known_visit_core_500,10,4,8
12,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(16,0);(8,4);(13,1);(17,18);(14,9);(2,8);(16,6);(3,6);(4,10);(11,10)",10,True,44.25520812151255,44.25520812151255,00:2;01:5;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(8,2);(16,6);(11,2);(17,9)",222,0,known_visit_core_500,10,4,8
13,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(18,1);(14,18);(7,7);(8,9);(8,5);(4,6);(11,16);(18,5);(15,5);(3,1)",10,True,60.30130903115303,60.30130903115303,00:7;01:1;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(18,1);(8,14);(15,5);(12,5)",300,0,known_visit_core_500,10,4,8
14,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(5,7);(13,12);(9,3);(4,4);(6,11);(10,17);(14,4);(12,17);(18,6);(13,11)",10,True,58.18737166756956,58.18737166756956,00:3;01:1;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(18,13);(13,11);(9,7);(5,7)",305,0,known_visit_core_500,10,4,8
15,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(17,14);(14,5);(5,12);(18,1);(14,11);(18,2);(13,2);(7,15);(3,15);(18,15)",10,True,81.55787550920931,81.55787550920931,00:3;01:1;02:2;03:4,"(0,0);(0,6);(0,12);(0,18)","(16,5);(17,1);(14,10);(18,1)",434,0,known_visit_core_500,10,4,8
16,known_visit,ACBBA,bernoulli,0.6,19,361,4,10,acbba_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,"(1,15);(4,12);(8,0);(3,18);(9,11);(4,16);(18,8);(10,0);(3,10);(6,0)",10,True,42.981433385270535,42.981433385270535,00:4;01:2;02:1;03:3,"(0,0);(0,6);(0,12);(0,18)","(18,8);(7,16);(4,11);(6,10)",220,0,known_visit_core_500,10,4,8
