trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(18,9);(8,12);(16,10);(4,10);(6,1);(4,8);(17,1);(3,4);(12,1);(11,9)",10,True,41.63380878463065,41.63380878463065,00:3;01:2;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(17,7);(18,9);(16,10);(11,12)",223,0,known_visit_core_500,10,4,8
1,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(9,9);(9,6);(3,18);(9,5);(14,0);(8,5);(8,9);(11,12);(11,1);(0,9)",10,True,28.19788068600915,28.19788068600915,00:2;01:6;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(14,0);(8,5);(12,12);(11,13)",149,0,known_visit_core_500,10,4,8
2,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(4,17);(10,16);(9,5);(17,17);(3,8);(18,18);(16,13);(15,11);(7,16);(6,5)",10,True,41.26437022843334,41.26437022843334,00:2;01:2;02:1;03:5,"(0,0);(0,6);(0,12);(0,18)","(16,5);(15,11);(16,13);(18,16)",215,0,known_visit_core_500,10,4,8
3,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(14,6);(10,1);(4,2);(3,12);(6,14);(13,16);(7,14);(4,7);(11,5);(18,16)",10,True,37.11181838905383,37.11181838905383,00:2;01:3;02:5;03:0,"(0,0);(0,6);(0,12);(0,18)","(13,1);(14,9);(18,16);(7,16)",202,0,known_visit_core_500,10,4,8
4,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(18,13);(16,5);(9,7);(2,8);(11,6);(18,6);(16,7);(11,8);(3,7);(2,7)",10,True,54.25296762075794,54.25296762075794,00:1;01:6;02:3;03:0,"(0,0);(0,6);(0,12);(0,18)","(17,5);(18,13);(18,6);(10,7)",306,0,known_visit_core_500,10,4,8
5,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(10,6);(13,12);(1,6);(8,16);(7,4);(16,7);(3,7);(2,7);(1,0);(9,17)",10,True,32.23109303816843,32.23109303816843,00:2;01:5;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(9,4);(16,7);(13,12);(9,17)",183,0,known_visit_core_500,10,4,8
6,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(13,16);(16,8);(6,0);(18,13);(2,8);(6,2);(15,9);(6,3);(1,6);(0,16)",10,True,38.83743809854479,38.83743809854479,00:3;01:2;02:2;03:3,"(0,0);(0,6);(0,12);(0,18)","(16,5);(6,0);(16,8);(18,13)",207,0,known_visit_core_500,10,4,8
7,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(13,3);(4,14);(15,5);(10,5);(4,7);(4,3);(3,5);(9,17);(7,4);(6,14)",10,True,35.020544059908495,35.020544059908495,00:4;01:3;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(13,3);(15,5);(10,10);(9,17)",200,0,known_visit_core_500,10,4,8
8,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(6,4);(7,3);(10,13);(4,15);(1,10);(17,18);(17,9);(8,0);(15,14);(10,16)",10,True,48.09556101490758,48.09556101490758,00:1;01:3;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(1,10);(17,9);(9,15);(17,18)",254,0,known_visit_core_500,10,4,8
9,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(13,4);(6,17);(10,7);(11,10);(2,3);(18,12);(7,12);(18,3);(16,6);(6,2)",10,True,43.27014694854636,43.27014694854636,00:2;01:3;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(10,4);(18,3);(16,6);(18,12)",235,0,known_visit_core_500,10,4,8
10,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(9,14);(12,11);(8,0);(17,10);(1,0);(13,7);(3,16);(1,8);(17,13);(8,13)",10,True,39.34213447071281,39.34213447071281,00:2;01:3;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(13,4);(17,10);(12,11);(17,13)",212,0,known_visit_core_500,10,4,8
11,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(14,18);(5,5);(5,12);(5,7);(3,3);(1,0);(10,18);(8,1);(12,12);(17,3)",10,True,40.68352835179609,40.68352835179609,00:4;01:2;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(17,3);(7,8);(12,12);(14,18)",244,0,known_visit_core_500,10,4,8
12,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(16,0);(8,4);(13,1);(17,18);(14,9);(2,8);(16,6);(3,6);(4,10);(11,10)",10,True,40.169277197110226,40.169277197110226,00:3;01:2;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(16,0);(12,6);(16,6);(17,17)",214,0,known_visit_core_500,10,4,8
13,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(18,1);(14,18);(7,7);(8,9);(8,5);(4,6);(11,16);(18,5);(15,5);(3,1)",10,True,42.643810576723475,42.643810576723475,00:1;01:6;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(15,7);(18,1);(16,6);(14,18)",232,0,known_visit_core_500,10,4,8
14,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(5,7);(13,12);(9,3);(4,4);(6,11);(10,17);(14,4);(12,17);(18,6);(13,11)",10,True,40.39533306658525,40.39533306658525,00:3;01:2;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,6);(13,7);(13,12);(13,16)",235,0,known_visit_core_500,10,4,8
15,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(17,14);(14,5);(5,12);(18,1);(14,11);(18,2);(13,2);(7,15);(3,15);(18,15)",10,True,39.27807911337649,39.27807911337649,00:3;01:1;02:4;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,1);(17,4);(18,15);(14,11)",204,0,known_visit_core_500,10,4,8
16,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(1,15);(4,12);(8,0);(3,18);(9,11);(4,16);(18,8);(10,0);(3,10);(6,0)",10,True,43.188401985057226,43.188401985057226,00:4;01:3;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,8);(9,11);(2,12);(5,13)",269,0,known_visit_core_500,10,4,8
17,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(17,17);(18,1);(8,7);(17,7);(14,2);(15,1);(13,3);(7,3);(9,7);(6,13)",10,True,43.379674213061854,43.379674213061854,00:2;01:6;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(17,7);(18,1);(17,8);(17,10)",221,0,known_visit_core_500,10,4,8
18,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(8,8);(14,0);(4,8);(14,12);(16,15);(3,2);(12,17);(6,8);(2,0);(2,12)",10,True,43.70558938528626,43.70558938528626,00:2;01:4;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(2,12);(14,12);(14,0);(16,15)",250,0,known_visit_core_500,10,4,8
19,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(13,3);(16,7);(15,3);(2,12);(4,6);(14,4);(10,8);(6,13);(17,15);(10,14)",10,True,47.70864566920445,47.70864566920445,00:4;01:1;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(16,7);(5,15);(11,7);(17,15)",267,0,known_visit_core_500,10,4,8
20,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(10,15);(15,1);(5,0);(5,8);(11,14);(12,15);(15,0);(13,7);(1,15);(2,1)",10,True,30.419351700579345,30.419351700579345,00:4;01:2;02:4;03:0,"(0,0);(0,6);(0,12);(0,18)","(15,1);(13,6);(12,15);(11,15)",156,0,known_visit_core_500,10,4,8
21,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(0,15);(12,13);(16,18);(4,7);(10,9);(10,14);(3,15);(17,14);(4,17);(12,9)",10,True,44.89691064609348,44.89691064609348,00:0;01:3;02:4;03:3,"(0,0);(0,6);(0,12);(0,18)","(10,5);(12,12);(16,18);(17,14)",258,0,known_visit_core_500,10,4,8
22,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(17,4);(4,12);(9,3);(6,7);(15,3);(4,10);(17,10);(8,8);(8,1);(15,2)",10,True,39.16654335630268,39.16654335630268,00:5;01:3;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(17,4);(17,10);(14,9);(6,1)",207,0,known_visit_core_500,10,4,8
23,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(10,5);(1,4);(12,12);(9,14);(0,14);(14,10);(9,18);(8,0);(4,17);(18,7)",10,True,42.10195499767229,42.10195499767229,00:2;01:2;02:4;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,7);(14,9);(14,10);(12,18)",237,0,known_visit_core_500,10,4,8
24,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(9,17);(2,4);(16,8);(3,6);(6,18);(11,13);(4,14);(6,12);(15,1);(13,1)",10,True,40.21704531035114,40.21704531035114,00:3;01:2;02:2;03:3,"(0,0);(0,6);(0,12);(0,18)","(15,1);(16,8);(16,12);(11,13)",218,0,known_visit_core_500,10,4,8
25,known_visit,CBAA,bernoulli,0.05,19,361,4,10,cbaa_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,"(4,8);(8,4);(18,9);(10,18);(1,11);(16,7);(3,6);(14,18);(7,4);(2,6)",10,True,43.1879343115635,43.1879343115635,00:2;01:4;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(8,4);(16,7);(18,9);(14,6)",243,0,known_visit_core_500,10,4,8
