trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,22,3,0,23,0,0,0,0,0,119,46,73,306,69,known_visit_core_500,10,4,8
0,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,19,1,1,18,2,4,0,0,0,119,40,79,315,60,known_visit_core_500,10,4,8
0,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,25,5,0,26,0,0,0,0,0,126,51,75,307,63,known_visit_core_500,10,4,8
0,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,24,1,1,19,6,2,0,0,0,132,49,83,300,62,known_visit_core_500,10,4,8
1,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,16,2,0,17,0,1,0,0,0,93,34,59,235,46,known_visit_core_500,10,4,8
1,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,18,3,2,15,4,1,0,0,0,96,37,59,221,56,known_visit_core_500,10,4,8
1,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,19,4,0,20,0,0,0,0,0,94,39,55,245,37,known_visit_core_500,10,4,8
1,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,15,1,1,12,4,0,0,0,0,93,32,61,246,35,known_visit_core_500,10,4,8
2,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,22,2,0,23,0,2,0,0,0,127,45,82,314,57,known_visit_core_500,10,4,8
2,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,21,1,0,22,0,2,1,1,0,126,45,81,313,60,known_visit_core_500,10,4,8
2,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,22,2,0,23,0,3,0,0,0,126,45,81,314,60,known_visit_core_500,10,4,8
2,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,22,5,0,23,0,0,0,0,0,121,45,76,326,51,known_visit_core_500,10,4,8
3,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,24,3,1,22,3,0,0,0,0,123,49,74,283,73,known_visit_core_500,10,4,8
3,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,23,2,1,22,2,0,0,0,0,120,47,73,299,58,known_visit_core_500,10,4,8
3,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,22,5,0,23,0,0,0,0,0,107,46,61,311,59,known_visit_core_500,10,4,8
3,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,24,0,1,20,5,4,0,0,0,129,49,80,292,57,known_visit_core_500,10,4,8
4,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,22,0,4,10,13,4,0,0,0,135,46,89,365,70,known_visit_core_500,10,4,8
4,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,24,7,0,25,0,0,1,1,0,131,51,80,374,64,known_visit_core_500,10,4,8
4,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,31,3,0,32,0,4,1,1,0,152,64,88,350,69,known_visit_core_500,10,4,8
4,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,29,0,6,11,19,6,0,0,0,153,60,93,351,65,known_visit_core_500,10,4,8
5,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,13,2,0,14,0,2,0,0,0,87,28,59,239,53,known_visit_core_500,10,4,8
5,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,20,5,0,21,0,0,0,0,0,102,42,60,237,41,known_visit_core_500,10,4,8
5,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,13,0,1,12,2,1,0,0,0,89,28,61,249,41,known_visit_core_500,10,4,8
5,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,21,3,0,22,0,0,0,0,0,104,43,61,233,45,known_visit_core_500,10,4,8
6,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,26,5,0,27,0,0,0,0,0,122,53,69,319,62,known_visit_core_500,10,4,8
6,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,18,2,1,17,2,0,2,2,0,118,40,78,309,75,known_visit_core_500,10,4,8
6,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,24,0,1,19,6,1,0,0,0,133,50,83,310,59,known_visit_core_500,10,4,8
6,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,26,3,0,27,0,0,0,0,0,130,53,77,315,56,known_visit_core_500,10,4,8
7,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,21,1,2,15,7,2,3,1,0,118,45,73,315,73,known_visit_core_500,10,4,8
7,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,26,6,0,27,0,0,0,0,0,126,53,73,321,60,known_visit_core_500,10,4,8
7,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,26,3,0,27,0,0,0,0,0,134,54,80,317,54,known_visit_core_500,10,4,8
7,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,22,0,1,20,3,5,1,1,0,129,46,83,309,67,known_visit_core_500,10,4,8
8,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,29,2,0,30,0,1,0,0,0,147,59,88,352,83,known_visit_core_500,10,4,8
8,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,28,2,1,20,9,0,0,0,0,151,57,94,371,60,known_visit_core_500,10,4,8
8,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,29,4,0,29,1,0,1,1,0,134,59,75,374,76,known_visit_core_500,10,4,8
