trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(18,9);(8,12);(16,10);(4,10);(6,1);(4,8);(17,1);(3,4);(12,1);(11,9)",10,True,42.60517962457333,42.60517962457333,00:3;01:1;02:5;03:1,"(0,0);(0,6);(0,12);(0,18)","(18,7);(13,8);(18,9);(18,11)",221,0,known_visit_core_500,10,4,8
1,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(9,9);(9,6);(3,18);(9,5);(14,0);(8,5);(8,9);(11,12);(11,1);(0,9)",10,True,42.12063261577286,42.12063261577286,00:2;01:1;02:6;03:1,"(0,0);(0,6);(0,12);(0,18)","(15,0);(11,12);(4,8);(8,8)",224,0,known_visit_core_500,10,4,8
2,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(4,17);(10,16);(9,5);(17,17);(3,8);(18,18);(16,13);(15,11);(7,16);(6,5)",10,True,40.97129289140628,40.97129289140628,00:2;01:1;02:2;03:5,"(0,0);(0,6);(0,12);(0,18)","(15,7);(12,4);(15,11);(18,18)",218,0,known_visit_core_500,10,4,8
3,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(14,6);(10,1);(4,2);(3,12);(6,14);(13,16);(7,14);(4,7);(11,5);(18,16)",10,True,33.36669283980663,33.36669283980663,00:2;01:3;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(11,6);(14,6);(4,7);(18,16)",176,0,known_visit_core_500,10,4,8
4,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(18,13);(16,5);(9,7);(2,8);(11,6);(18,6);(16,7);(11,8);(3,7);(2,7)",10,True,52.185407483916556,52.185407483916556,00:1;01:7;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(16,7);(18,6);(16,5);(18,13)",283,0,known_visit_core_500,10,4,8
5,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(10,6);(13,12);(1,6);(8,16);(7,4);(16,7);(3,7);(2,7);(1,0);(9,17)",10,True,36.11812132473709,36.11812132473709,00:2;01:5;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(9,4);(16,7);(9,12);(13,12)",198,0,known_visit_core_500,10,4,8
6,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(13,16);(16,8);(6,0);(18,13);(2,8);(6,2);(15,9);(6,3);(1,6);(0,16)",10,True,38.13459903016195,38.13459903016195,00:3;01:4;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(2,8);(16,8);(7,9);(18,13)",201,0,known_visit_core_500,10,4,8
7,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(13,3);(4,14);(15,5);(10,5);(4,7);(4,3);(3,5);(9,17);(7,4);(6,14)",10,True,41.66367789467924,41.66367789467924,00:5;01:2;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(15,5);(11,4);(8,4);(15,14)",221,0,known_visit_core_500,10,4,8
8,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(6,4);(7,3);(10,13);(4,15);(1,10);(17,18);(17,9);(8,0);(15,14);(10,16)",10,True,46.612442156537846,46.612442156537846,00:2;01:2;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(17,10);(8,14);(17,18);(13,10)",243,0,known_visit_core_500,10,4,8
9,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(13,4);(6,17);(10,7);(11,10);(2,3);(18,12);(7,12);(18,3);(16,6);(6,2)",10,True,52.745321142938366,52.745321142938366,00:2;01:1;02:5;03:2,"(0,0);(0,6);(0,12);(0,18)","(8,17);(16,11);(18,3);(16,7)",274,0,known_visit_core_500,10,4,8
10,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(9,14);(12,11);(8,0);(17,10);(1,0);(13,7);(3,16);(1,8);(17,13);(8,13)",10,True,38.99711435614271,38.99711435614271,00:2;01:3;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(10,13);(17,10);(12,5);(17,13)",196,0,known_visit_core_500,10,4,8
11,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(14,18);(5,5);(5,12);(5,7);(3,3);(1,0);(10,18);(8,1);(12,12);(17,3)",10,True,47.894219635876674,47.894219635876674,00:4;01:2;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(17,3);(11,8);(12,12);(14,4)",268,0,known_visit_core_500,10,4,8
12,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(16,0);(8,4);(13,1);(17,18);(14,9);(2,8);(16,6);(3,6);(4,10);(11,10)",10,True,40.763251258819125,40.763251258819125,00:3;01:2;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(16,0);(10,4);(16,7);(17,11)",208,0,known_visit_core_500,10,4,8
13,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(18,1);(14,18);(7,7);(8,9);(8,5);(4,6);(11,16);(18,5);(15,5);(3,1)",10,True,42.408667996025066,42.408667996025066,00:1;01:6;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(11,8);(18,1);(14,4);(15,12)",228,0,known_visit_core_500,10,4,8
14,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(5,7);(13,12);(9,3);(4,4);(6,11);(10,17);(14,4);(12,17);(18,6);(13,11)",10,True,40.83036766061005,40.83036766061005,00:3;01:2;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,6);(13,7);(6,14);(6,15)",216,0,known_visit_core_500,10,4,8
15,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(17,14);(14,5);(5,12);(18,1);(14,11);(18,2);(13,2);(7,15);(3,15);(18,15)",10,True,44.204543663622616,44.204543663622616,00:3;01:1;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(18,4);(14,1);(14,6);(18,15)",237,0,known_visit_core_500,10,4,8
16,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(1,15);(4,12);(8,0);(3,18);(9,11);(4,16);(18,8);(10,0);(3,10);(6,0)",10,True,42.832660252253106,42.832660252253106,00:4;01:1;02:1;03:4,"(0,0);(0,6);(0,12);(0,18)","(18,8);(4,16);(2,12);(9,2)",245,0,known_visit_core_500,10,4,8
17,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(17,17);(18,1);(8,7);(17,7);(14,2);(15,1);(13,3);(7,3);(9,7);(6,13)",10,True,40.15947580776247,40.15947580776247,00:5;01:2;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(18,1);(9,1);(17,7);(15,13)",207,0,known_visit_core_500,10,4,8
18,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(8,8);(14,0);(4,8);(14,12);(16,15);(3,2);(12,17);(6,8);(2,0);(2,12)",10,True,57.806382562201605,57.806382562201605,00:2;01:5;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(14,17);(14,0);(3,11);(8,9)",292,0,known_visit_core_500,10,4,8
19,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(13,3);(16,7);(15,3);(2,12);(4,6);(14,4);(10,8);(6,13);(17,15);(10,14)",10,True,42.75588044284971,42.75588044284971,00:4;01:1;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(16,7);(14,13);(11,7);(17,10)",223,0,known_visit_core_500,10,4,8
20,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,"(10,15);(15,1);(5,0);(5,8);(11,14);(12,15);(15,0);(13,7);(1,15);(2,1)",10,True,41.156661342845396,41.156661342845396,00:4;01:1;02:1;03:4,"(0,0);(0,6);(0,12);(0,18)","(15,7);(10,1);(12,15);(13,7)",217,0,known_visit_core_500,10,4,8
