trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,CBAA,rayleigh_style,-32.58,19,361,4,10,cbaa_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,"(18,9);(8,12);(16,10);(4,10);(6,1);(4,8);(17,1);(3,4);(12,1);(11,9)",10,True,50.45592322897051,50.45592322897051,00:5;01:3;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(16,10);(16,9);(14,1);(8,3)",261,0,known_visit_core_500,10,4,8
1,known_visit,CBAA,rayleigh_style,-32.58,19,361,4,10,cbaa_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,"(9,9);(9,6);(3,18);(9,5);(14,0);(8,5);(8,9);(11,12);(11,1);(0,9)",10,True,35.725021084214504,35.725021084214504,00:2;01:3;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(15,3);(9,1);(11,12);(8,5)",183,0,known_visit_core_500,10,4,8
2,known_visit,CBAA,rayleigh_style,-32.58,19,361,4,10,cbaa_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,"(4,17);(10,16);(9,5);(17,17);(3,8);(18,18);(16,13);(15,11);(7,16);(6,5)",10,True,54.6392100120651,54.6392100120651,00:2;01:1;02:0;03:7,"(0,0);(0,6);(0,12);(0,18)","(3,17);(9,18);(17,18);(15,11)",280,0,known_visit_core_500,10,4,8
3,known_visit,CBAA,rayleigh_style,-32.58,19,361,4,10,cbaa_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,"(14,6);(10,1);(4,2);(3,12);(6,14);(13,16);(7,14);(4,7);(11,5);(18,16)",10,True,36.78438762658206,36.78438762658206,00:2;01:3;02:5;03:0,"(0,0);(0,6);(0,12);(0,18)","(11,8);(14,9);(18,16);(4,1)",190,0,known_visit_core_500,10,4,8
4,known_visit,CBAA,rayleigh_style,-32.58,19,361,4,10,cbaa_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,"(18,13);(16,5);(9,7);(2,8);(11,6);(18,6);(16,7);(11,8);(3,7);(2,7)",10,True,52.33808316093673,52.33808316093673,00:1;01:7;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(18,13);(18,6);(11,5);(16,8)",273,0,known_visit_core_500,10,4,8
5,known_visit,CBAA,rayleigh_style,-32.58,19,361,4,10,cbaa_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,"(10,6);(13,12);(1,6);(8,16);(7,4);(16,7);(3,7);(2,7);(1,0);(9,17)",10,True,39.494407797296546,39.494407797296546,00:1;01:6;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(15,6);(16,7);(5,4);(13,10)",205,0,known_visit_core_500,10,4,8
6,known_visit,CBAA,rayleigh_style,-32.58,19,361,4,10,cbaa_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,"(13,16);(16,8);(6,0);(18,13);(2,8);(6,2);(15,9);(6,3);(1,6);(0,16)",10,True,78.71551031172393,78.71551031172393,00:4;01:5;02:0;03:1,"(0,0);(0,6);(0,12);(0,18)","(13,14);(18,13);(12,8);(14,13)",404,0,known_visit_core_500,10,4,8
7,known_visit,CBAA,rayleigh_style,-32.58,19,361,4,10,cbaa_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,"(13,3);(4,14);(15,5);(10,5);(4,7);(4,3);(3,5);(9,17);(7,4);(6,14)",10,True,41.58717430149485,41.58717430149485,00:5;01:2;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(15,5);(11,6);(5,3);(10,6)",219,0,known_visit_core_500,10,4,8
8,known_visit,CBAA,rayleigh_style,-32.58,19,361,4,10,cbaa_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,"(6,4);(7,3);(10,13);(4,15);(1,10);(17,18);(17,9);(8,0);(15,14);(10,16)",10,True,47.17154834855464,47.17154834855464,00:2;01:1;02:4;03:3,"(0,0);(0,6);(0,12);(0,18)","(1,13);(5,16);(17,9);(18,15)",243,0,known_visit_core_500,10,4,8
9,known_visit,CBAA,rayleigh_style,-32.58,19,361,4,10,cbaa_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,"(13,4);(6,17);(10,7);(11,10);(2,3);(18,12);(7,12);(18,3);(16,6);(6,2)",10,True,56.71399645812778,56.71399645812778,00:1;01:5;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(15,9);(18,3);(18,11);(11,4)",300,0,known_visit_core_500,10,4,8
