trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_index,target_x,target_y,first_completion_time_s,first_completion_sim_time_s,first_found_by_robot,first_finder_robot_id,total_visits,duplicate_visits,completed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,1,18,9,39.03887024050914,39.03887024050914,02,02,1,0,True,known_visit_core_500,10,4,8
0,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,2,8,12,12.147172372933614,12.147172372933614,02,02,1,0,True,known_visit_core_500,10,4,8
0,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,3,16,10,33.53044329157458,33.53044329157458,02,02,1,0,True,known_visit_core_500,10,4,8
0,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,4,4,10,19.14385254789921,19.14385254789921,03,03,1,0,True,known_visit_core_500,10,4,8
0,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,5,6,1,10.689773848489194,10.689773848489194,00,00,1,0,True,known_visit_core_500,10,4,8
0,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,6,4,8,8.987734598037045,8.987734598037045,01,01,2,1,True,known_visit_core_500,10,4,8
0,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,7,17,1,29.70304990733148,29.70304990733148,00,00,1,0,True,known_visit_core_500,10,4,8
0,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,8,3,4,45.69482357733326,45.69482357733326,03,03,1,0,True,known_visit_core_500,10,4,8
0,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,9,12,1,21.207294398004844,21.207294398004844,00,00,1,0,True,known_visit_core_500,10,4,8
0,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,11,9,22.795830915666368,22.795830915666368,02,02,1,0,True,known_visit_core_500,10,4,8
1,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,1,9,9,19.371845711051275,19.371845711051275,02,02,2,1,True,known_visit_core_500,10,4,8
1,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,2,9,6,30.552436674020655,30.552436674020655,01,01,1,0,True,known_visit_core_500,10,4,8
1,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,3,3,18,3.4980991975843723,3.4980991975843723,03,03,1,0,True,known_visit_core_500,10,4,8
1,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,4,9,5,32.25201881889332,32.25201881889332,01,01,1,0,True,known_visit_core_500,10,4,8
1,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,5,14,0,33.97214177926678,33.97214177926678,00,00,1,0,True,known_visit_core_500,10,4,8
1,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,6,8,5,34.1526530192762,34.1526530192762,01,01,1,0,True,known_visit_core_500,10,4,8
1,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,7,8,9,17.697150180414553,17.697150180414553,02,02,2,1,True,known_visit_core_500,10,4,8
1,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,8,11,12,28.228011312476646,28.228011312476646,02,02,1,0,True,known_visit_core_500,10,4,8
1,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,9,11,1,26.91190886766658,26.91190886766658,00,00,1,0,True,known_visit_core_500,10,4,8
1,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,0,9,3.8251488796817665,3.8251488796817665,02,02,1,0,True,known_visit_core_500,10,4,8
2,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,1,4,17,7.249506507126333,7.249506507126333,03,03,3,2,True,known_visit_core_500,10,4,8
2,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,2,10,16,19.346720381962278,19.346720381962278,03,03,2,1,True,known_visit_core_500,10,4,8
2,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,3,9,5,16.287262556335136,16.287262556335136,01,01,1,0,True,known_visit_core_500,10,4,8
2,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,4,17,17,171.2075003562747,171.2075003562747,01,01,1,0,True,known_visit_core_500,10,4,8
2,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,5,3,8,17.366370719874112,17.366370719874112,00,00,1,0,True,known_visit_core_500,10,4,8
2,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,6,18,18,174.8827839947811,174.8827839947811,01,01,1,0,True,known_visit_core_500,10,4,8
2,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,7,16,13,34.81828198574084,34.81828198574084,03,03,1,0,True,known_visit_core_500,10,4,8
2,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,8,15,11,37.26273025288333,37.26273025288333,01,01,2,1,True,known_visit_core_500,10,4,8
2,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,9,7,16,14.306935376755899,14.306935376755899,03,03,3,2,True,known_visit_core_500,10,4,8
2,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,6,5,10.742875538471365,10.742875538471365,01,01,1,0,True,known_visit_core_500,10,4,8
3,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,1,14,6,22.326799313093144,22.326799313093144,01,01,2,1,True,known_visit_core_500,10,4,8
3,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,2,10,1,21.748990047781152,21.748990047781152,00,00,1,0,True,known_visit_core_500,10,4,8
3,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,3,4,2,8.932071025180859,8.932071025180859,00,00,1,0,True,known_visit_core_500,10,4,8
3,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,4,3,12,3.6818094436240574,3.6818094436240574,02,02,1,0,True,known_visit_core_500,10,4,8
3,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,5,6,14,12.510476602202095,12.510476602202095,02,02,1,0,True,known_visit_core_500,10,4,8
3,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,6,13,16,25.615683842366842,25.615683842366842,03,03,1,0,True,known_visit_core_500,10,4,8
3,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,7,7,14,14.500457468912115,14.500457468912115,02,02,1,0,True,known_visit_core_500,10,4,8
3,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,8,4,7,45.37245303717764,45.37245303717764,01,01,1,0,True,known_visit_core_500,10,4,8
3,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,9,11,5,29.68125541839563,29.68125541839563,01,01,1,0,True,known_visit_core_500,10,4,8
3,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,18,16,34.56465216677342,34.56465216677342,03,03,1,0,True,known_visit_core_500,10,4,8
4,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,1,18,13,31.07488495046888,31.07488495046888,02,02,1,0,True,known_visit_core_500,10,4,8
4,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,2,16,5,31.93121255057779,31.93121255057779,01,01,2,1,True,known_visit_core_500,10,4,8
4,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,3,9,7,16.09857984254105,16.09857984254105,01,01,2,1,True,known_visit_core_500,10,4,8
4,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,4,2,8,19.23602585368212,19.23602585368212,03,03,1,0,True,known_visit_core_500,10,4,8
4,known_visit,DGA,bernoulli,0.5,19,361,4,10,dga_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,5,11,6,39.06459571686804,39.06459571686804,03,03,2,1,True,known_visit_core_500,10,4,8
