trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,34.71239904765452,34.71239904765452,0,0,0,71,21,72,3,5,0,0,188,0,298,891,0,74,224,149,149,0.0,29.8,14.9,collision_intent:74;dga_entry:149;state:75,0.1499999999999999,0.09722222222222232,known_visit_core_500,10,4,8
1,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,41.90561121239465,41.90561121239465,0,0,0,68,25,72,0,2,1,1,248,0,259,774,0,72,187,144,115,0.0,25.9,11.5,collision_intent:72;dga_entry:115;state:72,0.25,0.14583333333333326,known_visit_core_500,10,4,8
2,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,33.78518755584178,33.78518755584178,0,0,0,80,20,83,1,3,0,0,177,0,251,750,0,80,171,164,87,0.0,25.1,8.7,collision_intent:80;dga_entry:87;state:84,0.10000000000000009,0.009036144578313143,known_visit_core_500,10,4,8
3,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,37.58109384487668,37.58109384487668,0,0,0,50,22,54,0,2,0,0,243,0,256,765,0,52,204,106,150,0.0,25.6,15.0,collision_intent:52;dga_entry:150;state:54,0.44999999999999996,0.37037037037037046,known_visit_core_500,10,4,8
4,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,38.29641536301543,38.29641536301543,1,1,1,81,23,79,6,4,0,0,204,0,365,1092,0,84,281,169,196,0.0,36.5,19.6,collision_intent:84;dga_entry:196;state:85,0.44999999999999996,0.09810126582278489,known_visit_core_500,10,4,8
5,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,30.50411726159146,30.50411726159146,0,0,0,61,17,63,2,3,0,0,169,0,186,555,0,65,121,130,56,0.0,18.6,5.6,collision_intent:65;dga_entry:56;state:65,0.25,0.059523809523809534,known_visit_core_500,10,4,8
6,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,43.22719271559944,43.22719271559944,0,0,0,85,25,88,1,2,5,3,226,0,310,927,0,93,217,182,128,0.0,31.0,12.8,collision_intent:93;dga_entry:128;state:89,0.25,0.09090909090909083,known_visit_core_500,10,4,8
7,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,33.39197043703703,33.39197043703703,0,0,0,52,20,56,0,1,0,0,203,0,203,606,0,55,148,111,92,0.0,20.3,9.2,collision_intent:55;dga_entry:92;state:56,0.30000000000000004,0.2678571428571428,known_visit_core_500,10,4,8
8,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,37.62682341824544,37.62682341824544,0,0,0,76,23,80,0,3,0,0,204,0,255,762,0,78,177,158,97,0.0,25.5,9.7,collision_intent:78;dga_entry:97;state:80,0.10000000000000009,0.10000000000000009,known_visit_core_500,10,4,8
9,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,46.34294674687285,46.34294674687285,0,0,0,100,27,97,7,3,0,0,244,0,362,1080,0,103,259,207,155,0.0,36.2,15.5,collision_intent:103;dga_entry:155;state:104,0.25,0.06443298969072164,known_visit_core_500,10,4,8
10,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,35.58595467629202,35.58595467629202,1,1,1,65,21,66,3,2,0,0,205,0,273,815,0,67,206,136,137,0.0,27.3,13.7,collision_intent:67;dga_entry:137;state:69,0.1499999999999999,0.21212121212121215,known_visit_core_500,10,4,8
11,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,32.943407917767956,32.943407917767956,0,0,0,58,20,62,0,0,0,0,191,0,166,495,0,61,105,123,43,0.0,16.6,4.3,collision_intent:61;dga_entry:43;state:62,0.10000000000000009,0.10483870967741926,known_visit_core_500,10,4,8
12,known_visit,DGA,ideal,1.0,19,361,4,10,dga_ideal_1_0,known_visit_g19_t10_n500.csv,10,True,36.90447041337602,36.90447041337602,0,0,0,71,22,75,0,4,0,0,206,0,265,792,0,74,191,149,116,0.0,26.5,11.6,collision_intent:74;dga_entry:116;state:75,0.25,0.08333333333333326,known_visit_core_500,10,4,8
