trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,DMCHBA,bernoulli,0.5,19,361,4,10,dmchba_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,True,43.130935408052935,43.130935408052935,1,1,1,96,25,94,6,4,3,3,229,0,201,441,159,101,100,201,0,0.5353535353535354,20.1,0.0,collision_intent:101;state:100,0.30000000000000004,0.0585106382978724,known_visit_core_500,10,4,8
1,known_visit,DMCHBA,bernoulli,0.5,19,361,4,10,dmchba_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,True,27.72024226304932,27.72024226304932,0,0,0,63,17,67,0,0,0,0,143,0,133,298,100,66,67,133,0,0.5,13.3,0.0,collision_intent:66;state:67,0.10000000000000009,0.026119402985074647,known_visit_core_500,10,4,8
2,known_visit,DMCHBA,bernoulli,0.5,19,361,4,10,dmchba_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,True,39.47977468425852,39.47977468425852,2,2,2,85,23,84,5,3,1,1,214,0,178,403,128,89,89,178,0,0.48484848484848486,17.8,0.0,collision_intent:89;state:89,0.3999999999999999,0.07738095238095233,known_visit_core_500,10,4,8
3,known_visit,DMCHBA,bernoulli,0.5,19,361,4,10,dmchba_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,True,37.684677018100764,37.684677018100764,2,2,2,82,22,80,6,3,1,1,205,0,171,388,123,85,86,171,0,0.48046875,17.1,0.0,collision_intent:85;state:86,0.44999999999999996,0.07499999999999996,known_visit_core_500,10,4,8
4,known_visit,DMCHBA,bernoulli,0.5,19,361,4,10,dmchba_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,True,42.12550472723517,42.12550472723517,3,3,3,95,24,87,12,3,3,3,218,0,198,454,139,99,99,198,0,0.46959459459459457,19.8,0.0,collision_intent:99;state:99,0.44999999999999996,0.09482758620689657,known_visit_core_500,10,4,8
5,known_visit,DMCHBA,bernoulli,0.5,19,361,4,10,dmchba_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,True,35.272468782679795,35.272468782679795,3,3,3,74,21,69,9,4,3,2,194,0,156,351,115,78,78,156,0,0.4956896551724138,15.6,0.0,collision_intent:78;state:78,0.3999999999999999,0.13405797101449268,known_visit_core_500,10,4,8
6,known_visit,DMCHBA,bernoulli,0.5,19,361,4,10,dmchba_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,True,42.17685972917246,42.17685972917246,3,3,3,89,25,87,6,3,1,1,225,0,186,416,140,93,93,186,0,0.5054151624548736,18.6,0.0,collision_intent:93;state:93,0.10000000000000009,0.06034482758620685,known_visit_core_500,10,4,8
7,known_visit,DMCHBA,bernoulli,0.5,19,361,4,10,dmchba_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,True,30.29112529462065,30.29112529462065,0,0,0,69,18,73,0,1,1,1,158,0,144,314,117,71,73,144,0,0.536697247706422,14.4,0.0,collision_intent:71;state:73,0.25,0.023972602739726012,known_visit_core_500,10,4,8
8,known_visit,DMCHBA,bernoulli,0.5,19,361,4,10,dmchba_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,True,38.583306080192564,38.583306080192564,0,0,0,81,23,85,0,0,0,0,205,0,168,385,117,83,85,168,0,0.4624505928853755,16.8,0.0,collision_intent:83;state:85,0.10000000000000009,0.07352941176470584,known_visit_core_500,10,4,8
9,known_visit,DMCHBA,bernoulli,0.5,19,361,4,10,dmchba_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,10,True,47.55989822135306,47.55989822135306,3,3,3,104,27,98,10,4,3,2,246,0,216,484,162,108,108,216,0,0.5031055900621118,21.6,0.0,collision_intent:108;state:108,0.25,0.0714285714285714,known_visit_core_500,10,4,8
