trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,DMCHBA,ideal,1.0,19,361,4,10,dmchba_ideal_1_0,scenarios/known_visit_g19_t10_n500.csv,10,True,42.11752489687233,42.11752489687233,0,0,0,92,25,96,0,0,1,1,0,0.0,0,226,0,190,567,0,94,96,190,0,0.0,19.0,0.0,collision_intent:94;state:96,0.30000000000000004,0.05729166666666674,known_visit_core_500,10,4,8
1,known_visit,DMCHBA,ideal,1.0,19,361,4,10,dmchba_ideal_1_0,scenarios/known_visit_g19_t10_n500.csv,10,True,27.492380060291037,27.492380060291037,0,0,0,62,17,66,0,2,4,2,2,10.0,1,147,0,134,399,0,68,66,134,0,0.0,13.4,0.0,collision_intent:68;state:66,0.10000000000000009,0.037878787878787845,known_visit_core_500,10,4,8
2,known_visit,DMCHBA,ideal,1.0,19,361,4,10,dmchba_ideal_1_0,scenarios/known_visit_g19_t10_n500.csv,10,True,43.15609954378947,43.15609954378947,0,0,0,94,26,96,2,0,2,1,1,5.0,1,225,0,196,585,0,98,98,196,0,0.0,19.6,0.0,collision_intent:98;state:98,0.10000000000000009,0.04166666666666674,known_visit_core_500,10,4,8
3,known_visit,DMCHBA,ideal,1.0,19,361,4,10,dmchba_ideal_1_0,scenarios/known_visit_g19_t10_n500.csv,10,True,32.73309728328735,32.73309728328735,0,0,0,62,20,66,0,0,0,0,0,0.0,0,187,0,132,393,0,66,66,132,0,0.0,13.2,0.0,collision_intent:66;state:66,0.10000000000000009,0.1212121212121211,known_visit_core_500,10,4,8
4,known_visit,DMCHBA,ideal,1.0,19,361,4,10,dmchba_ideal_1_0,scenarios/known_visit_g19_t10_n500.csv,10,True,38.59409178550796,38.59409178550796,0,0,0,86,23,90,0,1,0,0,0,0.0,0,203,0,179,534,0,89,90,179,0,0.0,17.9,0.0,collision_intent:89;state:90,0.3999999999999999,0.04444444444444451,known_visit_core_500,10,4,8
5,known_visit,DMCHBA,ideal,1.0,19,361,4,10,dmchba_ideal_1_0,scenarios/known_visit_g19_t10_n500.csv,10,True,32.24833143627234,32.24833143627234,0,0,0,56,19,60,0,0,0,0,0,0.0,0,192,0,120,357,0,60,60,120,0,0.0,12.0,0.0,collision_intent:60;state:60,0.30000000000000004,0.09166666666666656,known_visit_core_500,10,4,8
6,known_visit,DMCHBA,ideal,1.0,19,361,4,10,dmchba_ideal_1_0,scenarios/known_visit_g19_t10_n500.csv,10,True,38.67841085073146,38.67841085073146,0,0,0,76,23,79,1,0,0,0,0,0.0,0,211,0,159,474,0,79,80,159,0,0.0,15.9,0.0,collision_intent:79;state:80,0.1499999999999999,0.06645569620253156,known_visit_core_500,10,4,8
7,known_visit,DMCHBA,ideal,1.0,19,361,4,10,dmchba_ideal_1_0,scenarios/known_visit_g19_t10_n500.csv,10,True,45.1407601153613,45.1407601153613,0,0,0,87,27,90,1,0,1,1,0,0.0,0,258,0,181,540,0,90,91,181,0,0.0,18.1,0.0,collision_intent:90;state:91,0.25,0.1166666666666667,known_visit_core_500,10,4,8
8,known_visit,DMCHBA,ideal,1.0,19,361,4,10,dmchba_ideal_1_0,scenarios/known_visit_g19_t10_n500.csv,10,True,40.6367255406325,40.6367255406325,0,0,0,80,24,84,0,0,0,0,0,0.0,0,221,0,167,498,0,83,84,167,0,0.0,16.7,0.0,collision_intent:83;state:84,0.10000000000000009,0.11309523809523814,known_visit_core_500,10,4,8
9,known_visit,DMCHBA,ideal,1.0,19,361,4,10,dmchba_ideal_1_0,scenarios/known_visit_g19_t10_n500.csv,10,True,38.86076313325944,38.86076313325944,1,1,1,87,23,86,5,0,0,0,0,0.0,0,202,0,181,540,0,90,91,181,0,0.0,18.1,0.0,collision_intent:90;state:91,0.1499999999999999,0.06976744186046502,known_visit_core_500,10,4,8
10,known_visit,DMCHBA,ideal,1.0,19,361,4,10,dmchba_ideal_1_0,scenarios/known_visit_g19_t10_n500.csv,10,True,39.06111721045843,39.06111721045843,0,0,0,78,23,82,0,0,0,0,0,0.0,0,214,0,164,489,0,82,82,164,0,0.0,16.4,0.0,collision_intent:82;state:82,0.10000000000000009,0.10365853658536595,known_visit_core_500,10,4,8
