trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,26,2,2,21,6,0,0,0,0,0.0,0,0,53,53,0,86,54,known_visit_core_500,10,4,8
0,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,26,3,0,27,0,1,2,1,1,5.0,1,0,55,55,0,95,43,known_visit_core_500,10,4,8
0,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,26,4,0,27,0,1,2,1,1,5.0,1,0,55,55,0,97,41,known_visit_core_500,10,4,8
0,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,14,1,0,14,1,0,0,0,0,0.0,0,0,30,30,0,104,59,known_visit_core_500,10,4,8
1,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,22,0,2,19,4,0,0,0,0,0.0,0,0,45,45,0,94,41,known_visit_core_500,10,4,8
1,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,20,4,0,21,0,0,0,0,0,0.0,0,0,42,42,0,100,39,known_visit_core_500,10,4,8
1,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,23,5,0,24,0,0,0,0,0,0.0,0,0,47,47,0,92,42,known_visit_core_500,10,4,8
1,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,23,1,1,14,10,0,0,0,0,0.0,0,0,47,47,0,72,62,known_visit_core_500,10,4,8
2,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,24,2,1,23,2,0,0,0,0,0.0,0,0,49,49,0,74,64,known_visit_core_500,10,4,8
2,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,19,1,2,16,4,1,0,0,0,0.0,0,0,40,40,0,85,62,known_visit_core_500,10,4,8
2,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,24,2,1,23,2,0,0,0,0,0.0,0,0,49,49,0,89,49,known_visit_core_500,10,4,8
2,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,24,5,0,25,0,0,0,0,0,0.0,0,0,49,49,0,87,51,known_visit_core_500,10,4,8
3,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,36,3,4,30,7,0,0,0,0,0.0,0,0,73,73,0,130,87,known_visit_core_500,10,4,8
3,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,35,4,1,34,2,0,0,0,0,0.0,0,0,71,71,0,137,81,known_visit_core_500,10,4,8
3,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,36,3,2,31,6,0,0,0,0,0.0,0,0,73,73,0,150,67,known_visit_core_500,10,4,8
3,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,35,0,3,22,14,0,2,2,0,0.0,0,0,73,73,0,148,69,known_visit_core_500,10,4,8
4,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,29,2,0,30,0,0,0,0,0,0.0,0,0,59,59,0,123,49,known_visit_core_500,10,4,8
4,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,29,6,0,30,0,0,0,0,0,0.0,0,0,59,59,0,130,43,known_visit_core_500,10,4,8
4,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,27,2,2,21,7,0,0,0,0,0.0,0,0,56,56,0,148,28,known_visit_core_500,10,4,8
4,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,28,0,5,14,15,1,0,0,0,0.0,0,0,58,58,0,108,66,known_visit_core_500,10,4,8
5,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,22,2,0,19,4,0,0,0,0,0.0,0,0,45,45,0,96,44,known_visit_core_500,10,4,8
5,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,22,5,0,23,0,0,1,1,0,0.0,0,0,46,46,0,101,38,known_visit_core_500,10,4,8
5,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,23,1,2,18,6,0,0,0,0,0.0,0,0,47,47,0,100,37,known_visit_core_500,10,4,8
5,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,23,2,0,23,1,0,0,0,0,0.0,0,0,47,47,0,80,58,known_visit_core_500,10,4,8
6,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,44,3,3,22,23,0,0,0,0,0.0,0,0,89,89,0,145,116,known_visit_core_500,10,4,8
6,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,43,4,1,35,9,0,1,1,0,0.0,0,0,88,88,0,157,105,known_visit_core_500,10,4,8
6,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,42,2,2,36,7,0,3,3,0,0.0,0,0,88,88,0,180,82,known_visit_core_500,10,4,8
6,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,41,1,4,28,14,0,6,6,0,0.0,0,0,86,86,0,177,88,known_visit_core_500,10,4,8
7,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,28,4,1,25,4,0,2,1,1,5.0,1,0,59,59,0,108,66,known_visit_core_500,10,4,8
7,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,28,3,2,24,5,0,0,0,0,0.0,0,0,57,57,0,107,69,known_visit_core_500,10,4,8
7,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,28,2,1,26,3,0,1,1,0,0.0,0,0,58,58,0,110,65,known_visit_core_500,10,4,8
7,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,29,1,1,26,4,0,0,0,0,0.0,0,0,59,59,0,104,70,known_visit_core_500,10,4,8
8,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,32,3,0,27,6,0,0,0,0,0.0,0,0,65,65,0,117,81,known_visit_core_500,10,4,8
