trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(18,9);(8,12);(16,10);(4,10);(6,1);(4,8);(17,1);(3,4);(12,1);(11,9)",10,True,53.70662965987304,53.70662965987304,00:3;01:1;02:6;03:0,"(0,0);(0,6);(0,12);(0,18)","(17,1);(11,11);(18,9);(3,16)",334,0,known_visit_core_500,10,4,8
1,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(9,9);(9,6);(3,18);(9,5);(14,0);(8,5);(8,9);(11,12);(11,1);(0,9)",10,True,48.46562812659706,48.46562812659706,00:0;01:1;02:8;03:1,"(0,0);(0,6);(0,12);(0,18)","(9,6);(11,12);(14,0);(3,9)",292,0,known_visit_core_500,10,4,8
2,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(4,17);(10,16);(9,5);(17,17);(3,8);(18,18);(16,13);(15,11);(7,16);(6,5)",10,True,54.35589387810627,54.35589387810627,00:0;01:3;02:0;03:7,"(0,0);(0,6);(0,12);(0,18)","(0,0);(9,5);(3,8);(15,11)",366,0,known_visit_core_500,10,4,8
3,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(14,6);(10,1);(4,2);(3,12);(6,14);(13,16);(7,14);(4,7);(11,5);(18,16)",10,True,48.90262871557678,48.90262871557678,00:0;01:5;02:5;03:0,"(0,0);(0,6);(0,12);(0,18)","(0,0);(14,6);(18,16);(3,8)",314,0,known_visit_core_500,10,4,8
4,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(18,13);(16,5);(9,7);(2,8);(11,6);(18,6);(16,7);(11,8);(3,7);(2,7)",10,True,68.8066821751775,68.8066821751775,00:0;01:10;02:0;03:0,"(0,0);(0,6);(0,12);(0,18)","(11,9);(18,13);(17,6);(2,18)",441,0,known_visit_core_500,10,4,8
5,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(10,6);(13,12);(1,6);(8,16);(7,4);(16,7);(3,7);(2,7);(1,0);(9,17)",10,True,73.14799212255681,73.14799212255681,00:1;01:9;02:0;03:0,"(0,0);(0,6);(0,12);(0,18)","(1,0);(9,17);(0,12);(1,18)",532,0,known_visit_core_500,10,4,8
6,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(13,16);(16,8);(6,0);(18,13);(2,8);(6,2);(15,9);(6,3);(1,6);(0,16)",10,True,54.75959096715119,54.75959096715119,00:3;01:2;02:0;03:5,"(0,0);(0,6);(0,12);(0,18)","(6,3);(2,8);(0,12);(16,8)",381,0,known_visit_core_500,10,4,8
7,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(13,3);(4,14);(15,5);(10,5);(4,7);(4,3);(3,5);(9,17);(7,4);(6,14)",10,True,40.69230316448938,40.69230316448938,00:5;01:2;02:3;03:0,"(0,0);(0,6);(0,12);(0,18)","(15,5);(7,4);(9,17);(4,18)",261,0,known_visit_core_500,10,4,8
8,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(6,4);(7,3);(10,13);(4,15);(1,10);(17,18);(17,9);(8,0);(15,14);(10,16)",10,True,73.38136305861644,73.38136305861644,00:3;01:0;02:1;03:6,"(0,0);(0,6);(0,12);(0,18)","(6,4);(1,7);(4,15);(17,9)",501,0,known_visit_core_500,10,4,8
9,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(13,4);(6,17);(10,7);(11,10);(2,3);(18,12);(7,12);(18,3);(16,6);(6,2)",10,True,197.65022475030037,197.65022475030037,00:5;01:0;02:0;03:5,"(0,0);(0,6);(0,12);(0,18)","(18,3);(9,2);(10,4);(16,6)",1259,3,known_visit_core_500,10,4,8
10,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(9,14);(12,11);(8,0);(17,10);(1,0);(13,7);(3,16);(1,8);(17,13);(8,13)",10,True,54.36610316490058,54.36610316490058,00:2;01:1;02:6;03:1,"(0,0);(0,6);(0,12);(0,18)","(8,0);(1,8);(17,13);(3,16)",375,0,known_visit_core_500,10,4,8
11,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(14,18);(5,5);(5,12);(5,7);(3,3);(1,0);(10,18);(8,1);(12,12);(17,3)",10,True,152.04787189944582,152.04787189944582,00:1;01:5;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(9,1);(17,3);(10,7);(14,13)",988,3,known_visit_core_500,10,4,8
12,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(16,0);(8,4);(13,1);(17,18);(14,9);(2,8);(16,6);(3,6);(4,10);(11,10)",10,True,68.47479260741824,68.47479260741824,00:0;01:3;02:6;03:1,"(0,0);(0,6);(0,12);(0,18)","(2,8);(14,9);(8,4);(17,18)",434,0,known_visit_core_500,10,4,8
13,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(18,1);(14,18);(7,7);(8,9);(8,5);(4,6);(11,16);(18,5);(15,5);(3,1)",10,True,92.87624998258875,92.87624998258875,00:4;01:6;02:0;03:0,"(0,0);(0,6);(0,12);(0,18)","(18,1);(14,18);(3,1);(0,18)",639,0,known_visit_core_500,10,4,8
14,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(5,7);(13,12);(9,3);(4,4);(6,11);(10,17);(14,4);(12,17);(18,6);(13,11)",10,True,167.59961063601014,167.59961063601014,00:1;01:2;02:2;03:5,"(0,0);(0,6);(0,12);(0,18)","(6,11);(14,4);(12,5);(15,4)",1062,2,known_visit_core_500,10,4,8
15,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(17,14);(14,5);(5,12);(18,1);(14,11);(18,2);(13,2);(7,15);(3,15);(18,15)",10,True,95.70157159912056,95.70157159912056,00:5;01:0;02:1;03:4,"(0,0);(0,6);(0,12);(0,18)","(18,15);(0,6);(3,15);(18,2)",651,0,known_visit_core_500,10,4,8
16,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(1,15);(4,12);(8,0);(3,18);(9,11);(4,16);(18,8);(10,0);(3,10);(6,0)",10,True,47.04293134929164,47.04293134929164,00:3;01:4;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(10,0);(18,8);(1,15);(4,16)",317,0,known_visit_core_500,10,4,8
17,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(17,17);(18,1);(8,7);(17,7);(14,2);(15,1);(13,3);(7,3);(9,7);(6,13)",10,True,69.02618379015969,69.02618379015969,00:7;01:2;02:1;03:0,"(0,0);(0,6);(0,12);(0,18)","(17,17);(18,2);(8,12);(7,18)",446,0,known_visit_core_500,10,4,8
18,known_visit,HIPC,bernoulli,0.5,19,361,4,10,hipc_bernoulli_drop_0_5,known_visit_g19_t10_n500.csv,"(8,8);(14,0);(4,8);(14,12);(16,15);(3,2);(12,17);(6,8);(2,0);(2,12)",10,True,53.00006252068681,53.00006252068681,00:3;01:6;02:1;03:0,"(0,0);(0,6);(0,12);(0,18)","(14,0);(12,17);(8,8);(1,18)",346,0,known_visit_core_500,10,4,8
