trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,50.89865453940762,50.89865453940762,2,2,2,68,30,67,5,0,0,0,323,0,183,361,188,69,114,141,42,0.5497076023391813,18.3,4.2,collision_intent:69;hipc_entry:42;state:72,0.5,0.43656716417910446,known_visit_core_500,10,4,8
1,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,48.19537944563138,48.19537944563138,2,2,2,57,28,56,5,0,0,0,315,0,185,335,219,63,122,124,61,0.6,18.5,6.1,collision_intent:63;hipc_entry:61;state:61,0.6000000000000001,0.3839285714285714,known_visit_core_500,10,4,8
2,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,48.61994599106226,48.61994599106226,3,3,3,82,25,79,7,0,0,0,286,0,233,435,262,86,147,172,61,0.5968109339407744,23.3,6.1,collision_intent:86;hipc_entry:61;state:86,0.44999999999999996,0.129746835443038,known_visit_core_500,10,4,8
3,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,48.40488392328033,48.40488392328033,0,0,0,51,28,55,0,0,0,0,325,0,163,299,190,53,110,108,55,0.5757575757575758,16.3,5.5,collision_intent:53;hipc_entry:55;state:55,0.5,0.4772727272727273,known_visit_core_500,10,4,8
4,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,56.566284618428774,56.566284618428774,5,5,5,75,32,62,17,0,0,0,361,0,222,401,264,76,146,155,67,0.6041189931350115,22.2,6.7,collision_intent:76;hipc_entry:67;state:79,0.7,0.435483870967742,known_visit_core_500,10,4,8
5,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,53.56993041691091,53.56993041691091,3,3,3,59,31,54,9,1,0,0,357,0,193,347,231,64,129,127,66,0.5984455958549223,19.3,6.6,collision_intent:64;hipc_entry:66;state:63,0.55,0.4444444444444444,known_visit_core_500,10,4,8
6,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,54.88704808893695,54.88704808893695,1,1,1,49,32,52,1,0,0,0,377,0,133,259,137,52,81,105,28,0.5708333333333333,13.3,2.8,collision_intent:52;hipc_entry:28;state:53,0.3999999999999999,0.4423076923076923,known_visit_core_500,10,4,8
7,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,52.42557705205103,52.42557705205103,2,2,2,60,30,55,9,0,0,0,348,0,166,327,170,63,103,127,39,0.551948051948052,16.6,3.9,collision_intent:63;hipc_entry:39;state:64,0.6000000000000001,0.4409090909090909,known_visit_core_500,10,4,8
8,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,73.42401702543098,73.42401702543098,2,2,2,77,42,77,4,1,0,0,494,0,217,408,242,80,137,161,56,0.5902439024390244,21.7,5.6,collision_intent:80;hipc_entry:56;state:81,0.5,0.3798701298701299,known_visit_core_500,10,4,8
9,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,90.48512040292009,90.48512040292009,1,1,1,81,52,81,4,1,2,1,622,0,272,495,320,85,187,170,102,0.5714285714285714,27.2,10.2,collision_intent:85;hipc_entry:102;state:85,0.6499999999999999,0.4722222222222223,known_visit_core_500,10,4,8
10,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,173.80090946579637,173.80090946579637,5,5,5,125,32,104,25,2,0,0,1232,4,346,668,368,129,217,258,88,0.5670261941448382,34.6,8.8,collision_intent:129;hipc_entry:88;state:129,0.44999999999999996,0.14423076923076916,known_visit_core_500,10,4,8
11,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,75.32660088874151,75.32660088874151,4,4,4,109,40,101,12,1,0,0,463,0,284,548,303,112,172,225,59,0.5883495145631068,28.4,5.9,collision_intent:112;hipc_entry:59;state:113,0.3500000000000001,0.1955445544554455,known_visit_core_500,10,4,8
12,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,44.24442729349853,44.24442729349853,1,1,1,75,26,78,1,1,0,0,262,0,217,409,241,78,139,157,60,0.5793269230769231,21.7,6.0,collision_intent:78;hipc_entry:60;state:79,0.5,0.23076923076923084,known_visit_core_500,10,4,8
13,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,64.69661894926897,64.69661894926897,1,1,1,73,37,73,4,0,0,0,425,0,200,376,223,76,124,153,47,0.601078167115903,20.0,4.7,collision_intent:76;hipc_entry:47;state:77,0.55,0.40068493150684925,known_visit_core_500,10,4,8
14,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,161.53420439169233,161.53420439169233,2,2,2,88,24,85,7,6,136,2,1029,3,341,564,459,93,248,185,156,0.6169354838709677,34.1,15.6,collision_intent:93;hipc_entry:156;state:92,0.1499999999999999,0.09117647058823519,known_visit_core_500,10,4,8
15,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,84.58459338399918,84.58459338399918,7,7,7,113,45,92,25,1,0,0,533,0,328,616,366,117,211,234,94,0.5800316957210776,32.8,9.4,collision_intent:117;hipc_entry:94;state:117,0.3500000000000001,0.25543478260869557,known_visit_core_500,10,4,8
16,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,54.743416577243515,54.743416577243515,3,3,3,78,32,67,15,0,7,7,344,0,204,395,217,84,120,166,38,0.6027777777777777,20.4,3.8,collision_intent:84;hipc_entry:38;state:82,0.5,0.2873134328358209,known_visit_core_500,10,4,8
17,known_visit,HIPC,gilbert_elliot,0.4,19,361,4,10,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,119.54690187460777,119.54690187460777,8,8,8,113,42,102,15,1,0,0,811,0,314,596,345,118,196,235,79,0.5877342419080068,31.4,7.9,collision_intent:118;hipc_entry:79;state:117,0.55,0.27450980392156854,known_visit_core_500,10,4,8
