trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,HIPC,gilbert_elliot,0.5,19,361,4,10,hipc_gilbert_elliot_pGG_0_5_pBB_0_5,known_visit_g19_t10_n500.csv,00,27,4,0,28,0,0,0,0,0,66,57,9,79,45,known_visit_core_500,10,4,8
0,known_visit,HIPC,gilbert_elliot,0.5,19,361,4,10,hipc_gilbert_elliot_pGG_0_5_pBB_0_5,known_visit_g19_t10_n500.csv,01,30,6,0,31,0,0,0,0,0,91,61,30,69,30,known_visit_core_500,10,4,8
0,known_visit,HIPC,gilbert_elliot,0.5,19,361,4,10,hipc_gilbert_elliot_pGG_0_5_pBB_0_5,known_visit_g19_t10_n500.csv,02,13,0,2,9,5,0,0,0,0,32,27,5,106,51,known_visit_core_500,10,4,8
0,known_visit,HIPC,gilbert_elliot,0.5,19,361,4,10,hipc_gilbert_elliot_pGG_0_5_pBB_0_5,known_visit_g19_t10_n500.csv,03,0,0,0,1,0,0,0,0,0,1,1,0,131,57,known_visit_core_500,10,4,8
1,known_visit,HIPC,gilbert_elliot,0.5,19,361,4,10,hipc_gilbert_elliot_pGG_0_5_pBB_0_5,known_visit_g19_t10_n500.csv,00,23,1,2,18,6,3,3,2,1,102,51,51,314,191,known_visit_core_500,10,4,8
1,known_visit,HIPC,gilbert_elliot,0.5,19,361,4,10,hipc_gilbert_elliot_pGG_0_5_pBB_0_5,known_visit_g19_t10_n500.csv,01,16,1,3,14,3,1,119,1,0,350,36,314,171,85,known_visit_core_500,10,4,8
1,known_visit,HIPC,gilbert_elliot,0.5,19,361,4,10,hipc_gilbert_elliot_pGG_0_5_pBB_0_5,known_visit_g19_t10_n500.csv,02,28,7,0,29,0,1,0,0,0,85,59,26,305,216,known_visit_core_500,10,4,8
1,known_visit,HIPC,gilbert_elliot,0.5,19,361,4,10,hipc_gilbert_elliot_pGG_0_5_pBB_0_5,known_visit_g19_t10_n500.csv,03,24,1,3,18,7,2,0,0,1,70,50,20,297,239,known_visit_core_500,10,4,8
2,known_visit,HIPC,gilbert_elliot,0.5,19,361,4,10,hipc_gilbert_elliot_pGG_0_5_pBB_0_5,known_visit_g19_t10_n500.csv,00,11,1,0,11,1,0,0,0,0,38,24,14,81,37,known_visit_core_500,10,4,8
2,known_visit,HIPC,gilbert_elliot,0.5,19,361,4,10,hipc_gilbert_elliot_pGG_0_5_pBB_0_5,known_visit_g19_t10_n500.csv,01,10,2,0,11,0,0,0,0,0,27,23,4,84,46,known_visit_core_500,10,4,8
