trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(18,9);(8,12);(16,10);(4,10);(6,1);(4,8);(17,1);(3,4);(12,1);(11,9)",10,True,53.943388738879385,53.943388738879385,00:3;01:1;02:6;03:0,"(0,0);(0,6);(0,12);(0,18)","(17,9);(3,4);(18,9);(5,18)",347,0,known_visit_core_500,10,4,8
1,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(9,9);(9,6);(3,18);(9,5);(14,0);(8,5);(8,9);(11,12);(11,1);(0,9)",10,True,47.89019175198439,47.89019175198439,00:0;01:8;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(0,3);(14,0);(11,12);(3,18)",329,0,known_visit_core_500,10,4,8
2,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(4,17);(10,16);(9,5);(17,17);(3,8);(18,18);(16,13);(15,11);(7,16);(6,5)",10,True,55.11578156904863,55.11578156904863,00:2;01:1;02:0;03:7,"(0,0);(0,6);(0,12);(0,18)","(9,5);(3,8);(10,16);(15,11)",356,0,known_visit_core_500,10,4,8
3,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(14,6);(10,1);(4,2);(3,12);(6,14);(13,16);(7,14);(4,7);(11,5);(18,16)",10,True,37.65851438581044,37.65851438581044,00:4;01:1;02:5;03:0,"(0,0);(0,6);(0,12);(0,18)","(14,6);(4,7);(18,16);(7,17)",235,0,known_visit_core_500,10,4,8
4,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(18,13);(16,5);(9,7);(2,8);(11,6);(18,6);(16,7);(11,8);(3,7);(2,7)",10,True,68.66921115651479,68.66921115651479,00:0;01:10;02:0;03:0,"(0,0);(0,6);(0,12);(0,18)","(16,5);(18,13);(4,12);(0,18)",466,0,known_visit_core_500,10,4,8
5,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(10,6);(13,12);(1,6);(8,16);(7,4);(16,7);(3,7);(2,7);(1,0);(9,17)",10,True,53.20524633148997,53.20524633148997,00:1;01:7;02:0;03:2,"(0,0);(0,6);(0,12);(0,18)","(1,0);(13,12);(0,12);(9,17)",374,0,known_visit_core_500,10,4,8
6,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(13,16);(16,8);(6,0);(18,13);(2,8);(6,2);(15,9);(6,3);(1,6);(0,16)",10,True,58.822981405432216,58.822981405432216,00:3;01:2;02:0;03:5,"(0,0);(0,6);(0,12);(0,18)","(6,3);(2,8);(1,6);(16,8)",405,0,known_visit_core_500,10,4,8
7,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(13,3);(4,14);(15,5);(10,5);(4,7);(4,3);(3,5);(9,17);(7,4);(6,14)",10,True,41.53675065784087,41.53675065784087,00:5;01:2;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(15,5);(4,7);(6,14);(9,17)",275,0,known_visit_core_500,10,4,8
8,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(6,4);(7,3);(10,13);(4,15);(1,10);(17,18);(17,9);(8,0);(15,14);(10,16)",10,True,64.76220311651407,64.76220311651407,00:3;01:1;02:1;03:5,"(0,0);(0,6);(0,12);(0,18)","(6,4);(1,10);(4,15);(17,9)",436,0,known_visit_core_500,10,4,8
9,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(13,4);(6,17);(10,7);(11,10);(2,3);(18,12);(7,12);(18,3);(16,6);(6,2)",10,True,76.32061096665163,76.32061096665163,00:2;01:6;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(6,2);(18,12);(6,17);(13,5)",494,0,known_visit_core_500,10,4,8
10,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(9,14);(12,11);(8,0);(17,10);(1,0);(13,7);(3,16);(1,8);(17,13);(8,13)",10,True,61.61129871000151,61.61129871000151,00:2;01:1;02:0;03:7,"(0,0);(0,6);(0,12);(0,18)","(8,0);(1,8);(9,14);(17,13)",419,0,known_visit_core_500,10,4,8
11,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(14,18);(5,5);(5,12);(5,7);(3,3);(1,0);(10,18);(8,1);(12,12);(17,3)",10,True,139.23563096680627,139.23563096680627,00:3;01:4;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(17,3);(12,12);(3,3);(14,18)",1026,1,known_visit_core_500,10,4,8
12,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(16,0);(8,4);(13,1);(17,18);(14,9);(2,8);(16,6);(3,6);(4,10);(11,10)",10,True,54.73060569503179,54.73060569503179,00:3;01:6;02:0;03:1,"(0,0);(0,6);(0,12);(0,18)","(8,4);(16,1);(0,12);(17,18)",335,0,known_visit_core_500,10,4,8
13,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(18,1);(14,18);(7,7);(8,9);(8,5);(4,6);(11,16);(18,5);(15,5);(3,1)",10,True,217.25018900031023,217.25018900031023,00:1;01:7;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(14,17);(18,1);(18,5);(3,1)",1442,3,known_visit_core_500,10,4,8
14,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(5,7);(13,12);(9,3);(4,4);(6,11);(10,17);(14,4);(12,17);(18,6);(13,11)",10,True,40.595230932442156,40.595230932442156,00:3;01:3;02:0;03:4,"(0,0);(0,6);(0,12);(0,18)","(18,6);(10,15);(0,12);(13,11)",240,0,known_visit_core_500,10,4,8
15,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(17,14);(14,5);(5,12);(18,1);(14,11);(18,2);(13,2);(7,15);(3,15);(18,15)",10,True,78.68454614402847,78.68454614402847,00:7;01:0;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(18,15);(3,6);(14,8);(3,15)",533,0,known_visit_core_500,10,4,8
16,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(1,15);(4,12);(8,0);(3,18);(9,11);(4,16);(18,8);(10,0);(3,10);(6,0)",10,True,162.76025267216235,162.76025267216235,00:3;01:1;02:1;03:5,"(0,0);(0,6);(0,12);(0,18)","(17,5);(3,18);(9,2);(18,8)",1052,2,known_visit_core_500,10,4,8
17,known_visit,HIPC,rayleigh_style,-42.16,19,361,4,10,hipc_rayleigh_style_sens_neg42_16,known_visit_g19_t10_n500.csv,"(17,17);(18,1);(8,7);(17,7);(14,2);(15,1);(13,3);(7,3);(9,7);(6,13)",10,True,84.1900498272507,84.1900498272507,00:0;01:9;02:1;03:0,"(0,0);(0,6);(0,12);(0,18)","(0,0);(17,17);(6,13);(8,18)",596,0,known_visit_core_500,10,4,8
