trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,34,2,1,29,6,0,0,0,0,106,71,35,244,85,known_visit_core_500,10,4,8
0,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,27,2,3,14,14,0,0,0,0,73,58,15,270,91,known_visit_core_500,10,4,8
0,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,42,1,4,27,16,2,12,1,0,144,86,58,215,75,known_visit_core_500,10,4,8
0,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,38,5,0,38,1,1,0,0,0,112,78,34,236,87,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,26,0,2,13,14,0,0,0,0,91,53,38,125,40,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,26,6,0,27,0,1,0,0,0,72,53,19,137,47,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,8,0,0,9,0,1,0,0,0,24,18,6,176,55,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,26,4,1,26,1,0,0,0,0,69,53,16,143,43,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,52,5,2,46,7,1,0,0,0,146,105,41,229,66,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,39,1,1,24,16,1,0,0,0,96,80,16,271,74,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,42,2,1,40,3,0,0,0,0,106,87,19,252,82,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,35,2,2,28,8,0,0,0,0,93,73,20,277,70,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,34,5,0,34,1,0,1,1,0,113,70,43,180,60,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,28,2,1,27,2,0,0,0,0,81,58,23,197,75,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,23,3,1,18,6,1,1,1,0,69,49,20,200,83,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,29,0,4,16,14,1,3,1,0,90,62,28,183,79,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,27,3,2,23,5,1,0,0,0,86,55,31,179,61,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,27,6,0,28,0,0,0,0,0,93,55,38,166,68,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,17,1,1,16,2,3,0,0,0,56,37,19,204,67,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,26,0,1,22,5,2,1,1,0,92,53,39,166,68,known_visit_core_500,10,4,8
5,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,42,7,0,43,0,0,0,0,0,125,85,40,147,73,known_visit_core_500,10,4,8
5,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,22,3,1,19,4,0,0,0,0,73,46,27,206,66,known_visit_core_500,10,4,8
5,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,29,0,3,22,8,3,0,0,0,79,60,19,194,72,known_visit_core_500,10,4,8
5,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,24,0,2,12,13,2,0,0,0,68,52,16,195,82,known_visit_core_500,10,4,8
6,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,36,6,1,36,1,0,0,0,0,120,74,46,144,49,known_visit_core_500,10,4,8
6,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,23,1,1,22,2,2,0,0,0,72,48,24,184,56,known_visit_core_500,10,4,8
6,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,25,2,0,26,0,2,0,0,0,70,54,16,177,66,known_visit_core_500,10,4,8
6,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,15,1,1,10,6,0,0,0,0,51,33,18,189,72,known_visit_core_500,10,4,8
7,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,24,5,0,25,0,1,1,1,0,100,49,51,158,59,known_visit_core_500,10,4,8
7,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,22,1,1,22,1,1,0,0,0,70,46,24,166,80,known_visit_core_500,10,4,8
7,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,24,1,2,18,7,2,0,0,0,67,49,18,163,86,known_visit_core_500,10,4,8
7,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,24,3,0,25,0,1,0,0,0,80,49,31,168,68,known_visit_core_500,10,4,8
8,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,37,4,0,38,0,0,1,1,0,129,78,51,209,80,known_visit_core_500,10,4,8
8,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,40,3,2,29,12,2,3,3,0,113,83,30,225,78,known_visit_core_500,10,4,8
8,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,27,3,1,27,1,0,0,0,0,80,57,23,256,81,known_visit_core_500,10,4,8
8,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,36,0,2,27,10,2,0,0,0,96,75,21,241,79,known_visit_core_500,10,4,8
9,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,33,4,1,29,5,0,0,0,0,117,67,50,195,70,known_visit_core_500,10,4,8
9,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,33,1,1,28,6,2,0,0,0,94,68,26,202,86,known_visit_core_500,10,4,8
9,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,34,4,0,33,2,2,0,0,0,110,69,41,187,85,known_visit_core_500,10,4,8
9,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,15,1,0,15,1,1,0,0,0,61,32,29,229,91,known_visit_core_500,10,4,8
10,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,72,7,3,65,8,0,0,0,0,209,145,64,146,47,known_visit_core_500,10,4,8
10,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,19,0,2,12,8,1,0,0,0,61,40,21,245,96,known_visit_core_500,10,4,8
10,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,20,1,1,17,4,1,0,0,0,64,44,20,266,71,known_visit_core_500,10,4,8
10,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,18,2,1,14,5,1,1,1,0,68,40,28,242,91,known_visit_core_500,10,4,8
11,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,12,3,0,12,1,0,0,0,0,56,26,30,269,100,known_visit_core_500,10,4,8
11,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,58,4,2,53,6,2,3,1,0,169,118,51,190,66,known_visit_core_500,10,4,8
11,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,23,2,0,24,0,1,1,1,0,56,48,8,274,95,known_visit_core_500,10,4,8
11,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,55,1,3,49,7,1,0,0,0,144,112,32,206,75,known_visit_core_500,10,4,8
12,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,43,5,0,44,0,1,0,0,0,113,87,26,188,56,known_visit_core_500,10,4,8
12,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,27,2,2,25,3,0,3,1,0,68,57,11,219,70,known_visit_core_500,10,4,8
12,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,40,3,4,25,16,0,0,0,0,114,82,32,181,62,known_visit_core_500,10,4,8
12,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,19,0,2,13,7,1,0,0,0,62,42,20,230,64,known_visit_core_500,10,4,8
13,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,17,1,2,14,4,0,12,2,0,68,39,29,232,78,known_visit_core_500,10,4,8
13,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,51,7,1,50,2,0,1,1,0,130,104,26,194,55,known_visit_core_500,10,4,8
13,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,36,2,1,36,1,3,13,2,0,99,75,24,211,69,known_visit_core_500,10,4,8
13,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,03,27,0,2,17,11,2,0,0,0,82,58,24,226,70,known_visit_core_500,10,4,8
14,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,00,32,3,1,31,2,0,0,0,0,107,65,42,135,43,known_visit_core_500,10,4,8
14,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,01,30,4,1,30,1,1,0,0,0,82,62,20,143,60,known_visit_core_500,10,4,8
14,known_visit,PI,bernoulli,0.4,19,361,4,10,pi_bernoulli_drop_0_4,known_visit_g19_t10_n500.csv,02,17,1,1,13,5,2,0,0,0,49,37,12,174,62,known_visit_core_500,10,4,8
