trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_index,target_x,target_y,first_completion_time_s,first_completion_sim_time_s,first_found_by_robot,first_finder_robot_id,total_visits,duplicate_visits,completed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,1,18,9,72.9623240185103,72.9623240185103,00,00,1,0,True,known_visit_core_500,10,4,8
0,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,2,8,12,12.381274343389915,12.381274343389915,02,02,3,2,True,known_visit_core_500,10,4,8
0,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,3,16,10,67.2153082035777,67.2153082035777,00,00,2,1,True,known_visit_core_500,10,4,8
0,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,4,4,10,20.050426073429833,20.050426073429833,01,01,2,1,True,known_visit_core_500,10,4,8
0,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,5,6,1,95.04884256051257,95.04884256051257,02,02,1,0,True,known_visit_core_500,10,4,8
0,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,6,4,8,16.63844545190719,16.63844545190719,01,01,2,1,True,known_visit_core_500,10,4,8
0,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,7,17,1,110.87433513659332,110.87433513659332,00,00,1,0,True,known_visit_core_500,10,4,8
0,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,8,3,4,7.520322274346705,7.520322274346705,01,01,3,2,True,known_visit_core_500,10,4,8
0,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,9,12,1,105.15629020880415,105.15629020880415,02,02,1,0,True,known_visit_core_500,10,4,8
0,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,11,9,56.45938052186051,56.45938052186051,00,00,2,1,True,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,1,9,9,29.613046169126402,29.613046169126402,00,00,3,2,True,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,2,9,6,25.728186029550475,25.728186029550475,01,01,2,1,True,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,3,3,18,3.533283771347476,3.533283771347476,03,03,2,1,True,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,4,9,5,23.754513399030504,23.754513399030504,01,01,2,1,True,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,5,14,0,65.11214643040935,65.11214643040935,00,00,1,0,True,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,6,8,5,21.75709823629371,21.75709823629371,01,01,2,1,True,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,7,8,9,27.962881833311375,27.962881833311375,00,00,2,1,True,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,8,11,12,27.719817409345307,27.719817409345307,03,03,3,2,True,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,9,11,1,58.03878448877134,58.03878448877134,00,00,1,0,True,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,0,9,3.8389367095375153,3.8389367095375153,02,02,2,1,True,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,1,4,17,7.184389556012437,7.184389556012437,03,03,2,1,True,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,2,10,16,60.83591706655194,60.83591706655194,00,00,1,0,True,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,3,9,5,22.49877305800217,22.49877305800217,00,00,2,1,True,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,4,17,17,183.45818829118846,183.45818829118846,02,02,1,0,True,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,5,3,8,7.338027317138058,7.338027317138058,01,01,1,0,True,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,6,18,18,187.25865241815373,187.25865241815373,02,02,1,0,True,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,7,16,13,54.68423229949841,54.68423229949841,02,02,2,1,True,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,8,15,11,43.30291067371479,43.30291067371479,00,00,3,2,True,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,9,7,16,14.168736250745443,14.168736250745443,03,03,3,2,True,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,6,5,17.36267185934589,17.36267185934589,00,00,3,2,True,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,1,14,6,40.11850232472516,40.11850232472516,00,00,3,2,True,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,2,10,1,32.79367509994969,32.79367509994969,01,01,2,1,True,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,3,4,2,8.742753827105334,8.742753827105334,00,00,3,2,True,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,4,3,12,3.7160986402889993,3.7160986402889993,02,02,2,1,True,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,5,6,14,12.517863238091845,12.517863238091845,02,02,2,1,True,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,6,13,16,76.83618404043271,76.83618404043271,00,00,1,0,True,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,7,7,14,14.523729468164715,14.523729468164715,02,02,2,1,True,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,8,4,7,7.332087801055401,7.332087801055401,01,01,3,2,True,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,9,11,5,32.743941667120076,32.743941667120076,00,00,3,2,True,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,18,16,64.13063098460368,64.13063098460368,00,00,1,0,True,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,1,18,13,38.12600601590422,38.12600601590422,03,03,1,0,True,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,2,16,5,52.17732873310113,52.17732873310113,02,02,1,0,True,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,3,9,7,20.195268295421062,20.195268295421062,01,01,2,1,True,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,4,2,8,5.672483956478455,5.672483956478455,01,01,2,1,True,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,5,11,6,35.92709360368482,35.92709360368482,00,00,1,0,True,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,6,18,6,50.24938510745022,50.24938510745022,03,03,1,0,True,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,7,16,7,46.5407060570502,46.5407060570502,00,00,1,0,True,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,8,11,8,27.19342103069664,27.19342103069664,01,01,1,0,True,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,9,3,7,9.68246782561771,9.68246782561771,01,01,3,2,True,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,10,2,7,3.903616838867705,3.903616838867705,01,01,2,1,True,known_visit_core_500,10,4,8
5,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,1,10,6,30.497492040552274,30.497492040552274,00,00,2,1,True,known_visit_core_500,10,4,8
5,known_visit,PI,bernoulli,0.6,19,361,4,10,pi_bernoulli_drop_0_6,known_visit_g19_t10_n500.csv,2,13,12,63.364013686168654,63.364013686168654,01,01,1,0,True,known_visit_core_500,10,4,8
