trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,"(18,9);(8,12);(16,10);(4,10);(6,1);(4,8);(17,1);(3,4);(12,1);(11,9)",10,True,116.70445167661683,116.70445167661683,00:1;01:5;02:4;03:0,"(0,0);(0,6);(0,12);(0,18)","(17,9);(18,9);(17,1);(18,8)",600,0,known_visit_core_500,10,4,8
1,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,"(9,9);(9,6);(3,18);(9,5);(14,0);(8,5);(8,9);(11,12);(11,1);(0,9)",10,True,53.602554738518286,53.602554738518286,00:4;01:0;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(4,11);(11,12);(3,18);(14,0)",270,0,known_visit_core_500,10,4,8
2,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,"(4,17);(10,16);(9,5);(17,17);(3,8);(18,18);(16,13);(15,11);(7,16);(6,5)",10,True,82.2555525061028,82.2555525061028,00:2;01:2;02:2;03:4,"(0,0);(0,6);(0,12);(0,18)","(18,18);(9,16);(4,17);(15,11)",464,0,known_visit_core_500,10,4,8
3,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,"(14,6);(10,1);(4,2);(3,12);(6,14);(13,16);(7,14);(4,7);(11,5);(18,16)",10,True,40.87490317025795,40.87490317025795,00:1;01:3;02:5;03:1,"(0,0);(0,6);(0,12);(0,18)","(4,6);(14,6);(18,16);(5,6)",210,0,known_visit_core_500,10,4,8
4,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,"(18,13);(16,5);(9,7);(2,8);(11,6);(18,6);(16,7);(11,8);(3,7);(2,7)",10,True,51.24328941465962,51.24328941465962,00:2;01:7;02:1;03:0,"(0,0);(0,6);(0,12);(0,18)","(11,6);(18,13);(5,5);(11,8)",283,0,known_visit_core_500,10,4,8
5,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,"(10,6);(13,12);(1,6);(8,16);(7,4);(16,7);(3,7);(2,7);(1,0);(9,17)",10,True,47.30963972103091,47.30963972103091,00:1;01:6;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(10,11);(13,12);(7,4);(9,12)",262,0,known_visit_core_500,10,4,8
6,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,"(13,16);(16,8);(6,0);(18,13);(2,8);(6,2);(15,9);(6,3);(1,6);(0,16)",10,True,67.82086331568362,67.82086331568362,00:3;01:5;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(12,16);(16,8);(13,2);(10,2)",353,0,known_visit_core_500,10,4,8
7,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,"(13,3);(4,14);(15,5);(10,5);(4,7);(4,3);(3,5);(9,17);(7,4);(6,14)",10,True,45.77600476849829,45.77600476849829,00:5;01:1;02:1;03:3,"(0,0);(0,6);(0,12);(0,18)","(10,5);(7,12);(4,17);(10,8)",237,0,known_visit_core_500,10,4,8
8,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,"(6,4);(7,3);(10,13);(4,15);(1,10);(17,18);(17,9);(8,0);(15,14);(10,16)",10,True,71.99413191355038,71.99413191355038,00:3;01:0;02:3;03:4,"(0,0);(0,6);(0,12);(0,18)","(15,18);(17,2);(17,13);(17,9)",365,0,known_visit_core_500,10,4,8
9,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,"(13,4);(6,17);(10,7);(11,10);(2,3);(18,12);(7,12);(18,3);(16,6);(6,2)",10,True,116.2878541696957,116.2878541696957,00:4;01:2;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(11,10);(7,12);(3,2);(17,2)",649,0,known_visit_core_500,10,4,8
